-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,align-middle,inline-block,text-xs,img,text-xs/sp14_2,text-shopee-primary,pointer-events-none_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-81ztq-mf0wga9zzyfj25,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LAPTOP ASUS TUF GAMING A14 FA401U AMD RYZEN 7 8845HS 16GB SSD 512GB RTX 4050,Rp,16.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,,,,,,"LAPTOP ASUS TUF GAMING A14 FA401U AMD RYZEN 7 8845HS 16GB SSD 512GB RTX 4050
Rp
16.200.000
Bandung",https://shopee.co.id/LAPTOP-ASUS-TUF-GAMING-A14-FA401U-AMD-RYZEN-7-8845HS-16GB-SSD-512GB-RTX-4050-i.1500950198.41670943007?extraParams=%7B%22display_model_id%22%3A248943287450%2C%22model_selection_logic%22%3A3%7D&sp_atk=43c88ca9-8751-47ab-9968-2cde2ba6ca43&xptdk=43c88ca9-8751-47ab-9968-2cde2ba6ca43
https://down-id.img.susercontent.com/file/id-11134207-822wq-mmsmi9de5cea69,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LAPTOP VICTUS HP GAMING 15-FA2715TX INTEL CORE I5-13420H GEN 13 16GB SSD 512GB RTX 2050,Rp,9.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,,,,,,"LAPTOP VICTUS HP GAMING 15-FA2715TX INTEL CORE I5-13420H GEN 13 16GB SSD 512GB RTX 2050
Rp
9.000.000
Bandung",https://shopee.co.id/LAPTOP-VICTUS-HP-GAMING-15-FA2715TX-INTEL-CORE-I5-13420H-GEN-13-16GB-SSD-512GB-RTX-2050-i.1500950198.55108395906?extraParams=%7B%22display_model_id%22%3A330745135511%2C%22model_selection_logic%22%3A3%7D&sp_atk=11c5259f-92b2-4e3c-b21c-579bc6a6b196&xptdk=11c5259f-92b2-4e3c-b21c-579bc6a6b196
https://down-id.img.susercontent.com/file/id-11134207-81ztq-mdzntmj6afpe3c,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"READY STOCK Laptop Asus TUF Gaming 15 FA506IC, Amd Ryzen 7 - 4800H, #DualVga: - Amd Radeon TM Graphics, - Nvidia Geforce RTX 3050 4Gb, Ram 8 Gb / 512Gb Ssd, Black",Rp,10.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,1 Terjual,,,,,,"READY STOCK Laptop Asus TUF Gaming 15 FA506IC, Amd Ryzen 7 - 4800H, #DualVga: - Amd Radeon TM Graphics, - Nvidia Geforce RTX 3050 4Gb, Ram 8 Gb / 512Gb Ssd, Black
Rp
10.000.000
1 Terjual
Jakarta Barat",https://shopee.co.id/READY-STOCK-Laptop-Asus-TUF-Gaming-15-FA506IC-Amd-Ryzen-7-4800H-DualVga-Amd-Radeon-TM-Graphics-Nvidia-Geforce-RTX-3050-4Gb-Ram-8-Gb-512Gb-Ssd-Black-i.850155898.42015693221?extraParams=%7B%22display_model_id%22%3A286292412806%2C%22model_selection_logic%22%3A3%7D&sp_atk=dbed99de-7f84-4fce-8e26-1d11552cd64e&xptdk=dbed99de-7f84-4fce-8e26-1d11552cd64e
https://down-id.img.susercontent.com/file/id-11134207-7r98r-lzde275m9vj239,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Laptop Fullset Asus VivoBook X421EPQY, Core i7 - 1165G7, Ram 8Gb/512Gb SSD, #Nvidia Geforce MX330, Black Mate",Rp,7.999.999,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,"Laptop Fullset Asus VivoBook X421EPQY, Core i7 - 1165G7, Ram 8Gb/512Gb SSD, #Nvidia Geforce MX330, Black Mate
Rp
7.999.999
5.0
1 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-Fullset-Asus-VivoBook-X421EPQY-Core-i7-1165G7-Ram-8Gb-512Gb-SSD-Nvidia-Geforce-MX330-Black-Mate-i.850155898.25535248150?extraParams=%7B%22display_model_id%22%3A236695672976%2C%22model_selection_logic%22%3A3%7D&sp_atk=bbee93c0-4308-4aaf-ae61-ba1162fdee25&xptdk=bbee93c0-4308-4aaf-ae61-ba1162fdee25
https://down-id.img.susercontent.com/file/id-11134207-8224r-mgrfpc7fgyz21a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop AFTERSHOCK NVIDIA GTX Core i7 RAM 16Gb SSD 240Gb DUAL VGA,Rp,6.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,,,,,,,,"Laptop AFTERSHOCK NVIDIA GTX Core i7 RAM 16Gb SSD 240Gb DUAL VGA
Rp
6.500.000
Tangerang Selatan",https://shopee.co.id/Laptop-AFTERSHOCK-NVIDIA-GTX-Core-i7-RAM-16Gb-SSD-240Gb-DUAL-VGA-i.335134106.47200989774?extraParams=%7B%22display_model_id%22%3A310088088962%2C%22model_selection_logic%22%3A3%7D&sp_atk=4231e662-4674-4310-adc5-ec102dd83d5b&xptdk=4231e662-4674-4310-adc5-ec102dd83d5b
https://down-id.img.susercontent.com/file/id-11134207-822wt-mlrl0hyrsdtve5,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Lenovo Legion Y540 - 17IRH, Core i7-9750H, Ram 8/512Gb, #RTX2060 6Gb, #IPS, #Backlight, Lengkap, Black",Rp,10.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,,,,"Lenovo Legion Y540 - 17IRH, Core i7-9750H, Ram 8/512Gb, #RTX2060 6Gb, #IPS, #Backlight, Lengkap, Black
Rp
10.000.000
Jakarta Barat",https://shopee.co.id/Lenovo-Legion-Y540-17IRH-Core-i7-9750H-Ram-8-512Gb-RTX2060-6Gb-IPS-Backlight-Lengkap-Black-i.346011270.45507176276?extraParams=%7B%22display_model_id%22%3A395638316081%2C%22model_selection_logic%22%3A3%7D&sp_atk=5344155b-2c94-43d7-9719-bfb487cba01f&xptdk=5344155b-2c94-43d7-9719-bfb487cba01f
https://down-id.img.susercontent.com/file/id-11134207-7ra0h-mcfxvq2hf0ioc2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop DAC F1 DN50 Core i5-12450H, Ram 8/512Gb, Lengkap, Black, BERGARANSI",Rp,4.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,,,,"Laptop DAC F1 DN50 Core i5-12450H, Ram 8/512Gb, Lengkap, Black, BERGARANSI
Rp
4.200.000
Jakarta Barat",https://shopee.co.id/Laptop-DAC-F1-DN50-Core-i5-12450H-Ram-8-512Gb-Lengkap-Black-BERGARANSI-i.953200515.26038927812?extraParams=%7B%22display_model_id%22%3A295776484929%2C%22model_selection_logic%22%3A3%7D&sp_atk=f51e478d-bd9b-45f1-b10c-fc4ab607d996&xptdk=f51e478d-bd9b-45f1-b10c-fc4ab607d996
https://down-id.img.susercontent.com/file/id-11134207-7ra0h-mc542sv6sa179c,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Gaming Asus ROG G751JT Core i7 GTX 970M RAM 16GB SSD 256GB + HDD 1000GB,Rp,4.149.900,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kampar,,1 Terjual,,,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Laptop Gaming Asus ROG G751JT Core i7 GTX 970M RAM 16GB SSD 256GB + HDD 1000GB
Rp
4.149.900
-1%
1 Terjual
Kab. Kampar",https://shopee.co.id/Laptop-Gaming-Asus-ROG-G751JT-Core-i7-GTX-970M-RAM-16GB-SSD-256GB-HDD-1000GB-i.868647317.25045928780?extraParams=%7B%22display_model_id%22%3A325011344527%2C%22model_selection_logic%22%3A3%7D&sp_atk=9134466d-2c89-4dd3-8552-03de3cdffdae&xptdk=9134466d-2c89-4dd3-8552-03de3cdffdae
https://down-id.img.susercontent.com/file/id-11134207-822wr-mn726f84gsg316,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP GAMING ACER NITRO 5 INTEL CORE I5-11300H RAM 8GB SSD 512GB GTX NVIDIA GEFORCE 1650 4GB DDR6 MULUS,Rp,8.400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,,,,"LAPTOP GAMING ACER NITRO 5 INTEL CORE I5-11300H RAM 8GB SSD 512GB GTX NVIDIA GEFORCE 1650 4GB DDR6 MULUS
Rp
8.400.000
Jakarta Timur",https://shopee.co.id/LAPTOP-GAMING-ACER-NITRO-5-INTEL-CORE-I5-11300H-RAM-8GB-SSD-512GB-GTX-NVIDIA-GEFORCE-1650-4GB-DDR6-MULUS-i.91852147.56556713945?extraParams=%7B%22display_model_id%22%3A410603737628%2C%22model_selection_logic%22%3A3%7D&sp_atk=ab7260b0-ae91-490e-b9e3-a119fa13a14f&xptdk=ab7260b0-ae91-490e-b9e3-a119fa13a14f
https://down-id.img.susercontent.com/file/id-11134207-8224t-mhrolph2wd1c60,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP DAC-DN50 CORE i5 12450H 8GB 16GB SSD 256GB 14INCH SECOND BERGARANSI,Rp,4.899.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,,,,"LAPTOP DAC-DN50 CORE i5 12450H 8GB 16GB SSD 256GB 14INCH SECOND BERGARANSI
Rp
4.899.000
Jakarta Barat",https://shopee.co.id/LAPTOP-DAC-DN50-CORE-i5-12450H-8GB-16GB-SSD-256GB-14INCH-SECOND-BERGARANSI-i.37906250.41026942228?extraParams=%7B%22display_model_id%22%3A277361470355%2C%22model_selection_logic%22%3A3%7D&sp_atk=f61854eb-1517-4d83-bdfb-944b322d5d3d&xptdk=f61854eb-1517-4d83-bdfb-944b322d5d3d
