-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,pointer-events-none,align-middle,truncate,img,text-xs/sp14_2,text-xs,text-shopee-primary,pointer-events-none_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mcc2036qx6rffe,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop ASUS TUF DASH F15 FX516PM Intel Core i7-11370H RAM 24GB SSD 512GB RTX 3060 GEN11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,10.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,,,,,"Laptop ASUS TUF DASH F15 FX516PM Intel Core i7-11370H RAM 24GB SSD 512GB RTX 3060 GEN11
Rp
10.000.000
Bandung",https://shopee.co.id/Laptop-ASUS-TUF-DASH-F15-FX516PM-Intel-Core-i7-11370H-RAM-24GB-SSD-512GB-RTX-3060-GEN11-i.261317525.44458999033?extraParams=%7B%22display_model_id%22%3A260754654023%2C%22model_selection_logic%22%3A3%7D&sp_atk=07b7a530-17cf-47ab-872a-98bd718124a4&xptdk=07b7a530-17cf-47ab-872a-98bd718124a4
https://down-id.img.susercontent.com/file/id-11134207-822ws-mmlc8j4j61hk83,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,AXIOO Pongo 755 Ryzen 7 255 - RTX™ 5050 16GB 512GB 16.0 INCH FHD+ IPS 165HZ Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,19.791.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,,,"AXIOO Pongo 755 Ryzen 7 255 - RTX™ 5050 16GB 512GB 16.0 INCH FHD+ IPS 165HZ Windows 11
Rp
19.791.000
Cicilan
Hadiah Gratis
5.0
2 Terjual
Jakarta Selatan",https://shopee.co.id/AXIOO-Pongo-755-Ryzen-7-255-RTX%E2%84%A2-5050-16GB-512GB-16.0-INCH-FHD-IPS-165HZ-Windows-11-i.217781231.5340796517?extraParams=%7B%22display_model_id%22%3A300555066483%2C%22model_selection_logic%22%3A3%7D&sp_atk=8c576a72-aa88-4d87-8821-d3e5747445a9&xptdk=8c576a72-aa88-4d87-8821-d3e5747445a9
https://down-id.img.susercontent.com/file/id-11134207-7rasf-m3lmylu4lplo6b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP ADVAN SOULMATE PLUS RYZEN 5 3500 8GB 256GB W11 14.0 GRY,,Rp,4.050.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,,,,"LAPTOP ADVAN SOULMATE PLUS RYZEN 5 3500 8GB 256GB W11 14.0 GRY
Rp
4.050.000
Jakarta Pusat",https://shopee.co.id/LAPTOP-ADVAN-SOULMATE-PLUS-RYZEN-5-3500-8GB-256GB-W11-14.0-GRY-i.651287406.26420230760?extraParams=%7B%22display_model_id%22%3A185628020799%2C%22model_selection_logic%22%3A3%7D&sp_atk=ab323a04-a985-4fbb-bf3a-e4f508ac1687&xptdk=ab323a04-a985-4fbb-bf3a-e4f508ac1687
https://down-id.img.susercontent.com/file/id-11134207-822wr-mmvk87f162o1ca,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LENOVO LOQ 15 RYZEN 7 7735HS RTX4050 6GB/ 16GB 512GB W11+OHS+M365B 15.6 FHD 144HZ 100%SRGB -1BID,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,14.615.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,,,"LENOVO LOQ 15 RYZEN 7 7735HS RTX4050 6GB/ 16GB 512GB W11+OHS+M365B 15.6 FHD 144HZ 100%SRGB -1BID
Rp
14.615.000
5.0
4 Terjual
Kab. Bogor",https://shopee.co.id/LENOVO-LOQ-15-RYZEN-7-7735HS-RTX4050-6GB-16GB-512GB-W11-OHS-M365B-15.6-FHD-144HZ-100-SRGB-1BID-i.1368474464.42851848359?extraParams=%7B%22display_model_id%22%3A243601526548%2C%22model_selection_logic%22%3A3%7D&sp_atk=d3090582-252a-4753-a104-15c4ed4469a1&xptdk=d3090582-252a-4753-a104-15c4ed4469a1
https://down-id.img.susercontent.com/file/id-11134207-82250-mkxpmvgsdmo111,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"ASUS ROG Strix G16 G614JU i5-13450HX 16GB 512GB SSD RTX4050 6GB 16""WUXGA IPS 165Hz 100%sRGB WIN11 OHS",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,20.599.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kediri,,,,1 Terjual,-18%,,"ASUS ROG Strix G16 G614JU i5-13450HX 16GB 512GB SSD RTX4050 6GB 16""WUXGA IPS 165Hz 100%sRGB WIN11 OHS
Rp
20.599.000
-18%
1 Terjual
Kab. Kediri",https://shopee.co.id/ASUS-ROG-Strix-G16-G614JU-i5-13450HX-16GB-512GB-SSD-RTX4050-6GB-16-WUXGA-IPS-165Hz-100-sRGB-WIN11-OHS-i.12084313.25693869683?extraParams=%7B%22display_model_id%22%3A215979168526%2C%22model_selection_logic%22%3A3%7D&sp_atk=2e3f17eb-7c4c-475d-bcaa-9c3e5a565c00&xptdk=2e3f17eb-7c4c-475d-bcaa-9c3e5a565c00
https://down-id.img.susercontent.com/file/id-11134207-82250-mj81esgzzsw588,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,AXIOO Pongo 775 i7 13620H / RTX 5070 16GB 512GB SSD 16 inch QHD+ 180HZ Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,24.816.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,10 Terjual,,,"AXIOO Pongo 775 i7 13620H / RTX 5070 16GB 512GB SSD 16 inch QHD+ 180HZ Windows 11
Rp
24.816.000
Hadiah Gratis
5.0
10 Terjual
Jakarta Selatan",https://shopee.co.id/AXIOO-Pongo-775-i7-13620H-RTX-5070-16GB-512GB-SSD-16-inch-QHD-180HZ-Windows-11-i.217781231.29755803602?extraParams=%7B%22display_model_id%22%3A158713814415%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b192645-600c-42c4-a07f-8505adaf6557&xptdk=7b192645-600c-42c4-a07f-8505adaf6557
https://down-id.img.susercontent.com/file/id-11134207-7qul8-lgp1t737nvu437,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,DELL PRECISION 5540 i7-9850H 12CPUs RAM 32GB/SSD 512GB/NVIDIA QUADRO T1000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,6.850.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,,,"DELL PRECISION 5540 i7-9850H 12CPUs RAM 32GB/SSD 512GB/NVIDIA QUADRO T1000
Rp
6.850.000
5.0
2 Terjual
Bogor",https://shopee.co.id/DELL-PRECISION-5540-i7-9850H-12CPUs-RAM-32GB-SSD-512GB-NVIDIA-QUADRO-T1000-i.861378616.19179728475?extraParams=%7B%22display_model_id%22%3A137579578798%2C%22model_selection_logic%22%3A3%7D&sp_atk=890c66cc-29f3-4bb8-9831-7ca79c5172d5&xptdk=890c66cc-29f3-4bb8-9831-7ca79c5172d5
https://down-id.img.susercontent.com/file/id-11134207-7rash-m620mpnvvy6r8a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,leptop lep top Alienware X15 R2 RTX 3070TI I7 GEN 12 16GB RAM 512GB SSD Laptop Gaming,,Rp,30.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,,,"leptop lep top Alienware X15 R2 RTX 3070TI I7 GEN 12 16GB RAM 512GB SSD Laptop Gaming
Rp
30.000.000
Surabaya",https://shopee.co.id/leptop-lep-top-Alienware-X15-R2-RTX-3070TI-I7-GEN-12-16GB-RAM-512GB-SSD-Laptop-Gaming-i.66076385.27525676357?extraParams=%7B%22display_model_id%22%3A237354728544%2C%22model_selection_logic%22%3A3%7D&sp_atk=dd05d1f5-e119-4fd2-b566-0f90883f66a1&xptdk=dd05d1f5-e119-4fd2-b566-0f90883f66a1
https://down-id.img.susercontent.com/file/id-11134207-8224s-mjsmviaa680378,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Lenovo LOQ 15 Essensial i5 12450HX RTX 4050 6 GB RGB IPS 144Hz 100% sRGB Powerful Gaming Desain Laptop,,Rp,12.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,,,"Lenovo LOQ 15 Essensial i5 12450HX RTX 4050 6 GB RGB IPS 144Hz 100% sRGB Powerful Gaming Desain Laptop
Rp
12.500.000
5.0
2 Terjual
Bandung",https://shopee.co.id/Lenovo-LOQ-15-Essensial-i5-12450HX-RTX-4050-6-GB-RGB-IPS-144Hz-100-sRGB-Powerful-Gaming-Desain-Laptop-i.1120992419.25536708031?extraParams=%7B%22display_model_id%22%3A217852855431%2C%22model_selection_logic%22%3A3%7D&sp_atk=476b1d17-e048-42bb-a7f7-2b12aaa369d1&xptdk=476b1d17-e048-42bb-a7f7-2b12aaa369d1
https://down-id.img.susercontent.com/file/id-11134207-7rask-m5c9qbb811qef7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Three Screen Business 16+10.5+10.5 inch Core i7 12th CPU 64GB RAM Dual Channel 3 Monitor Laptops,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,18.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,,,"Laptop Three Screen Business 16+10.5+10.5 inch Core i7 12th CPU 64GB RAM Dual Channel 3 Monitor Laptops
Rp
18.500.000
5.0
1 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-Three-Screen-Business-16-10.5-10.5-inch-Core-i7-12th-CPU-64GB-RAM-Dual-Channel-3-Monitor-Laptops-i.1118236675.25290752168?extraParams=%7B%22display_model_id%22%3A247529250310%2C%22model_selection_logic%22%3A3%7D&sp_atk=f5c9c9df-a5c2-43d9-bcd3-14597021056b&xptdk=f5c9c9df-a5c2-43d9-bcd3-14597021056b
