-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,pointer-events-none_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224v-mhy8n3h4c7b902,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Samsung Series Core i3 i5 i7 Laptop Pelajar,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.748.000,-8%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,9 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,,,"Laptop Samsung Series Core i3 i5 i7 Laptop Pelajar
Rp
1.748.000
-8%
5.0
9 Terjual
Kab. Bekasi",https://shopee.co.id/Laptop-Samsung-Series-Core-i3-i5-i7-Laptop-Pelajar-i.51490731.44602728541?extraParams=%7B%22display_model_id%22%3A282486427922%2C%22model_selection_logic%22%3A3%7D&sp_atk=f22b18bd-86d7-45db-ba1f-7be0e4264ba0&xptdk=f22b18bd-86d7-45db-ba1f-7be0e4264ba0
https://down-id.img.susercontent.com/file/id-11134207-7r98r-lwcirdmuzt315c,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,"Nb Samsung Chromebook 4, Seri Baru, Like New, Slim, Cantik, Fullset, Silver",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.575.000,-10%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,12 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,"Nb Samsung Chromebook 4, Seri Baru, Like New, Slim, Cantik, Fullset, Silver
Rp
1.575.000
-10%
5.0
12 Terjual
Jakarta Barat",https://shopee.co.id/Nb-Samsung-Chromebook-4-Seri-Baru-Like-New-Slim-Cantik-Fullset-Silver-i.218475243.25679029121?extraParams=%7B%22display_model_id%22%3A222768298213%2C%22model_selection_logic%22%3A3%7D&sp_atk=8c703088-1229-44ca-b721-4cfe257b5094&xptdk=8c703088-1229-44ca-b721-4cfe257b5094
https://down-id.img.susercontent.com/file/id-11134207-7rbk5-m78oq2fh5sck9a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Samsung Chromebook 4 | Celeron-N4020 | Ram 4/32GB | BERGARANSI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.550.000,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,286 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Samsung Chromebook 4 | Celeron-N4020 | Ram 4/32GB | BERGARANSI
Rp
1.550.000
-6%
4.6
286 Terjual
Jakarta Barat",https://shopee.co.id/Samsung-Chromebook-4-Celeron-N4020-Ram-4-32GB-BERGARANSI-i.239820426.21880616818?extraParams=%7B%22display_model_id%22%3A59316275361%2C%22model_selection_logic%22%3A3%7D&sp_atk=b48213ab-2d47-4b1f-9879-6dc2d6c01415&xptdk=b48213ab-2d47-4b1f-9879-6dc2d6c01415
https://down-id.img.susercontent.com/file/sg-11134201-22100-29kc9u6fiqived,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Notebook Samsung Chrombook 11 Intel Celeron N4020 Ram4/32gb Fullset Mulus,,Rp,1.650.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,569 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,"Notebook Samsung Chrombook 11 Intel Celeron N4020 Ram4/32gb Fullset Mulus
Rp
1.650.000
4.8
569 Terjual
Jakarta Barat",https://shopee.co.id/Notebook-Samsung-Chrombook-11-Intel-Celeron-N4020-Ram4-32gb-Fullset-Mulus-i.816009841.17686149182?extraParams=%7B%22display_model_id%22%3A182480027227%2C%22model_selection_logic%22%3A3%7D&sp_atk=fa98cc2e-91db-4c02-8a47-4ab217156c88&xptdk=fa98cc2e-91db-4c02-8a47-4ab217156c88
https://down-id.img.susercontent.com/file/id-11134207-7qul6-lhndjdpil8fbac,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Samsung Chromebook 4, Intel Celeron - N4020, Ram 4Gb, Bonus Tas + Mouse",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.650.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,83 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,"Samsung Chromebook 4, Intel Celeron - N4020, Ram 4Gb, Bonus Tas + Mouse
Rp
1.650.000
4.8
83 Terjual
Jakarta Barat",https://shopee.co.id/Samsung-Chromebook-4-Intel-Celeron-N4020-Ram-4Gb-Bonus-Tas-Mouse-i.83853427.14183929528?extraParams=%7B%22display_model_id%22%3A168674413119%2C%22model_selection_logic%22%3A3%7D&sp_atk=8bc5bf1d-6fde-4c28-8af1-2b96d5eb55e1&xptdk=8bc5bf1d-6fde-4c28-8af1-2b96d5eb55e1
https://down-id.img.susercontent.com/file/id-11134207-7ra0m-md5y27p2xh0kc5,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,SAMSUNG CHROMEBOOK - INTEL CELERON N4020 || FULLSET ORIGINAL + SIAP PAKAI,,Rp,1.650.000,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,"SAMSUNG CHROMEBOOK - INTEL CELERON N4020 || FULLSET ORIGINAL + SIAP PAKAI
Rp
1.650.000
Malang",https://shopee.co.id/SAMSUNG-CHROMEBOOK-INTEL-CELERON-N4020-FULLSET-ORIGINAL-SIAP-PAKAI-i.106142418.44312002336?extraParams=%7B%22display_model_id%22%3A286005252741%2C%22model_selection_logic%22%3A3%7D&sp_atk=fbe378d4-ebaf-4299-8017-88531d95fc98&xptdk=fbe378d4-ebaf-4299-8017-88531d95fc98
https://down-id.img.susercontent.com/file/sg-11134201-7rbma-loo49aazdncj28,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Samsung Chromebook 4 Celeron N4020 Roblox game playstore,,Rp,1.250.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,20 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,"Laptop Samsung Chromebook 4 Celeron N4020 Roblox game playstore
Rp
1.250.000
4.5
20 Terjual
Malang",https://shopee.co.id/Laptop-Samsung-Chromebook-4-Celeron-N4020-Roblox-game-playstore-i.44435356.23861864499?extraParams=%7B%22display_model_id%22%3A178277538823%2C%22model_selection_logic%22%3A3%7D&sp_atk=40e2919f-0661-403a-928a-fd40fc2c3119&xptdk=40e2919f-0661-403a-928a-fd40fc2c3119
https://down-id.img.susercontent.com/file/sg-11134201-22120-yes4n98ewzkv9d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Notebook Samsung Chromebook 4 intel Celeron N4020 Ram4/32GB Normal,,Rp,1.650.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,40 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,"Notebook Samsung Chromebook 4 intel Celeron N4020 Ram4/32GB Normal
Rp
1.650.000
4.7
40 Terjual
Tangerang",https://shopee.co.id/Notebook-Samsung-Chromebook-4-intel-Celeron-N4020-Ram4-32GB-Normal-i.214357959.21349808194?extraParams=%7B%22display_model_id%22%3A98302248580%2C%22model_selection_logic%22%3A3%7D&sp_atk=14ac450e-a09b-4860-8442-b5bab9df637d&xptdk=14ac450e-a09b-4860-8442-b5bab9df637d
https://down-id.img.susercontent.com/file/id-11134207-8224s-mkgc1k6o3n5vee,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Samsung touchscreen i5 gen 3,,Rp,1.000.000,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,"Laptop Samsung touchscreen i5 gen 3
Rp
1.000.000
Tangerang",https://shopee.co.id/Laptop-Samsung-touchscreen-i5-gen-3-i.848156084.44028644349?extraParams=%7B%22display_model_id%22%3A445539235193%2C%22model_selection_logic%22%3A3%7D&sp_atk=8b26533e-9a74-465b-a283-269258fb2497&xptdk=8b26533e-9a74-465b-a283-269258fb2497
https://down-id.img.susercontent.com/file/id-11134207-7ra0p-mb55p6gtxlpg39,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Chromebook Samsung XE513C24 Core RK3399 Ram 4GB SSD 32GB, Layar 12.5""Inch (Touchscreen + Stylus Pen)",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.498.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Kombo Hemat,"Chromebook Samsung XE513C24 Core RK3399 Ram 4GB SSD 32GB, Layar 12.5""Inch (Touchscreen + Stylus Pen)
Rp
1.498.000
-1%
Kombo Hemat
5.0
2 Terjual
Surabaya",https://shopee.co.id/Chromebook-Samsung-XE513C24-Core-RK3399-Ram-4GB-SSD-32GB-Layar-12.5-Inch-(Touchscreen-Stylus-Pen)-i.1290502453.40255014723?extraParams=%7B%22display_model_id%22%3A275776682809%2C%22model_selection_logic%22%3A3%7D&sp_atk=299400a8-ca2f-4ab3-ba22-e36b877c373c&xptdk=299400a8-ca2f-4ab3-ba22-e36b877c373c
