-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,text-shopee-primary,pointer-events-none_2,truncate,inline-block,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-81ztl-me4rts7lvdol31,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,[PROMO] Acer Aspire 5 A515-45-R958 | Ryzen 7 5700U | 8GB | SSD 512GB | Free Gift & Instalasi,Rp,7.931.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,,"[PROMO] Acer Aspire 5 A515-45-R958 | Ryzen 7 5700U | 8GB | SSD 512GB | Free Gift & Instalasi
Rp
7.931.000
5.0
4 Terjual
Jakarta Pusat",https://shopee.co.id/-PROMO-Acer-Aspire-5-A515-45-R958-Ryzen-7-5700U-8GB-SSD-512GB-Free-Gift-Instalasi-i.530279061.20985449617?extraParams=%7B%22display_model_id%22%3A166157376780%2C%22model_selection_logic%22%3A3%7D&sp_atk=dae321c3-507c-41b5-a451-1a0069f3a7e2&xptdk=dae321c3-507c-41b5-a451-1a0069f3a7e2
https://down-id.img.susercontent.com/file/id-11134207-822wl-mmvg80j2kgsm92,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Laptop ZYREX Sky 232 Mini 64 II Intel Celeron N4020 RAM 4GB 64GB eMMC + SSD M.2 (128/256) 11.6"" FHD IPS - Windows 11 USB Type-C/HDMI/MicroSD – Garansi Resmi 1 Tahun",Rp,2.474.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,24 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-12%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,,"Laptop ZYREX Sky 232 Mini 64 II Intel Celeron N4020 RAM 4GB 64GB eMMC + SSD M.2 (128/256) 11.6"" FHD IPS - Windows 11 USB Type-C/HDMI/MicroSD – Garansi Resmi 1 Tahun
Rp
2.474.000
-12%
Hadiah Gratis
4.9
24 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-ZYREX-Sky-232-Mini-64-II-Intel-Celeron-N4020-RAM-4GB-64GB-eMMC-SSD-M.2-(128-256)-11.6-FHD-IPS-Windows-11-USB-Type-C-HDMI-MicroSD-%E2%80%93-Garansi-Resmi-1-Tahun-i.1489958388.52755720519?extraParams=%7B%22display_model_id%22%3A360827188470%2C%22model_selection_logic%22%3A3%7D&sp_atk=a07e4767-31fc-4591-897d-299484e27989&xptdk=a07e4767-31fc-4591-897d-299484e27989
https://down-id.img.susercontent.com/file/id-11134207-7r98y-lvmlekzlor3nc9,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,LAPTOP LENOVO THINKPAD L480 T480 T480S i5 i7 GEN 8 + BONUS!!! PALING MURAH PALING MULUS WORT IT TO BUY,Rp,3.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,258 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,"LAPTOP LENOVO THINKPAD L480 T480 T480S i5 i7 GEN 8 + BONUS!!! PALING MURAH PALING MULUS WORT IT TO BUY
Rp
3.000.000
4.8
258 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-LENOVO-THINKPAD-L480-T480-T480S-i5-i7-GEN-8-BONUS!!!-PALING-MURAH-PALING-MULUS-WORT-IT-TO-BUY-i.1065701352.26350699679?extraParams=%7B%22display_model_id%22%3A330811488933%2C%22model_selection_logic%22%3A3%7D&sp_atk=5f8805fd-cdc4-4528-bdf3-196562af69ad&xptdk=5f8805fd-cdc4-4528-bdf3-196562af69ad
https://down-id.img.susercontent.com/file/id-11134207-8224w-mi2kbu0n44qp5a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,LAPTOP BARU DASER S1 S2 15 INCH FHD CELERON N5905A SSD 1TB RAM 16GB GARANSI TUKAR UNIT,Rp,2.400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,23 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,"LAPTOP BARU DASER S1 S2 15 INCH FHD CELERON N5905A SSD 1TB RAM 16GB GARANSI TUKAR UNIT
Rp
2.400.000
-4%
4.6
23 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-BARU-DASER-S1-S2-15-INCH-FHD-CELERON-N5905A-SSD-1TB-RAM-16GB-GARANSI-TUKAR-UNIT-i.817857955.29789949443?extraParams=%7B%22display_model_id%22%3A208646104578%2C%22model_selection_logic%22%3A3%7D&sp_atk=992bc378-b918-409d-b172-4993c30f5fb7&xptdk=992bc378-b918-409d-b172-4993c30f5fb7
https://down-id.img.susercontent.com/file/id-11134207-7qul8-lgxfqwf817l7fe,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Lenovo Thinkpad L380 L390 X380 X390 Core i5 Gen 8 Layar 13,3 Inch - Murah, Mulus, Bergaransi, Cocok untuk Sekolah, Kuliah, Kerja, Desain",Rp,3.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,65 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-3%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,"Laptop Lenovo Thinkpad L380 L390 X380 X390 Core i5 Gen 8 Layar 13,3 Inch - Murah, Mulus, Bergaransi, Cocok untuk Sekolah, Kuliah, Kerja, Desain
Rp
3.500.000
-3%
5.0
65 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-Lenovo-Thinkpad-L380-L390-X380-X390-Core-i5-Gen-8-Layar-13-3-Inch-Murah-Mulus-Bergaransi-Cocok-untuk-Sekolah-Kuliah-Kerja-Desain-i.926977477.19872644507?extraParams=%7B%22display_model_id%22%3A375745596715%2C%22model_selection_logic%22%3A3%7D&sp_atk=bd8ef6dd-826b-4af8-91d1-600a8a2a68d7&xptdk=bd8ef6dd-826b-4af8-91d1-600a8a2a68d7
https://down-id.img.susercontent.com/file/id-11134207-822wg-mn6tm0mmj2881a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Lenovo Thinkpad X1 Carbon i5 / i7 Gen 4/5/6/7/8 | 8GB - 16GB | SSD 512GB | Mulus / Second / Original / Berkualitas / Bergaransi,Rp,3.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,300 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,"Lenovo Thinkpad X1 Carbon i5 / i7 Gen 4/5/6/7/8 | 8GB - 16GB | SSD 512GB | Mulus / Second / Original / Berkualitas / Bergaransi
Rp
3.800.000
Cicilan
4.9
300 Terjual
Jakarta Pusat",https://shopee.co.id/Lenovo-Thinkpad-X1-Carbon-i5-i7-Gen-4-5-6-7-8-8GB-16GB-SSD-512GB-Mulus-Second-Original-Berkualitas-Bergaransi-i.30169103.1964289790?extraParams=%7B%22display_model_id%22%3A257352352450%2C%22model_selection_logic%22%3A3%7D&sp_atk=a37a9c4a-a929-40f8-95aa-f917cfce8709&xptdk=a37a9c4a-a929-40f8-95aa-f917cfce8709
https://down-id.img.susercontent.com/file/id-11134207-7r98p-lrqvb7m4pkpz61,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,"Laptop Samsung 300E, Intel Core i3-2330M, Hd Graphic 3000, Ram 8/500Gb, Black Silver",Rp,1.850.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.0,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,"Laptop Samsung 300E, Intel Core i3-2330M, Hd Graphic 3000, Ram 8/500Gb, Black Silver
Rp
1.850.000
4.0
3 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-Samsung-300E-Intel-Core-i3-2330M-Hd-Graphic-3000-Ram-8-500Gb-Black-Silver-i.218475243.25113557356?extraParams=%7B%22display_model_id%22%3A250336566410%2C%22model_selection_logic%22%3A3%7D&sp_atk=0f8be61f-356a-4ecb-820a-9efbdb2f5e4e&xptdk=0f8be61f-356a-4ecb-820a-9efbdb2f5e4e
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mbma3ql58is498,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP LENOVO THINKPAD YOGA 11E 300E FLIP 360 TOUCHSCREEN BEKAS MURAH BERGARANSI SECOND MULUS UNBK,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,328 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,,"LAPTOP LENOVO THINKPAD YOGA 11E 300E FLIP 360 TOUCHSCREEN BEKAS MURAH BERGARANSI SECOND MULUS UNBK
Rp
1.500.000
-6%
4.9
328 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-LENOVO-THINKPAD-YOGA-11E-300E-FLIP-360-TOUCHSCREEN-BEKAS-MURAH-BERGARANSI-SECOND-MULUS-UNBK-i.940039185.20871721785?extraParams=%7B%22display_model_id%22%3A177180912668%2C%22model_selection_logic%22%3A3%7D&sp_atk=787e6871-ad89-4326-9eee-41f1fe5f54c4&xptdk=787e6871-ad89-4326-9eee-41f1fe5f54c4
https://down-id.img.susercontent.com/file/id-11134207-8224y-mggyz2isqo0b5e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Samsung 305XCR, Core i5-10210U Gen 10Th Ram 8Gb / SSD 256 Gb FHD intel UHD Graphics Stylish Design 15,6 inch",Rp,4.400.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,"Laptop Samsung 305XCR, Core i5-10210U Gen 10Th Ram 8Gb / SSD 256 Gb FHD intel UHD Graphics Stylish Design 15,6 inch
Rp
4.400.000
Jakarta Barat",https://shopee.co.id/Laptop-Samsung-305XCR-Core-i5-10210U-Gen-10Th-Ram-8Gb-SSD-256-Gb-FHD-intel-UHD-Graphics-Stylish-Design-15-6-inch-i.277449743.27970682766?extraParams=%7B%22display_model_id%22%3A79848855861%2C%22model_selection_logic%22%3A3%7D&sp_atk=2c3e2c26-89b3-4f27-a733-c181b6c1dfb6&xptdk=2c3e2c26-89b3-4f27-a733-c181b6c1dfb6
https://down-id.img.susercontent.com/file/id-11134207-822wp-mmik6pzcjmdra0,,Toshiba Dynabook S73 Intel Core I3 I5 Gen 8 10 11 Ram 8gb Ssd 256gb Siap Pakai Bergaransi,Rp,2.668.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,94 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,-11%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,"Toshiba Dynabook S73 Intel Core I3 I5 Gen 8 10 11 Ram 8gb Ssd 256gb Siap Pakai Bergaransi
Rp
2.668.000
-11%
4.9
94 Terjual
Jakarta Pusat",https://shopee.co.id/Toshiba-Dynabook-S73-Intel-Core-I3-I5-Gen-8-10-11-Ram-8gb-Ssd-256gb-Siap-Pakai-Bergaransi-i.1302168963.29674239525?extraParams=%7B%22display_model_id%22%3A248999767871%2C%22model_selection_logic%22%3A3%7D&sp_atk=50949fa0-86f7-4ec8-970b-7728ae0d58fd&xptdk=50949fa0-86f7-4ec8-970b-7728ae0d58fd
