-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,inline-block,text-shopee-primary,pointer-events-none_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rbka-m9zh6qj6z0r63a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Acer Travelmate P249 I5 GEN 6 RAM 32GB SSD 1TB,Rp,2.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,67 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,,,"Laptop Acer Travelmate P249 I5 GEN 6 RAM 32GB SSD 1TB
Rp
2.200.000
4.9
67 Terjual
Bandung",https://shopee.co.id/Laptop-Acer-Travelmate-P249-I5-GEN-6-RAM-32GB-SSD-1TB-i.275228473.22556162359?extraParams=%7B%22display_model_id%22%3A225678861069%2C%22model_selection_logic%22%3A3%7D&sp_atk=8b8471c3-c04c-486c-864f-9fd87de35adc&xptdk=8b8471c3-c04c-486c-864f-9fd87de35adc
https://down-id.img.susercontent.com/file/id-11134207-7rbk6-m9o4xfagmywj3b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP CORE i3 RAM 8Gb-SSD 1Tb/14 inch bonus MOUSE,Rp,2.230.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Laptop HP CORE i3 RAM 8Gb-SSD 1Tb/14 inch bonus MOUSE
Rp
2.230.000
-1%
5.0
4 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-HP-CORE-i3-RAM-8Gb-SSD-1Tb-14-inch-bonus-MOUSE-i.17620640.41700584426?extraParams=%7B%22display_model_id%22%3A305046460455%2C%22model_selection_logic%22%3A3%7D&sp_atk=2877ee29-ebd1-4575-a097-dacccb3b502e&xptdk=2877ee29-ebd1-4575-a097-dacccb3b502e
https://down-id.img.susercontent.com/file/id-11134207-822wp-mn2j6v5nmdc1a5,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop HP EliteBook / Probook / Folio Core i5 / i7 RAM 8GB / 16GB Notebook Second Slim 14 inch | 840 G5 - G4 / G3 / G2 / G1 / 840 G2 / 640 G2 / Folio 1040,Rp,2.600.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,299 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,"Laptop HP EliteBook / Probook / Folio Core i5 / i7 RAM 8GB / 16GB Notebook Second Slim 14 inch | 840 G5 - G4 / G3 / G2 / G1 / 840 G2 / 640 G2 / Folio 1040
Rp
2.600.000
4.8
299 Terjual
Kab. Tangerang",https://shopee.co.id/Laptop-HP-EliteBook-Probook-Folio-Core-i5-i7-RAM-8GB-16GB-Notebook-Second-Slim-14-inch-840-G5-G4-G3-G2-G1-840-G2-640-G2-Folio-1040-i.177626251.27723568980?extraParams=%7B%22display_model_id%22%3A350457700049%2C%22model_selection_logic%22%3A3%7D&sp_atk=232aa467-1bea-44e2-8c44-ccfd9da9f57d&xptdk=232aa467-1bea-44e2-8c44-ccfd9da9f57d
https://down-id.img.susercontent.com/file/sg-11134201-23010-pekjd1wk5qmvd8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP Core i7 i5 / RAM 16GB / SSD 1TB / 2TB / 500GB / SSD 256GB / SSD 512GB - Laptop Bekas HP i7 i5 8GB SSD,Rp,1.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,447 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,Cicilan,"Laptop HP Core i7 i5 / RAM 16GB / SSD 1TB / 2TB / 500GB / SSD 256GB / SSD 512GB - Laptop Bekas HP i7 i5 8GB SSD
Rp
1.300.000
Cicilan
4.7
447 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-HP-Core-i7-i5-RAM-16GB-SSD-1TB-2TB-500GB-SSD-256GB-SSD-512GB-Laptop-Bekas-HP-i7-i5-8GB-SSD-i.20507921.1386936960?extraParams=%7B%22display_model_id%22%3A21973162444%2C%22model_selection_logic%22%3A3%7D&sp_atk=53393673-ad2a-4d98-a287-9315d8d92733&xptdk=53393673-ad2a-4d98-a287-9315d8d92733
https://down-id.img.susercontent.com/file/sg-11134201-7renv-m1ohmc6umjic07,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,Laptop Gaming HP Probook 645 G4 AMD Ryzen 3 Pro 2300U 14 inch,Rp,3.239.900,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Laptop Gaming HP Probook 645 G4 AMD Ryzen 3 Pro 2300U 14 inch
Rp
3.239.900
-1%
Bandung",https://shopee.co.id/Laptop-Gaming-HP-Probook-645-G4-AMD-Ryzen-3-Pro-2300U-14-inch-i.277142016.27614932692?extraParams=%7B%22display_model_id%22%3A251841355360%2C%22model_selection_logic%22%3A3%7D&sp_atk=af729912-ed0d-40e6-a4c0-d0e09a47db67&xptdk=af729912-ed0d-40e6-a4c0-d0e09a47db67
https://down-id.img.susercontent.com/file/id-11134207-7rbk7-maf8sms175y1c4,https://down-id.img.susercontent.com/file/id-11134258-822wp-mlyjp115kz5tc6,Laptop HP Elitebook 250 630 X360 745 845 1020 8460P G2/G3 Core i7 Generasi 7 Touchscreen + Bisa Dilipat 360 Derajat SECOND BERKUALITAS !!,Rp,1.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,152 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Laptop HP Elitebook 250 630 X360 745 845 1020 8460P G2/G3 Core i7 Generasi 7 Touchscreen + Bisa Dilipat 360 Derajat SECOND BERKUALITAS !!
Rp
1.700.000
-6%
5.0
152 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-HP-Elitebook-250-630-X360-745-845-1020-8460P-G2-G3-Core-i7-Generasi-7-Touchscreen-Bisa-Dilipat-360-Derajat-SECOND-BERKUALITAS-!!-i.676179521.18154058062?extraParams=%7B%22display_model_id%22%3A281824185594%2C%22model_selection_logic%22%3A3%7D&sp_atk=e6c9ed50-552d-42dc-b06d-b9e48c23fe19&xptdk=e6c9ed50-552d-42dc-b06d-b9e48c23fe19
https://down-id.img.susercontent.com/file/id-11134207-822wi-mlfs6xruefi8b6,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Lenovo ideapad D330 2in1 CELLERON /Ram 4GB /EMMC 64GB -Second Mulus Bergarasi,Rp,1.599.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,221 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-47%,,,"Laptop Lenovo ideapad D330 2in1 CELLERON /Ram 4GB /EMMC 64GB -Second Mulus Bergarasi
Rp
1.599.000
-47%
4.9
221 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Lenovo-ideapad-D330-2in1-CELLERON-Ram-4GB-EMMC-64GB-Second-Mulus-Bergarasi-i.92762228.18180113508?extraParams=%7B%22display_model_id%22%3A286588717592%2C%22model_selection_logic%22%3A3%7D&sp_atk=1f5f3620-6413-4e07-addc-aa239bfadcba&xptdk=1f5f3620-6413-4e07-addc-aa239bfadcba
https://down-id.img.susercontent.com/file/id-11134207-7qukx-lj5dcbrg8dhz90,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP HP 14 DUAL CORE RAM 8GB 512 SSD WINDOWS 10,Rp,1.060.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.2,23 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,"LAPTOP HP 14 DUAL CORE RAM 8GB 512 SSD WINDOWS 10
Rp
1.060.000
4.2
23 Terjual
Jakarta Barat",https://shopee.co.id/LAPTOP-HP-14-DUAL-CORE-RAM-8GB-512-SSD-WINDOWS-10-i.4152980.18090724321?extraParams=%7B%22display_model_id%22%3A194424036043%2C%22model_selection_logic%22%3A3%7D&sp_atk=c4297c87-58ab-4faf-92e0-5730a38804bd&xptdk=c4297c87-58ab-4faf-92e0-5730a38804bd
https://down-id.img.susercontent.com/file/id-11134207-8224q-mi7agg06fta950,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP ASUS CORE I3 RAM 8 NORMAL SIAP PAKAI || LAPTOP SSD || LAPTOP KULIAH,Rp,1.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,24 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Malang,,,,,"LAPTOP ASUS CORE I3 RAM 8 NORMAL SIAP PAKAI || LAPTOP SSD || LAPTOP KULIAH
Rp
1.800.000
4.9
24 Terjual
Kab. Malang",https://shopee.co.id/LAPTOP-ASUS-CORE-I3-RAM-8-NORMAL-SIAP-PAKAI-LAPTOP-SSD-LAPTOP-KULIAH-i.577464325.11076997082?extraParams=%7B%22display_model_id%22%3A380093587860%2C%22model_selection_logic%22%3A3%7D&sp_atk=4ab2aaea-0019-440a-9dc4-ce934cbe890d&xptdk=4ab2aaea-0019-440a-9dc4-ce934cbe890d
https://down-id.img.susercontent.com/file/cc2d14c8521256e3da79ee2bd533e9bd,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Acer c731 Intel N3060 Ram 4GB SSD 128GB windows 10 - like New,Rp,1.650.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,111 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,Cicilan,"Laptop Acer c731 Intel N3060 Ram 4GB SSD 128GB windows 10 - like New
Rp
1.650.000
Cicilan
4.6
111 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Acer-c731-Intel-N3060-Ram-4GB-SSD-128GB-windows-10-like-New-i.230649038.12761754337?extraParams=%7B%22display_model_id%22%3A38039099099%2C%22model_selection_logic%22%3A3%7D&sp_atk=46241c54-3cf4-444f-98c8-b10204c08fa6&xptdk=46241c54-3cf4-444f-98c8-b10204c08fa6
