-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,inline-block,truncate,text-shopee-primary,pointer-events-none_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224w-mhihgplc7myw24,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP ASUS VIVOBOOK X441 Intel Core I3 || TERLARIS TAHUN 2025 || LAPTOP PELAJAR|| LAPTOP KULIAH,Rp,1.825.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,,,"LAPTOP ASUS VIVOBOOK X441 Intel Core I3 || TERLARIS TAHUN 2025 || LAPTOP PELAJAR|| LAPTOP KULIAH
Rp
1.825.000
5.0
6 Terjual
Malang",https://shopee.co.id/LAPTOP-ASUS-VIVOBOOK-X441-Intel-Core-I3-TERLARIS-TAHUN-2025-LAPTOP-PELAJAR-LAPTOP-KULIAH-i.115039675.28554248975?extraParams=%7B%22display_model_id%22%3A355205659262%2C%22model_selection_logic%22%3A3%7D&sp_atk=656da588-0d26-47db-95fb-c3beabe1a4c6&xptdk=656da588-0d26-47db-95fb-c3beabe1a4c6
https://down-id.img.susercontent.com/file/id-11134207-7rbkb-m9sc1d67uh02ca,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,All Laptop Acer Travelmate Intel Core i5 / i7 RAM 8Gb SSD 512Gb Double VGA Bergaransi Original,Rp,2.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,28 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,"All Laptop Acer Travelmate Intel Core i5 / i7 RAM 8Gb SSD 512Gb Double VGA Bergaransi Original
Rp
2.700.000
4.5
28 Terjual
Bandung",https://shopee.co.id/All-Laptop-Acer-Travelmate-Intel-Core-i5-i7-RAM-8Gb-SSD-512Gb-Double-VGA-Bergaransi-Original-i.214563751.22566435652?extraParams=%7B%22display_model_id%22%3A232153968767%2C%22model_selection_logic%22%3A3%7D&sp_atk=23c97307-ba51-42a4-b065-23824fdbce9c&xptdk=23c97307-ba51-42a4-b065-23824fdbce9c
https://down-id.img.susercontent.com/file/id-11134207-822ws-mlvpzr8kfaq7cf,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop HP EliteBook 745 G3 AMD PRO A10 RAM 8GB SSD 256GB Obral Murah,Rp,1.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,11 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,"Laptop HP EliteBook 745 G3 AMD PRO A10 RAM 8GB SSD 256GB Obral Murah
Rp
1.700.000
4.8
11 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-HP-EliteBook-745-G3-AMD-PRO-A10-RAM-8GB-SSD-256GB-Obral-Murah-i.582969235.18093917919?extraParams=%7B%22display_model_id%22%3A435330260575%2C%22model_selection_logic%22%3A3%7D&sp_atk=a3562289-fdfa-4f8a-a7d1-0038a01f5ad4&xptdk=a3562289-fdfa-4f8a-a7d1-0038a01f5ad4
https://down-id.img.susercontent.com/file/id-11134207-7rbke-m8x3y5uw89ot96,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop dell Chromebook (RAM 4 GB) Second Like New ORI Normal Lancar Mulus,Rp,1.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,410 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Cicilan,,,"Laptop dell Chromebook (RAM 4 GB) Second Like New ORI Normal Lancar Mulus
Rp
1.000.000
Cicilan
4.7
410 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-dell-Chromebook-(RAM-4-GB)-Second-Like-New-ORI-Normal-Lancar-Mulus-i.304116550.17954689665?extraParams=%7B%22display_model_id%22%3A243228139464%2C%22model_selection_logic%22%3A3%7D&sp_atk=1867e109-c6d7-4f15-9403-a0efc2c84d5b&xptdk=1867e109-c6d7-4f15-9403-a0efc2c84d5b
https://down-id.img.susercontent.com/file/id-11134207-8224q-mkhycbkgybrbc6,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop HP 240 G7 Core i7 Gen8 Dual VGA,Rp,3.000.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tegal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,"Laptop HP 240 G7 Core i7 Gen8 Dual VGA
Rp
3.000.000
Kab. Tegal",https://shopee.co.id/Laptop-HP-240-G7-Core-i7-Gen8-Dual-VGA-i.1529617502.56105989979?extraParams=%7B%22display_model_id%22%3A430544469720%2C%22model_selection_logic%22%3A3%7D&sp_atk=19d2b08f-8533-472d-a2bc-1dc6580caf40&xptdk=19d2b08f-8533-472d-a2bc-1dc6580caf40
https://down-id.img.susercontent.com/file/id-11134207-7rasa-m1mjz9fxiqih3b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Dell Core i5 - RAM 16GB 8GB / SSD 1TB 512GB 256GB,Rp,1.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.4,26 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,,"Laptop Dell Core i5 - RAM 16GB 8GB / SSD 1TB 512GB 256GB
Rp
1.700.000
4.4
26 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-Dell-Core-i5-RAM-16GB-8GB-SSD-1TB-512GB-256GB-i.20507921.29564738938?extraParams=%7B%22display_model_id%22%3A217898036907%2C%22model_selection_logic%22%3A3%7D&sp_atk=bead1fe5-604c-4594-a114-0e7a46046adc&xptdk=bead1fe5-604c-4594-a114-0e7a46046adc
https://down-id.img.susercontent.com/file/id-11134207-81ztj-mfhwoi2edslrd2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Lenovo Chromebook 100E,Rp,755.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,"Lenovo Chromebook 100E
Rp
755.000
4.9
1RB+ Terjual
Jakarta Pusat",https://shopee.co.id/Lenovo-Chromebook-100E-i.266689507.43958171735?extraParams=%7B%22display_model_id%22%3A243617713205%2C%22model_selection_logic%22%3A3%7D&sp_atk=a82d0157-0984-43f3-84b7-df37a4be7373&xptdk=a82d0157-0984-43f3-84b7-df37a4be7373
https://down-id.img.susercontent.com/file/id-11134207-8224r-mhk15dyf81dt48,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus X441SA 14 inc Good Quality Siap Pakai,Rp,725.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,51 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,,,,"Asus X441SA 14 inc Good Quality Siap Pakai
Rp
725.000
4.8
51 Terjual
Kab. Tangerang",https://shopee.co.id/Asus-X441SA-14-inc-Good-Quality-Siap-Pakai-i.1092295006.45202213903?extraParams=%7B%22display_model_id%22%3A307460429118%2C%22model_selection_logic%22%3A3%7D&sp_atk=ab7fd679-4d94-482e-b6ae-5664d9b5fafb&xptdk=ab7fd679-4d94-482e-b6ae-5664d9b5fafb
https://down-id.img.susercontent.com/file/id-11134207-7rasf-m1vczy0cx51r1f,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Asus A450C RAM 4GB HDD 500GB INTEL CORE I3 NO MINUS,Rp,1.399.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,9 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,-26%,,"Laptop Asus A450C RAM 4GB HDD 500GB INTEL CORE I3 NO MINUS
Rp
1.399.000
-26%
4.8
9 Terjual
Tangerang",https://shopee.co.id/Laptop-Asus-A450C-RAM-4GB-HDD-500GB-INTEL-CORE-I3-NO-MINUS-i.41632262.29565701187?extraParams=%7B%22display_model_id%22%3A236941757934%2C%22model_selection_logic%22%3A3%7D&sp_atk=14efb95b-8781-401e-bd89-e8c0c3a6e946&xptdk=14efb95b-8781-401e-bd89-e8c0c3a6e946
https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mbggafm3dh1v31,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP ASUS X453 INTEL CELERON/RAM 4GB-8GB/HDD 1TB/14 INCH (BONUS MOUSE),Rp,1.575.000,,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,"LAPTOP ASUS X453 INTEL CELERON/RAM 4GB-8GB/HDD 1TB/14 INCH (BONUS MOUSE)
Rp
1.575.000
1 Terjual
Jakarta Barat",https://shopee.co.id/LAPTOP-ASUS-X453-INTEL-CELERON-RAM-4GB-8GB-HDD-1TB-14-INCH-(BONUS-MOUSE)-i.17620640.40656234181?extraParams=%7B%22display_model_id%22%3A300522674461%2C%22model_selection_logic%22%3A3%7D&sp_atk=07ace17a-666c-48b1-b6a4-2532a91fcc14&xptdk=07ace17a-666c-48b1-b6a4-2532a91fcc14
