-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,truncate,text-shopee-primary,pointer-events-none_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mbjfv4l7lakm83,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,HARGA LAPTOP BEKAS  || Netbook Samsung Chomebook XE303C12 cam layar 11.6 mulusss,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,499.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,"HARGA LAPTOP BEKAS || Netbook Samsung Chomebook XE303C12 cam layar 11.6 mulusss
Rp
499.000
4.8
1RB+ Terjual
Jakarta Barat",https://shopee.co.id/HARGA-LAPTOP-BEKAS-Netbook-Samsung-Chomebook-XE303C12-cam-layar-11.6-mulusss-i.9911872.11785456121?extraParams=%7B%22display_model_id%22%3A168183589968%2C%22model_selection_logic%22%3A3%7D&sp_atk=cb4b9b9b-9678-42f3-af6b-4a309e0a9bb4&xptdk=cb4b9b9b-9678-42f3-af6b-4a309e0a9bb4
https://down-id.img.susercontent.com/file/1460e865289a7f9f0ba0fcfac2ce34ad,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"HARGA LAPTOP BEKAS || Netbook Samsung Chomebook XE303C12 cam. 11.6"" mulusss",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,499.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,18 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,"HARGA LAPTOP BEKAS || Netbook Samsung Chomebook XE303C12 cam. 11.6"" mulusss
Rp
499.000
4.5
18 Terjual
Jakarta Barat",https://shopee.co.id/HARGA-LAPTOP-BEKAS-Netbook-Samsung-Chomebook-XE303C12-cam.-11.6-mulusss-i.274960916.14541973181?extraParams=%7B%22display_model_id%22%3A240093104605%2C%22model_selection_logic%22%3A3%7D&sp_atk=0a6f47da-02e5-4f40-bd26-7722866e8d58&xptdk=0a6f47da-02e5-4f40-bd26-7722866e8d58
https://down-id.img.susercontent.com/file/id-11134207-7rasf-m2hmls171cjkb4,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,laptop netbook second samsung 10 inch murah normal semua siap pakai & zoom baterai awet garansi,,Rp,880.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,18 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,"laptop netbook second samsung 10 inch murah normal semua siap pakai & zoom baterai awet garansi
Rp
880.000
4.5
18 Terjual
Jakarta Barat",https://shopee.co.id/laptop-netbook-second-samsung-10-inch-murah-normal-semua-siap-pakai-zoom-baterai-awet-garansi-i.155530272.6547862376?extraParams=%7B%22display_model_id%22%3A242010194871%2C%22model_selection_logic%22%3A3%7D&sp_atk=29e76481-b28a-45f3-a2fb-33223c9037dc&xptdk=29e76481-b28a-45f3-a2fb-33223c9037dc
https://down-id.img.susercontent.com/file/id-11134207-7r98u-lva2rzm0nuc3fa,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,HARGA LAPTOP BEKAS || Netbook Samsung Chomebook XE303C12 camera 11.6inch mulusss,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,499.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,262 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,"HARGA LAPTOP BEKAS || Netbook Samsung Chomebook XE303C12 camera 11.6inch mulusss
Rp
499.000
4.9
262 Terjual
Jakarta Barat",https://shopee.co.id/HARGA-LAPTOP-BEKAS-Netbook-Samsung-Chomebook-XE303C12-camera-11.6inch-mulusss-i.548826316.19552274517?extraParams=%7B%22display_model_id%22%3A167991923480%2C%22model_selection_logic%22%3A3%7D&sp_atk=4349e9eb-2f54-4e85-b771-b5fc6b437be3&xptdk=4349e9eb-2f54-4e85-b771-b5fc6b437be3
https://down-id.img.susercontent.com/file/id-11134207-8224w-mjrsdlnnftvkca,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Samsung ATIV 9 Lite Touch / NP915S3G /RAM 4GB SSD 128GB Laptop Touchscreen Second Ativ Book,,Rp,2.000.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Serang,,,,"Samsung ATIV 9 Lite Touch / NP915S3G /RAM 4GB SSD 128GB Laptop Touchscreen Second Ativ Book
Rp
2.000.000
Kab. Serang",https://shopee.co.id/Samsung-ATIV-9-Lite-Touch-NP915S3G-RAM-4GB-SSD-128GB-Laptop-Touchscreen-Second-Ativ-Book-i.1034959992.46705044598?extraParams=%7B%22display_model_id%22%3A440464180646%2C%22model_selection_logic%22%3A3%7D&sp_atk=3df790e0-d450-4829-8bc9-d64beeec900b&xptdk=3df790e0-d450-4829-8bc9-d64beeec900b
https://down-id.img.susercontent.com/file/id-11134207-7qul4-lkcklr997xaa0e,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,notebook samsung nc108 bekas mobo hidup (minus),,Rp,100.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Serang,,,,"notebook samsung nc108 bekas mobo hidup (minus)
Rp
100.000
Kab. Serang",https://shopee.co.id/notebook-samsung-nc108-bekas-mobo-hidup-(minus)-i.412167143.16298462366?extraParams=%7B%22display_model_id%22%3A158320606767%2C%22model_selection_logic%22%3A3%7D&sp_atk=6a62700c-8e40-4f85-9968-06b275278ddc&xptdk=6a62700c-8e40-4f85-9968-06b275278ddc
https://down-id.img.susercontent.com/file/id-11134207-8224q-mi4e1adqn56u46,,Samsung ChromeBook Ram 4/32GB Mulus Normal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.358.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,"Samsung ChromeBook Ram 4/32GB Mulus Normal
Rp
1.358.000
Jakarta Timur",https://shopee.co.id/Samsung-ChromeBook-Ram-4-32GB-Mulus-Normal-i.75684872.51402950581?extraParams=%7B%22display_model_id%22%3A287247440842%2C%22model_selection_logic%22%3A3%7D&sp_atk=ee4b5638-2396-4c94-8dbd-20322d753185&xptdk=ee4b5638-2396-4c94-8dbd-20322d753185
https://down-id.img.susercontent.com/file/id-11134207-8224w-mjrsdlnnftvkca,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Samsung ATIV 9 Lite Touch / NP915S3G /RAM 4GB SSD 128GB Laptop Touchscreen Second Ativ Book,,Rp,1.900.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Lebak,,,,"Samsung ATIV 9 Lite Touch / NP915S3G /RAM 4GB SSD 128GB Laptop Touchscreen Second Ativ Book
Rp
1.900.000
Kab. Lebak",https://shopee.co.id/Samsung-ATIV-9-Lite-Touch-NP915S3G-RAM-4GB-SSD-128GB-Laptop-Touchscreen-Second-Ativ-Book-i.1499997196.52305024328?extraParams=%7B%22display_model_id%22%3A425464150641%2C%22model_selection_logic%22%3A3%7D&sp_atk=93646333-8875-4fb9-9a3f-39e07e001463&xptdk=93646333-8875-4fb9-9a3f-39e07e001463
https://down-id.img.susercontent.com/file/id-11134207-822wo-mldafm4ql0jkad,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Samsung 275E Bekas Kantor masih lengkap,,Rp,325.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Banyuwangi,,,,"Laptop Samsung 275E Bekas Kantor masih lengkap
Rp
325.000
Kab. Banyuwangi",https://shopee.co.id/Laptop-Samsung-275E-Bekas-Kantor-masih-lengkap-i.1031820171.49656710151?extraParams=%7B%22display_model_id%22%3A320600952515%2C%22model_selection_logic%22%3A3%7D&sp_atk=382d2c1c-620f-41de-baa5-bf25b1df152a&xptdk=382d2c1c-620f-41de-baa5-bf25b1df152a
https://down-id.img.susercontent.com/file/id-11134207-8224s-ml1l262yzt398f,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,(bekas - NonCOD) Laptop Notebook Samsung NP355E4X,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,650.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,"(bekas - NonCOD) Laptop Notebook Samsung NP355E4X
Rp
650.000
Surabaya",https://shopee.co.id/(bekas-NonCOD)-Laptop-Notebook-Samsung-NP355E4X-i.10196105.57006331618?extraParams=%7B%22display_model_id%22%3A380572479177%2C%22model_selection_logic%22%3A3%7D&sp_atk=23ad2280-82fa-4b21-a525-d7b5b43abbd9&xptdk=23ad2280-82fa-4b21-a525-d7b5b43abbd9
