-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,text-shopee-primary,pointer-events-none_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7r98p-lqn1gunp0y42dc,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"LAPTOP LENOVO THINKPAD E450 L450 T450 T450S INTEL CORE I5/I7 GEN 5 LAYAR 14"" SECOND BERKUALITAS - FREE GIFT",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,37 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,"LAPTOP LENOVO THINKPAD E450 L450 T450 T450S INTEL CORE I5/I7 GEN 5 LAYAR 14"" SECOND BERKUALITAS - FREE GIFT
Rp
1.900.000
4.5
37 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-LENOVO-THINKPAD-E450-L450-T450-T450S-INTEL-CORE-I5-I7-GEN-5-LAYAR-14-SECOND-BERKUALITAS-FREE-GIFT-i.817857955.21724099994?extraParams=%7B%22display_model_id%22%3A145184473256%2C%22model_selection_logic%22%3A3%7D&sp_atk=455c2439-a98e-4536-8a72-7560f76eef06&xptdk=455c2439-a98e-4536-8a72-7560f76eef06
https://down-id.img.susercontent.com/file/35861df4b6ce6357182ba953513d75af,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung NP330E4V Silver 14 inch RAM 2GB HDD 500GB Laptop Second,,Rp,2.000.000,,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,,,,"Samsung NP330E4V Silver 14 inch RAM 2GB HDD 500GB Laptop Second
Rp
2.000.000
1 Terjual
Kab. Indramayu",https://shopee.co.id/Samsung-NP330E4V-Silver-14-inch-RAM-2GB-HDD-500GB-Laptop-Second-i.49656833.12168399153?extraParams=%7B%22display_model_id%22%3A114925735199%2C%22model_selection_logic%22%3A3%7D&sp_atk=1f67f068-d202-490e-9981-d1a80741c32e&xptdk=1f67f068-d202-490e-9981-d1a80741c32e
https://down-id.img.susercontent.com/file/b804c28961d357d437a77632786e4bc7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung N148 Plus Hitam Intel Atom N450 RAM 2GB HDD 160GB second bekas,,Rp,1.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,,,,"Samsung N148 Plus Hitam Intel Atom N450 RAM 2GB HDD 160GB second bekas
Rp
1.300.000
5.0
1 Terjual
Kab. Indramayu",https://shopee.co.id/Samsung-N148-Plus-Hitam-Intel-Atom-N450-RAM-2GB-HDD-160GB-second-bekas-i.49656833.9183410609?extraParams=%7B%22display_model_id%22%3A93788857817%2C%22model_selection_logic%22%3A3%7D&sp_atk=db8abbb9-2666-49ba-b006-340d6dfcb846&xptdk=db8abbb9-2666-49ba-b006-340d6dfcb846
https://down-id.img.susercontent.com/file/5215fd060eb867171e8e39f3f8b5d2f7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung NP270E4V HItam ATI AMD Radeon AMD E2-2000 RAM 2GB HDD 500GB Bluetooth Laptop Second,,Rp,2.100.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,,,,"Samsung NP270E4V HItam ATI AMD Radeon AMD E2-2000 RAM 2GB HDD 500GB Bluetooth Laptop Second
Rp
2.100.000
5.0
1 Terjual
Kab. Indramayu",https://shopee.co.id/Samsung-NP270E4V-HItam-ATI-AMD-Radeon-AMD-E2-2000-RAM-2GB-HDD-500GB-Bluetooth-Laptop-Second-i.49656833.9160718498?extraParams=%7B%22display_model_id%22%3A35669141642%2C%22model_selection_logic%22%3A3%7D&sp_atk=c521501d-51cb-438f-b8d8-19dca52efd3d&xptdk=c521501d-51cb-438f-b8d8-19dca52efd3d
https://down-id.img.susercontent.com/file/id-11134207-8224r-mgvxn47l61vw93,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Lenovo Thinkpad Chromebook Murah AMD Celeron Core i5/i7 RAM 8/16GB SSD Murah Peningkatan Baru Laptop,Touch screen, Mulus,ORIGINAL BERGARANSI Laptop Second T420 bekas IPS|US Keybroad|backlight Laptop bekas",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.110.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,6RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,,"Laptop Lenovo Thinkpad Chromebook Murah AMD Celeron Core i5/i7 RAM 8/16GB SSD Murah Peningkatan Baru Laptop,Touch screen, Mulus,ORIGINAL BERGARANSI Laptop Second T420 bekas IPS|US Keybroad|backlight Laptop bekas
Rp
1.110.000
4.8
6RB+ Terjual
Tangerang",https://shopee.co.id/Laptop-Lenovo-Thinkpad-Chromebook-Murah-AMD-Celeron-Core-i5-i7-RAM-8-16GB-SSD-Murah-Peningkatan-Baru-Laptop-Touch-screen-Mulus-ORIGINAL-BERGARANSI-Laptop-Second-T420-bekas-IPS-US-Keybroad-backlight-Laptop-bekas-i.772901883.14284701738?extraParams=%7B%22display_model_id%22%3A39951857443%2C%22model_selection_logic%22%3A3%7D&sp_atk=d7adc800-c925-4742-b970-38d3c2d06268&xptdk=d7adc800-c925-4742-b970-38d3c2d06268
https://down-id.img.susercontent.com/file/d06454f05e0866941a59a9ce7b08e9ef,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung Sens X170 Pink Putih Intel Core 2 Duo RAM 2GB HDD 250GB Netbook Notebook Second Bekas Murah,,Rp,1.750.000,,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,,,,"Samsung Sens X170 Pink Putih Intel Core 2 Duo RAM 2GB HDD 250GB Netbook Notebook Second Bekas Murah
Rp
1.750.000
1 Terjual
Kab. Indramayu",https://shopee.co.id/Samsung-Sens-X170-Pink-Putih-Intel-Core-2-Duo-RAM-2GB-HDD-250GB-Netbook-Notebook-Second-Bekas-Murah-i.49656833.3185907657?extraParams=%7B%22display_model_id%22%3A44125708861%2C%22model_selection_logic%22%3A3%7D&sp_atk=64fa7f79-6ded-4673-9347-b8decd237ae5&xptdk=64fa7f79-6ded-4673-9347-b8decd237ae5
https://down-id.img.susercontent.com/file/id-11134207-822wk-mn19eb69wqo354,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"[Bekas] Laptop Lenovo Thinkpad X380 X390 Core i5/i7 - Layar 13,3 Inch - MULUS  ORIGINAL BERGARANSI",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,134 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-3%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"[Bekas] Laptop Lenovo Thinkpad X380 X390 Core i5/i7 - Layar 13,3 Inch - MULUS ORIGINAL BERGARANSI
Rp
2.800.000
-3%
4.8
134 Terjual
Jakarta Utara",https://shopee.co.id/-Bekas-Laptop-Lenovo-Thinkpad-X380-X390-Core-i5-i7-Layar-13-3-Inch-MULUS-ORIGINAL-BERGARANSI-i.472460537.23077782509?extraParams=%7B%22display_model_id%22%3A177858620938%2C%22model_selection_logic%22%3A3%7D&sp_atk=5cf78f97-9202-4b4e-b53b-08bc2e70a253&xptdk=5cf78f97-9202-4b4e-b53b-08bc2e70a253
https://down-id.img.susercontent.com/file/id-11134207-822wr-mn15xmyo0qvc6a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"[Bekas] Laptop Lenovo Thinkpad T460/T460S Core i5/i7 - Layar 14"" SECOND BERKUALITAS GARANSI ORIGINAL",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,652 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,"[Bekas] Laptop Lenovo Thinkpad T460/T460S Core i5/i7 - Layar 14"" SECOND BERKUALITAS GARANSI ORIGINAL
Rp
2.200.000
5.0
652 Terjual
Jakarta Utara",https://shopee.co.id/-Bekas-Laptop-Lenovo-Thinkpad-T460-T460S-Core-i5-i7-Layar-14-SECOND-BERKUALITAS-GARANSI-ORIGINAL-i.472460537.16744462599?extraParams=%7B%22display_model_id%22%3A365460020915%2C%22model_selection_logic%22%3A3%7D&sp_atk=8f77c75d-23bc-45eb-b93b-c42020de6fe0&xptdk=8f77c75d-23bc-45eb-b93b-c42020de6fe0
https://down-id.img.susercontent.com/file/sg-11134201-23010-c7ycuc3g86lvfc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP GAMING DELL PRECISION 3510 3530 5510 5520 5530 7430 7510 7740 M3800 M4600 M4700 M6800 MULUSSSS MANTAPPPP,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,3.7,7 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"LAPTOP GAMING DELL PRECISION 3510 3530 5510 5520 5530 7430 7510 7740 M3800 M4600 M4700 M6800 MULUSSSS MANTAPPPP
Rp
2.200.000
-4%
3.7
7 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-GAMING-DELL-PRECISION-3510-3530-5510-5520-5530-7430-7510-7740-M3800-M4600-M4700-M6800-MULUSSSS-MANTAPPPP-i.926977477.22017802175?extraParams=%7B%22display_model_id%22%3A302306438315%2C%22model_selection_logic%22%3A3%7D&sp_atk=78f459dd-cca9-4aee-a342-a178c0f103af&xptdk=78f459dd-cca9-4aee-a342-a178c0f103af
https://down-id.img.susercontent.com/file/3263db4763166db5f2b2b1f34527c371,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung NP300E4X Warna Hitam RAM 2GB HDD 500GB Laptop second bekas murah,,Rp,2.100.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,,,Cicilan,"Samsung NP300E4X Warna Hitam RAM 2GB HDD 500GB Laptop second bekas murah
Rp
2.100.000
Cicilan
5.0
2 Terjual
Kab. Indramayu",https://shopee.co.id/Samsung-NP300E4X-Warna-Hitam-RAM-2GB-HDD-500GB-Laptop-second-bekas-murah-i.49656833.5471536967?extraParams=%7B%22display_model_id%22%3A72840621241%2C%22model_selection_logic%22%3A3%7D&sp_atk=67cd653e-a394-498e-997b-2840780d9f20&xptdk=67cd653e-a394-498e-997b-2840780d9f20
https://down-id.img.susercontent.com/file/4b57849c1a8a7ba562395473c553b543,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung N100SP Warna Putih White Netbook Notebook Second Bekas Murah RAM 2GB HDD 320GB Intel Windows,,Rp,1.300.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,,,Cicilan,"Samsung N100SP Warna Putih White Netbook Notebook Second Bekas Murah RAM 2GB HDD 320GB Intel Windows
Rp
1.300.000
Cicilan
Kab. Indramayu",https://shopee.co.id/Samsung-N100SP-Warna-Putih-White-Netbook-Notebook-Second-Bekas-Murah-RAM-2GB-HDD-320GB-Intel-Windows-i.49656833.6163065512?extraParams=%7B%22display_model_id%22%3A41837692914%2C%22model_selection_logic%22%3A3%7D&sp_atk=a4ebfb00-bb38-4bad-ad46-34fc325a0272&xptdk=a4ebfb00-bb38-4bad-ad46-34fc325a0272
https://down-id.img.susercontent.com/file/f2f8364ba113a1ad7cd5cd51064f0e92,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung Sens R21 Plus Hitam 14 inch RAM 2GB HDD 250GB Laptop second,,Rp,1.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,,,Cicilan,"Samsung Sens R21 Plus Hitam 14 inch RAM 2GB HDD 250GB Laptop second
Rp
1.300.000
Cicilan
5.0
1 Terjual
Kab. Indramayu",https://shopee.co.id/Samsung-Sens-R21-Plus-Hitam-14-inch-RAM-2GB-HDD-250GB-Laptop-second-i.49656833.12762382322?extraParams=%7B%22display_model_id%22%3A141041737354%2C%22model_selection_logic%22%3A3%7D&sp_atk=477a5c9f-c8df-489c-b804-502420f8f2c6&xptdk=477a5c9f-c8df-489c-b804-502420f8f2c6
