-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,inline-block,text-shopee-primary,truncate,pointer-events-none_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7ra0i-mb3j5akh0x2jd2,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Laptop Lenovo Thinkpad T460 T460S Core i5/i7 GEN 6 Layar 14""  Murah dan Bergaransi",Rp,1.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,182 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,,"Laptop Lenovo Thinkpad T460 T460S Core i5/i7 GEN 6 Layar 14"" Murah dan Bergaransi
Rp
1.700.000
4.9
182 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-Lenovo-Thinkpad-T460-T460S-Core-i5-i7-GEN-6-Layar-14-Murah-dan-Bergaransi-i.795423507.11196739473?extraParams=%7B%22display_model_id%22%3A340426921721%2C%22model_selection_logic%22%3A3%7D&sp_atk=87a58a22-1f15-4f29-8550-743fe3abe9de&xptdk=87a58a22-1f15-4f29-8550-743fe3abe9de
https://down-id.img.susercontent.com/file/id-11134207-82250-mjruuwksgyrqeb,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP All Series | Intel Core i7 / i5 / i3 / AMD Ryzen | RAM 8/16GB | SSD 128/256GB,Rp,1.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,744 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,"Laptop HP All Series | Intel Core i7 / i5 / i3 / AMD Ryzen | RAM 8/16GB | SSD 128/256GB
Rp
1.800.000
4.7
744 Terjual
Jakarta Timur",https://shopee.co.id/Laptop-HP-All-Series-Intel-Core-i7-i5-i3-AMD-Ryzen-RAM-8-16GB-SSD-128-256GB-i.26647239.23774487803?extraParams=%7B%22display_model_id%22%3A415798174762%2C%22model_selection_logic%22%3A3%7D&sp_atk=825779ec-ffd5-4384-9e5c-2ed7035125f9&xptdk=825779ec-ffd5-4384-9e5c-2ed7035125f9
https://down-id.img.susercontent.com/file/id-11134207-7qukx-lj5dcbrg8dhz90,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP HP 14 DUAL CORE RAM 8GB 512 SSD WINDOWS 10,Rp,1.060.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.2,23 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,"LAPTOP HP 14 DUAL CORE RAM 8GB 512 SSD WINDOWS 10
Rp
1.060.000
4.2
23 Terjual
Jakarta Barat",https://shopee.co.id/LAPTOP-HP-14-DUAL-CORE-RAM-8GB-512-SSD-WINDOWS-10-i.4152980.18090724321?extraParams=%7B%22display_model_id%22%3A194424036043%2C%22model_selection_logic%22%3A3%7D&sp_atk=b538ab54-4599-45a3-8708-3a0dddc58222&xptdk=b538ab54-4599-45a3-8708-3a0dddc58222
https://down-id.img.susercontent.com/file/id-11134207-822wi-mlfs6xruefi8b6,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Lenovo ideapad D330 2in1 CELLERON /Ram 4GB /EMMC 64GB -Second Mulus Bergarasi,Rp,1.599.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,221 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-47%,,,"Laptop Lenovo ideapad D330 2in1 CELLERON /Ram 4GB /EMMC 64GB -Second Mulus Bergarasi
Rp
1.599.000
-47%
4.9
221 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Lenovo-ideapad-D330-2in1-CELLERON-Ram-4GB-EMMC-64GB-Second-Mulus-Bergarasi-i.92762228.18180113508?extraParams=%7B%22display_model_id%22%3A286588717592%2C%22model_selection_logic%22%3A3%7D&sp_atk=dbb0a4b5-a19c-4923-8944-e9429eeb28e9&xptdk=dbb0a4b5-a19c-4923-8944-e9429eeb28e9
https://down-id.img.susercontent.com/file/id-11134207-8224o-mkf0yan3k2dg2a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Obral Laptop Asus A407M‎Celeron N4000 minus layak pakai,Rp,1.675.000,,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,"Obral Laptop Asus A407M‎Celeron N4000 minus layak pakai
Rp
1.675.000
1 Terjual
Jakarta Barat",https://shopee.co.id/Obral-Laptop-Asus-A407M%E2%80%8ECeleron-N4000-minus-layak-pakai-i.777857369.49404921459?extraParams=%7B%22display_model_id%22%3A297345679371%2C%22model_selection_logic%22%3A3%7D&sp_atk=b8e2d259-a2a2-4ceb-af39-c2e460274429&xptdk=b8e2d259-a2a2-4ceb-af39-c2e460274429
https://down-id.img.susercontent.com/file/id-11134207-7rasd-m26cn9od5tc3dc,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Samsung 500R, Core i5-6200HQ, Hd Graphics 520, Ram 8 / 256Gb, Lengkap, Black Silver",Rp,2.700.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,"Samsung 500R, Core i5-6200HQ, Hd Graphics 520, Ram 8 / 256Gb, Lengkap, Black Silver
Rp
2.700.000
Jakarta Barat",https://shopee.co.id/Samsung-500R-Core-i5-6200HQ-Hd-Graphics-520-Ram-8-256Gb-Lengkap-Black-Silver-i.850155898.26916470165?extraParams=%7B%22display_model_id%22%3A129125580703%2C%22model_selection_logic%22%3A3%7D&sp_atk=6e080ed5-a73b-4415-a695-d4001263d3ca&xptdk=6e080ed5-a73b-4415-a695-d4001263d3ca
https://down-id.img.susercontent.com/file/id-11134207-7rasa-m1xmm7prtm0pb7,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop HP ProBook 440 G2 Core i5 Gen 5 RAM 8GB 4GB SSD 256GB 128GB Obral Murah,Rp,1.400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,10 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,"Laptop HP ProBook 440 G2 Core i5 Gen 5 RAM 8GB 4GB SSD 256GB 128GB Obral Murah
Rp
1.400.000
5.0
10 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-HP-ProBook-440-G2-Core-i5-Gen-5-RAM-8GB-4GB-SSD-256GB-128GB-Obral-Murah-i.164544633.26265832818?extraParams=%7B%22display_model_id%22%3A325445676477%2C%22model_selection_logic%22%3A3%7D&sp_atk=c2f33e80-a9a7-4c37-bffd-62a772dc1bd2&xptdk=c2f33e80-a9a7-4c37-bffd-62a772dc1bd2
https://down-id.img.susercontent.com/file/sg-11134201-23020-3uy4j202c8mvd3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP ASUS 14 inch INTEL CELERON / AMD RAM 8GB / HDD 1TB / WINDOWS 10,Rp,1.360.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-51%,Cicilan,,"LAPTOP ASUS 14 inch INTEL CELERON / AMD RAM 8GB / HDD 1TB / WINDOWS 10
Rp
1.360.000
-51%
Cicilan
4.5
1RB+ Terjual
Jakarta Barat",https://shopee.co.id/LAPTOP-ASUS-14-inch-INTEL-CELERON-AMD-RAM-8GB-HDD-1TB-WINDOWS-10-i.421686648.9160623242?extraParams=%7B%22display_model_id%22%3A100406945754%2C%22model_selection_logic%22%3A3%7D&sp_atk=4bc39a40-db82-47fc-abe9-50854084a236&xptdk=4bc39a40-db82-47fc-abe9-50854084a236
https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mbwdc6gehpjkac,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Chromebook Lenovo 14E Core AMD A4-9120C Ram 4GB , SSD 32GB, Layar 14""Inch ( Touhcscreen ) Bergaransi",Rp,1.498.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-1%,Kombo Hemat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Chromebook Lenovo 14E Core AMD A4-9120C Ram 4GB , SSD 32GB, Layar 14""Inch ( Touhcscreen ) Bergaransi
Rp
1.498.000
-1%
Kombo Hemat
Surabaya",https://shopee.co.id/Chromebook-Lenovo-14E-Core-AMD-A4-9120C-Ram-4GB-SSD-32GB-Layar-14-Inch-(-Touhcscreen-)-Bergaransi-i.1290502453.42107660544?extraParams=%7B%22display_model_id%22%3A290649707973%2C%22model_selection_logic%22%3A3%7D&sp_atk=9c56e853-c1e2-4d2b-bf82-dbd0370cc7d0&xptdk=9c56e853-c1e2-4d2b-bf82-dbd0370cc7d0
https://down-id.img.susercontent.com/file/id-11134207-7r98v-lr33wf62w95586,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,laptop samsung white series np275e4v 14inch 2gb ram 500gb hdd mulus no minus,Rp,1.099.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-50%,,,"laptop samsung white series np275e4v 14inch 2gb ram 500gb hdd mulus no minus
Rp
1.099.000
-50%
5.0
3 Terjual
Tangerang",https://shopee.co.id/laptop-samsung-white-series-np275e4v-14inch-2gb-ram-500gb-hdd-mulus-no-minus-i.41632262.25161419201?extraParams=%7B%22display_model_id%22%3A217298966832%2C%22model_selection_logic%22%3A3%7D&sp_atk=c29d82d3-da1b-4b0d-ba2b-e44474a131b9&xptdk=c29d82d3-da1b-4b0d-ba2b-e44474a131b9
