-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,pointer-events-none_2,align-middle,img,text-xs/sp14_2,text-xs,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wl-mmbm1solhhjjad,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Samsung 910S | Core i5-4120U | Ram8GB/Ssd256Gb | Slim,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.650.000,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,"Laptop Samsung 910S | Core i5-4120U | Ram8GB/Ssd256Gb | Slim
Rp
2.650.000
-4%
Jakarta Barat",https://shopee.co.id/Laptop-Samsung-910S-Core-i5-4120U-Ram8GB-Ssd256Gb-Slim-i.239820426.43479549446?extraParams=%7B%22display_model_id%22%3A390693189738%2C%22model_selection_logic%22%3A3%7D&sp_atk=334c03f5-510b-4a43-9a1b-da293d609709&xptdk=334c03f5-510b-4a43-9a1b-da293d609709
https://down-id.img.susercontent.com/file/id-11134207-8224w-milhgpky8t8ha6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Second Dell Latitude 7320 I7 Gen 11th Ram 16GB Ssd 512GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.265.000,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,13 Terjual,,"Laptop Second Dell Latitude 7320 I7 Gen 11th Ram 16GB Ssd 512GB
Rp
2.265.000
-2%
5.0
13 Terjual
Bandung",https://shopee.co.id/Laptop-Second-Dell-Latitude-7320-I7-Gen-11th-Ram-16GB-Ssd-512GB-i.904364106.41572617281?extraParams=%7B%22display_model_id%22%3A390256478079%2C%22model_selection_logic%22%3A3%7D&sp_atk=d4512680-5084-40fd-97c7-9cd678b3578b&xptdk=d4512680-5084-40fd-97c7-9cd678b3578b
https://down-id.img.susercontent.com/file/id-11134207-81ztf-mfc3iex8lpfw26,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Notebook chromebook samsung 303c series ada minus,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,485.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,"Notebook chromebook samsung 303c series ada minus
Rp
485.000
Surabaya",https://shopee.co.id/Notebook-chromebook-samsung-303c-series-ada-minus-i.583175572.44022607976?extraParams=%7B%22display_model_id%22%3A258985214619%2C%22model_selection_logic%22%3A3%7D&sp_atk=6746ab98-d32a-475d-99e1-0afba4540bf7&xptdk=6746ab98-d32a-475d-99e1-0afba4540bf7
https://down-id.img.susercontent.com/file/7f9a4ab6542f74d4cbff7247e268a929,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Asus X555B AMD E2-9010 Ram 8GB SSD 256/1TB  Radeon R2 Grafis - SIAP PAKAI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.850.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,42 Terjual,Cicilan,"Laptop Asus X555B AMD E2-9010 Ram 8GB SSD 256/1TB Radeon R2 Grafis - SIAP PAKAI
Rp
1.850.000
Cicilan
4.5
42 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Asus-X555B-AMD-E2-9010-Ram-8GB-SSD-256-1TB-Radeon-R2-Grafis-SIAP-PAKAI-i.230649038.12687463204?extraParams=%7B%22display_model_id%22%3A232469416814%2C%22model_selection_logic%22%3A3%7D&sp_atk=1da0ca98-fd85-4bfd-8fe2-522683e4c02c&xptdk=1da0ca98-fd85-4bfd-8fe2-522683e4c02c
https://down-id.img.susercontent.com/file/id-11134207-7r98y-lwgpka2b5vnuaa,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,"Laptop Samsung 275E, Amd E1-1500, Ram 4/500Gb, White",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.300.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,,"Laptop Samsung 275E, Amd E1-1500, Ram 4/500Gb, White
Rp
1.300.000
5.0
4 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-Samsung-275E-Amd-E1-1500-Ram-4-500Gb-White-i.218475243.25464619943?extraParams=%7B%22display_model_id%22%3A255359188170%2C%22model_selection_logic%22%3A3%7D&sp_atk=09c83c67-b9ae-46e6-ac84-be92a73b7803&xptdk=09c83c67-b9ae-46e6-ac84-be92a73b7803
https://down-id.img.susercontent.com/file/id-11134207-822ws-mmotaxaqht6w2d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Acer Chromebook C740 Ringan, Slim, Grey",,Rp,1.400.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,"Acer Chromebook C740 Ringan, Slim, Grey
Rp
1.400.000
Jakarta Barat",https://shopee.co.id/Acer-Chromebook-C740-Ringan-Slim-Grey-i.816009841.43279785990?extraParams=%7B%22display_model_id%22%3A310734684080%2C%22model_selection_logic%22%3A3%7D&sp_atk=fc4b6222-492a-419c-b905-c127c0b8d3b6&xptdk=fc4b6222-492a-419c-b905-c127c0b8d3b6
https://down-id.img.susercontent.com/file/id-11134207-7qul2-lhoptrebscij7d,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Acer ES1-432 Celeron-N3350 Ram 4/500GB BERGARANSI RED,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.900.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,17 Terjual,,"Laptop Acer ES1-432 Celeron-N3350 Ram 4/500GB BERGARANSI RED
Rp
1.900.000
5.0
17 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-Acer-ES1-432-Celeron-N3350-Ram-4-500GB-BERGARANSI-RED-i.850155898.22744666378?extraParams=%7B%22display_model_id%22%3A175927577840%2C%22model_selection_logic%22%3A3%7D&sp_atk=3178c304-f162-4d1e-bedf-fa97f75931f2&xptdk=3178c304-f162-4d1e-bedf-fa97f75931f2
https://down-id.img.susercontent.com/file/id-11134207-7r98q-lr8ahcnhvq31fd,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,laptop second bekas murah siap pakai,,Rp,670.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,13 Terjual,,"laptop second bekas murah siap pakai
Rp
670.000
4.9
13 Terjual
Kab. Tangerang",https://shopee.co.id/laptop-second-bekas-murah-siap-pakai-i.348260044.23063824451?extraParams=%7B%22display_model_id%22%3A251518445165%2C%22model_selection_logic%22%3A3%7D&sp_atk=b3cf48d1-9997-4a4d-b2fd-420479050aa6&xptdk=b3cf48d1-9997-4a4d-b2fd-420479050aa6
https://down-id.img.susercontent.com/file/id-11134207-7r98r-lr2oz0210h848e,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,laptop asus x401u putih 14inch normal siap pakai sudah terinstal standart amd radeon fullset,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.099.000,-47%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,,"laptop asus x401u putih 14inch normal siap pakai sudah terinstal standart amd radeon fullset
Rp
1.099.000
-47%
5.0
2 Terjual
Tangerang",https://shopee.co.id/laptop-asus-x401u-putih-14inch-normal-siap-pakai-sudah-terinstal-standart-amd-radeon-fullset-i.41632262.24361343163?extraParams=%7B%22display_model_id%22%3A197298168348%2C%22model_selection_logic%22%3A3%7D&sp_atk=3d760685-b207-4207-96e9-69b74ad7a128&xptdk=3d760685-b207-4207-96e9-69b74ad7a128
https://down-id.img.susercontent.com/file/id-11134207-81ztc-mforht5t258s2d,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Notebook Samsung NC108P windows 7 intel atom LCD10in Ram2gb DDR3 HDD250 Normal tested siap pakai gak ada carger,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,450.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,,"Notebook Samsung NC108P windows 7 intel atom LCD10in Ram2gb DDR3 HDD250 Normal tested siap pakai gak ada carger
Rp
450.000
5.0
2 Terjual
Kab. Cirebon",https://shopee.co.id/Notebook-Samsung-NC108P-windows-7-intel-atom-LCD10in-Ram2gb-DDR3-HDD250-Normal-tested-siap-pakai-gak-ada-carger-i.1022860192.18390474581?extraParams=%7B%22display_model_id%22%3A158269941790%2C%22model_selection_logic%22%3A3%7D&sp_atk=0a9638ad-0782-4d7d-8877-73571d4ee9fb&xptdk=0a9638ad-0782-4d7d-8877-73571d4ee9fb
