-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,align-middle,inline-block,text-xs,truncate,text-shopee-primary,img,text-xs/sp14_3,pointer-events-none_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mbv397uzs7jw0f,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Xiaomi Redmibook 15 Intel Core i3 Gen 11 Ram 8gb Ssd 256gb siap pakai,Rp,2.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,,,,,,,,"Laptop Xiaomi Redmibook 15 Intel Core i3 Gen 11 Ram 8gb Ssd 256gb siap pakai
Rp
2.700.000
Tangerang Selatan",https://shopee.co.id/Laptop-Xiaomi-Redmibook-15-Intel-Core-i3-Gen-11-Ram-8gb-Ssd-256gb-siap-pakai-i.63339857.42457555990?extraParams=%7B%22display_model_id%22%3A300641524160%2C%22model_selection_logic%22%3A3%7D&sp_atk=00b0da37-6aea-4211-9e18-58bd60b79196&xptdk=00b0da37-6aea-4211-9e18-58bd60b79196
https://down-id.img.susercontent.com/file/id-11134207-7rasg-m554m6zrowpp5a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop XIAOMI Redmi Book 15 Intel Core i3-1115G4 Gen 11Th Ram 8Gb/SSD 256Gb FHD Body design Slim Stylish desgn  Display 15inch,Rp,3.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,1 Terjual,,,,,,"Laptop XIAOMI Redmi Book 15 Intel Core i3-1115G4 Gen 11Th Ram 8Gb/SSD 256Gb FHD Body design Slim Stylish desgn Display 15inch
Rp
3.500.000
1 Terjual
Jakarta Barat",https://shopee.co.id/Laptop-XIAOMI-Redmi-Book-15-Intel-Core-i3-1115G4-Gen-11Th-Ram-8Gb-SSD-256Gb-FHD-Body-design-Slim-Stylish-desgn-Display-15inch-i.277449743.28923846824?extraParams=%7B%22display_model_id%22%3A252491567263%2C%22model_selection_logic%22%3A3%7D&sp_atk=00ea69ae-4126-41c0-968b-4298dbbcdb5b&xptdk=00ea69ae-4126-41c0-968b-4298dbbcdb5b
https://down-id.img.susercontent.com/file/id-11134207-822wm-mmh9fzty4ef78c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Xiaomi Mi Notebook Pro 15.6"" TM1701 Intel Core i7-8550U NVIDIA® GeForce® MX150 Ram 16Gb Ssd 512Gb Windows 11",Rp,5.555.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,,,,,,"Laptop Xiaomi Mi Notebook Pro 15.6"" TM1701 Intel Core i7-8550U NVIDIA® GeForce® MX150 Ram 16Gb Ssd 512Gb Windows 11
Rp
5.555.000
Malang",https://shopee.co.id/Laptop-Xiaomi-Mi-Notebook-Pro-15.6-TM1701-Intel-Core-i7-8550U-NVIDIA%C2%AE-GeForce%C2%AE-MX150-Ram-16Gb-Ssd-512Gb-Windows-11-i.1443585582.42179653728?extraParams=%7B%22display_model_id%22%3A310711544448%2C%22model_selection_logic%22%3A3%7D&sp_atk=28b02f74-78c1-408c-bc37-aa9f4c6b45ee&xptdk=28b02f74-78c1-408c-bc37-aa9f4c6b45ee
https://down-id.img.susercontent.com/file/id-11134207-822ws-mn5e4ys4g35v3f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,XIAOMI RedmiBook 16 Core i5-12450H Ram 16Gb Ssd 512Gb SCU23438,Rp,6.875.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,,,,,,"XIAOMI RedmiBook 16 Core i5-12450H Ram 16Gb Ssd 512Gb SCU23438
Rp
6.875.000
Malang",https://shopee.co.id/XIAOMI-RedmiBook-16-Core-i5-12450H-Ram-16Gb-Ssd-512Gb-SCU23438-i.141725604.55508991441?extraParams=%7B%22display_model_id%22%3A445797148236%2C%22model_selection_logic%22%3A3%7D&sp_atk=09bdf42c-e17c-4147-a93d-3e8c97ceb766&xptdk=09bdf42c-e17c-4147-a93d-3e8c97ceb766
https://down-id.img.susercontent.com/file/id-11134207-7rasd-m5snfqxuhqmubf,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Xiaomi RedmiBook 14II AMD Ryzen 5 4500U Radeon Ram 8Gb Ssd 256Gb SCU15101,Rp,5.460.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,,,,,,"Laptop Xiaomi RedmiBook 14II AMD Ryzen 5 4500U Radeon Ram 8Gb Ssd 256Gb SCU15101
Rp
5.460.000
Malang",https://shopee.co.id/Laptop-Xiaomi-RedmiBook-14II-AMD-Ryzen-5-4500U-Radeon-Ram-8Gb-Ssd-256Gb-SCU15101-i.44435356.29874987622?extraParams=%7B%22display_model_id%22%3A252573365626%2C%22model_selection_logic%22%3A3%7D&sp_atk=8b7e9689-4518-4b9e-a483-53fe9150c0e8&xptdk=8b7e9689-4518-4b9e-a483-53fe9150c0e8
https://down-id.img.susercontent.com/file/id-11134207-8224s-mj1360qnfzet17,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Xiaomi Redmibook intel Core i3 Gen 11 Ram 8 GB SSD 256 GB Premium Slim Laptop,Rp,3.650.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Ponorogo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,Produk Baru,,,,,"Xiaomi Redmibook intel Core i3 Gen 11 Ram 8 GB SSD 256 GB Premium Slim Laptop
Rp
3.650.000
Produk Baru
Kab. Ponorogo",https://shopee.co.id/Xiaomi-Redmibook-intel-Core-i3-Gen-11-Ram-8-GB-SSD-256-GB-Premium-Slim-Laptop-i.189772387.44477713249?extraParams=%7B%22display_model_id%22%3A277306652099%2C%22model_selection_logic%22%3A3%7D&sp_atk=b915308e-75bf-4c4f-9465-2616234b353e&xptdk=b915308e-75bf-4c4f-9465-2616234b353e
https://down-id.img.susercontent.com/file/fe63e4113d2e85f1fa2a52449aaa72db,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,XIAOMI REDMI BOOK 15 8/256 GB / XIAO MI REDMIBOOK 15 8+256GB NOTEBOOK GARANSI RESMI,Rp,7.040.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Makassar,,,,,,,,"XIAOMI REDMI BOOK 15 8/256 GB / XIAO MI REDMIBOOK 15 8+256GB NOTEBOOK GARANSI RESMI
Rp
7.040.000
Makassar",https://shopee.co.id/XIAOMI-REDMI-BOOK-15-8-256-GB-XIAO-MI-REDMIBOOK-15-8-256GB-NOTEBOOK-GARANSI-RESMI-i.77886318.16830905374?extraParams=%7B%22display_model_id%22%3A97240508907%2C%22model_selection_logic%22%3A3%7D&sp_atk=3180af22-9996-418a-8397-1925d1732b2d&xptdk=3180af22-9996-418a-8397-1925d1732b2d
https://down-id.img.susercontent.com/file/eec7904ed30d97cf7e4b7f1c6da8d8fd,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Xiaomi RedmiBook 15 [8/256 GB] [8/512 GB] Garansi Resmi,Rp,6.999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bantul,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,,,,"Xiaomi RedmiBook 15 [8/256 GB] [8/512 GB] Garansi Resmi
Rp
6.999.000
Kab. Bantul",https://shopee.co.id/Xiaomi-RedmiBook-15-8-256-GB-8-512-GB-Garansi-Resmi-i.86760630.17577590756?extraParams=%7B%22display_model_id%22%3A78907032432%2C%22model_selection_logic%22%3A3%7D&sp_atk=63dc0b23-e35e-4a0d-88c6-715ff94cc6f0&xptdk=63dc0b23-e35e-4a0d-88c6-715ff94cc6f0
https://down-id.img.susercontent.com/file/id-11134207-822wq-mlx2sc5ubj7z05,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Xiaomi RedmiBook 16 Intel Core i5-12450H Ram 16Gb Ssd 512Gb 16 inch Mulus,Rp,6.875.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,,,,,,"Laptop Xiaomi RedmiBook 16 Intel Core i5-12450H Ram 16Gb Ssd 512Gb 16 inch Mulus
Rp
6.875.000
Malang",https://shopee.co.id/Laptop-Xiaomi-RedmiBook-16-Intel-Core-i5-12450H-Ram-16Gb-Ssd-512Gb-16-inch-Mulus-i.1443585582.40806321499?extraParams=%7B%22display_model_id%22%3A262460250358%2C%22model_selection_logic%22%3A3%7D&sp_atk=402f3bee-5fe8-416e-8732-b8f9c608cc40&xptdk=402f3bee-5fe8-416e-8732-b8f9c608cc40
https://down-id.img.susercontent.com/file/sg-11134201-824ia-mf2cnbivzv9p7c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Xiaomi RedmiBook 14II AMD Ryzen 5 4500U Ram 16Gb Ssd 512Gb SCU15101,Rp,6.142.500,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,,,,,,"Laptop Xiaomi RedmiBook 14II AMD Ryzen 5 4500U Ram 16Gb Ssd 512Gb SCU15101
Rp
6.142.500
Malang",https://shopee.co.id/Laptop-Xiaomi-RedmiBook-14II-AMD-Ryzen-5-4500U-Ram-16Gb-Ssd-512Gb-SCU15101-i.79997666.42021345335?extraParams=%7B%22display_model_id%22%3A286741973116%2C%22model_selection_logic%22%3A3%7D&sp_atk=e7450297-5d1d-421b-b686-9a849e49999d&xptdk=e7450297-5d1d-421b-b686-9a849e49999d
