-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,text-shopee-primary,pointer-events-none_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rasb-m5i734m9zijc24,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,"XIAOMI Redmi Book 15 Layar 15.6 inch FHD Intel Core i3-1115G4 Baterai Besar 46Whr Windows 10, Lengkap, Navy",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.550.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,14 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,"XIAOMI Redmi Book 15 Layar 15.6 inch FHD Intel Core i3-1115G4 Baterai Besar 46Whr Windows 10, Lengkap, Navy
Rp
3.550.000
4.8
14 Terjual
Jakarta Barat",https://shopee.co.id/XIAOMI-Redmi-Book-15-Layar-15.6-inch-FHD-Intel-Core-i3-1115G4-Baterai-Besar-46Whr-Windows-10-Lengkap-Navy-i.218475243.26174700400?extraParams=%7B%22display_model_id%22%3A188182521486%2C%22model_selection_logic%22%3A3%7D&sp_atk=d30f394e-5329-47f2-bd55-3d004081680e&xptdk=d30f394e-5329-47f2-bd55-3d004081680e
https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mbaknmnkj3hn04,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Lenovo Thinkpad X-Series | X230 X240 X250 X260 X270 X280 X390 X13 | i5 i7 - 16GB SSD 512GB | MULUS & BERGARANSI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.565.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,976 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,"Laptop Lenovo Thinkpad X-Series | X230 X240 X250 X260 X270 X280 X390 X13 | i5 i7 - 16GB SSD 512GB | MULUS & BERGARANSI
Rp
2.565.000
4.9
976 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Lenovo-Thinkpad-X-Series-X230-X240-X250-X260-X270-X280-X390-X13-i5-i7-16GB-SSD-512GB-MULUS-BERGARANSI-i.174578880.21233038998?extraParams=%7B%22display_model_id%22%3A252688634962%2C%22model_selection_logic%22%3A3%7D&sp_atk=ab8ab346-9cc0-435c-84c4-ff0a4abb82f6&xptdk=ab8ab346-9cc0-435c-84c4-ff0a4abb82f6
https://down-id.img.susercontent.com/file/id-11134207-7r98o-lkrxmjmhq1aae1,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Acer Travelmate P449 intel core i5 gen 8 Ram 8GB SSD 256 GB UHD GRAFIS Backlight fingerprint - siap pakai,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.899.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.1,36 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,"Laptop Acer Travelmate P449 intel core i5 gen 8 Ram 8GB SSD 256 GB UHD GRAFIS Backlight fingerprint - siap pakai
Rp
2.899.000
4.1
36 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Acer-Travelmate-P449-intel-core-i5-gen-8-Ram-8GB-SSD-256-GB-UHD-GRAFIS-Backlight-fingerprint-siap-pakai-i.230649038.21783295392?extraParams=%7B%22display_model_id%22%3A240630218209%2C%22model_selection_logic%22%3A3%7D&sp_atk=20730535-ddd8-4376-a022-9a5415affaea&xptdk=20730535-ddd8-4376-a022-9a5415affaea
https://down-id.img.susercontent.com/file/id-11134207-7r98p-lva7fm8dkgzp3a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Lenovo Thinkpad X1 Carbon 6th 7th 8th Core i5 RAM 16GB SSD 512GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.894.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,77 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Lenovo Thinkpad X1 Carbon 6th 7th 8th Core i5 RAM 16GB SSD 512GB
Rp
2.894.000
-1%
4.6
77 Terjual
Jakarta Barat",https://shopee.co.id/Lenovo-Thinkpad-X1-Carbon-6th-7th-8th-Core-i5-RAM-16GB-SSD-512GB-i.609911463.24730521050?extraParams=%7B%22display_model_id%22%3A307003190661%2C%22model_selection_logic%22%3A3%7D&sp_atk=b438de8a-a746-4757-9aae-59c3c9409b19&xptdk=b438de8a-a746-4757-9aae-59c3c9409b19
https://down-id.img.susercontent.com/file/id-11134207-7r98o-lrgrpcw9ta4d9c,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Lenovo Thinkpad X1 Carbon All Series 1ST/2ND/3RD/4TH/5TH/6TH Core i5/i7 + BONUS!!! PALING MURAH PALING MULUS WORT IT TO BUY,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,105 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Laptop Lenovo Thinkpad X1 Carbon All Series 1ST/2ND/3RD/4TH/5TH/6TH Core i5/i7 + BONUS!!! PALING MURAH PALING MULUS WORT IT TO BUY
Rp
2.300.000
-4%
4.8
105 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-Lenovo-Thinkpad-X1-Carbon-All-Series-1ST-2ND-3RD-4TH-5TH-6TH-Core-i5-i7-BONUS!!!-PALING-MURAH-PALING-MULUS-WORT-IT-TO-BUY-i.1065701352.22788071245?extraParams=%7B%22display_model_id%22%3A365597646865%2C%22model_selection_logic%22%3A3%7D&sp_atk=910b30a3-d011-430d-9e3d-73824df0409e&xptdk=910b30a3-d011-430d-9e3d-73824df0409e
https://down-id.img.susercontent.com/file/id-11134207-7rasf-m2hmls171cjkb4,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,laptop netbook second samsung 10 inch murah normal semua siap pakai & zoom baterai awet garansi,,Rp,880.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,18 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,"laptop netbook second samsung 10 inch murah normal semua siap pakai & zoom baterai awet garansi
Rp
880.000
4.5
18 Terjual
Jakarta Barat",https://shopee.co.id/laptop-netbook-second-samsung-10-inch-murah-normal-semua-siap-pakai-zoom-baterai-awet-garansi-i.155530272.6547862376?extraParams=%7B%22display_model_id%22%3A242010194871%2C%22model_selection_logic%22%3A3%7D&sp_atk=ba664744-eed0-445f-b2d5-319ae2412734&xptdk=ba664744-eed0-445f-b2d5-319ae2412734
https://down-id.img.susercontent.com/file/id-11134207-7rbka-may08bvmne3o9d,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Lenovo Thinkpad L13 L15  I3 GEN 10 SECOND BERKUALITAS BERGARANSI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,36 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Laptop Lenovo Thinkpad L13 L15 I3 GEN 10 SECOND BERKUALITAS BERGARANSI
Rp
2.300.000
-4%
4.9
36 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-Lenovo-Thinkpad-L13-L15-I3-GEN-10-SECOND-BERKUALITAS-BERGARANSI-i.676179521.24803378431?extraParams=%7B%22display_model_id%22%3A380435943468%2C%22model_selection_logic%22%3A3%7D&sp_atk=8b930bd3-816d-43ce-9707-97eecda17526&xptdk=8b930bd3-816d-43ce-9707-97eecda17526
https://down-id.img.susercontent.com/file/id-11134207-8224q-mjgl5xziz1fn23,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Lenovo Thinkpad X390 / X13 | i5 / i7 Gen 8 / 10 | Mulus / Second / Original / Berkualitas / Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,123 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,Cicilan,"Lenovo Thinkpad X390 / X13 | i5 / i7 Gen 8 / 10 | Mulus / Second / Original / Berkualitas / Bergaransi
Rp
4.500.000
Cicilan
4.9
123 Terjual
Jakarta Pusat",https://shopee.co.id/Lenovo-Thinkpad-X390-X13-i5-i7-Gen-8-10-Mulus-Second-Original-Berkualitas-Bergaransi-i.30169103.5461734446?extraParams=%7B%22display_model_id%22%3A350607834615%2C%22model_selection_logic%22%3A3%7D&sp_atk=f9519a88-3415-44a9-91d5-fd36552f9ee0&xptdk=f9519a88-3415-44a9-91d5-fd36552f9ee0
https://down-id.img.susercontent.com/file/id-11134207-7rbkc-marzdwnves3889,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Lenovo Thinkpad X1 Carbon 5th Core i7 Gen7 Slim Mulus Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.894.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,120 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Lenovo Thinkpad X1 Carbon 5th Core i7 Gen7 Slim Mulus Bergaransi
Rp
2.894.000
-1%
4.9
120 Terjual
Jakarta Barat",https://shopee.co.id/Lenovo-Thinkpad-X1-Carbon-5th-Core-i7-Gen7-Slim-Mulus-Bergaransi-i.609911463.43503748167?extraParams=%7B%22display_model_id%22%3A306778438436%2C%22model_selection_logic%22%3A3%7D&sp_atk=83d81d1b-ef8d-40f7-9d51-c9a04db4e012&xptdk=83d81d1b-ef8d-40f7-9d51-c9a04db4e012
https://down-id.img.susercontent.com/file/id-11134207-7rash-m1xgc07uvty450,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Promo Laptop Lenovo Thinkpad L-Series L380 L480 L490  Core i5/i7 SSD 512GB - Second Murah Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.969.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,197 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,"Promo Laptop Lenovo Thinkpad L-Series L380 L480 L490 Core i5/i7 SSD 512GB - Second Murah Bergaransi
Rp
2.969.000
4.9
197 Terjual
Jakarta Pusat",https://shopee.co.id/Promo-Laptop-Lenovo-Thinkpad-L-Series-L380-L480-L490-Core-i5-i7-SSD-512GB-Second-Murah-Bergaransi-i.92762228.25450168016?extraParams=%7B%22display_model_id%22%3A306745009227%2C%22model_selection_logic%22%3A3%7D&sp_atk=e9b69792-3d97-47d2-8369-11fd0b8b8383&xptdk=e9b69792-3d97-47d2-8369-11fd0b8b8383
