-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,align-middle,img,text-xs/sp14_2,text-xs,inline-block,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224x-mjjax61jaxoh0e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP BEKAS XIAOMI REDMIBOOK 15 RAM 8GB 256 SSD W 10 15.6 FHD I3 + ADAPTOR Xiaomi Redmi book 15 inch,Rp,3.018.800,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kediri,,,,,,"LAPTOP BEKAS XIAOMI REDMIBOOK 15 RAM 8GB 256 SSD W 10 15.6 FHD I3 + ADAPTOR Xiaomi Redmi book 15 inch
Rp
3.018.800
Kab. Kediri",https://shopee.co.id/LAPTOP-BEKAS-XIAOMI-REDMIBOOK-15-RAM-8GB-256-SSD-W-10-15.6-FHD-I3-ADAPTOR-Xiaomi-Redmi-book-15-inch-i.43285087.41978070823?extraParams=%7B%22display_model_id%22%3A335440904992%2C%22model_selection_logic%22%3A3%7D&sp_atk=d4d96a73-a793-4e74-b7f9-3706127f2c20&xptdk=d4d96a73-a793-4e74-b7f9-3706127f2c20
https://down-id.img.susercontent.com/file/id-11134207-7ra0t-mdpm6saehmqg45,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Redmibook 15 second,Rp,3.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,,,,,"Redmibook 15 second
Rp
3.500.000
Semarang",https://shopee.co.id/Redmibook-15-second-i.1102209477.41314453505?extraParams=%7B%22display_model_id%22%3A296191681173%2C%22model_selection_logic%22%3A3%7D&sp_atk=57b58408-8a4e-4383-ab46-26bddcaa85af&xptdk=57b58408-8a4e-4383-ab46-26bddcaa85af
https://down-id.img.susercontent.com/file/id-11134207-81ztd-mf3jfsplehaja8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP BEKAS XIAOMI REDMIBOOK 15 RAM 8GB 256 SSD W 10 15.6 FHD I3 + ADAPTOR Redmi book 15 inch,Rp,4.226.300,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kediri,,,,,,"LAPTOP BEKAS XIAOMI REDMIBOOK 15 RAM 8GB 256 SSD W 10 15.6 FHD I3 + ADAPTOR Redmi book 15 inch
Rp
4.226.300
Kab. Kediri",https://shopee.co.id/LAPTOP-BEKAS-XIAOMI-REDMIBOOK-15-RAM-8GB-256-SSD-W-10-15.6-FHD-I3-ADAPTOR-Redmi-book-15-inch-i.43285087.28742217147?extraParams=%7B%22display_model_id%22%3A216287008637%2C%22model_selection_logic%22%3A3%7D&sp_atk=c7e6838e-5a80-4ef9-b72b-ad9591f8bf89&xptdk=c7e6838e-5a80-4ef9-b72b-ad9591f8bf89
https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m70ltwr3zxb53d,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,XIAOMI REDMIBOOK 15 INTEL CORE 3 GEN 11 RAM 8GB SSD 256GB SECOND/BEKAS,Rp,5.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,,,,,,"XIAOMI REDMIBOOK 15 INTEL CORE 3 GEN 11 RAM 8GB SSD 256GB SECOND/BEKAS
Rp
5.000.000
Bekasi",https://shopee.co.id/XIAOMI-REDMIBOOK-15-INTEL-CORE-3-GEN-11-RAM-8GB-SSD-256GB-SECOND-BEKAS-i.316371267.29028617514?extraParams=%7B%22display_model_id%22%3A247808164738%2C%22model_selection_logic%22%3A3%7D&sp_atk=ecc22306-581b-4b68-b1a6-649428ad713d&xptdk=ecc22306-581b-4b68-b1a6-649428ad713d
https://down-id.img.susercontent.com/file/id-11134207-7rbk2-m7hpbv5g5p06a4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Xiaomi Book 12.4inch 8/256GB Bekas Snapdragon 8cx Gen2+Keyboard original,Rp,7.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Dumai,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,,,"Xiaomi Book 12.4inch 8/256GB Bekas Snapdragon 8cx Gen2+Keyboard original
Rp
7.500.000
5.0
4 Terjual
Dumai",https://shopee.co.id/Xiaomi-Book-12.4inch-8-256GB-Bekas-Snapdragon-8cx-Gen2-Keyboard-original-i.4854119.23164186050?extraParams=%7B%22display_model_id%22%3A232626466201%2C%22model_selection_logic%22%3A3%7D&sp_atk=24090459-bdad-436f-87e8-965b7b52620a&xptdk=24090459-bdad-436f-87e8-965b7b52620a
https://down-id.img.susercontent.com/file/id-11134207-82251-mgn3z2t4nx8pe2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"REDMIBOOK LAPTOP 15"" ORIGINAL SECOND LIKE NEW",Rp,2.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,7 Terjual,,,"REDMIBOOK LAPTOP 15"" ORIGINAL SECOND LIKE NEW
Rp
2.800.000
5.0
7 Terjual
Jakarta Pusat",https://shopee.co.id/REDMIBOOK-LAPTOP-15-ORIGINAL-SECOND-LIKE-NEW-i.1378456676.56950770623?extraParams=%7B%22display_model_id%22%3A345069634348%2C%22model_selection_logic%22%3A3%7D&sp_atk=aece9e85-a4f1-4344-bc57-b73cb4619e32&xptdk=aece9e85-a4f1-4344-bc57-b73cb4619e32
https://down-id.img.susercontent.com/file/id-11134207-822wg-mlm7f1vsdngl93,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,REDMIBOOK 15 8/256 EX GARANSI RESMI,Rp,3.150.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"REDMIBOOK 15 8/256 EX GARANSI RESMI
Rp
3.150.000
Kab. Tangerang",https://shopee.co.id/REDMIBOOK-15-8-256-EX-GARANSI-RESMI-i.3920367.44856997695?extraParams=%7B%22display_model_id%22%3A206370094634%2C%22model_selection_logic%22%3A3%7D&sp_atk=d82ebee1-72f6-4216-b492-8e41e8c0408d&xptdk=d82ebee1-72f6-4216-b492-8e41e8c0408d
https://down-id.img.susercontent.com/file/id-11134207-8224x-mjkpojycixvp26,https://down-id.img.susercontent.com/file/id-11134258-822wp-mlyjp115kz5tc6,Laptop Redmi core i3 gen 11 siap pakai,Rp,3.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"Laptop Redmi core i3 gen 11 siap pakai
Rp
3.200.000
Kab. Bekasi",https://shopee.co.id/Laptop-Redmi-core-i3-gen-11-siap-pakai-i.21253960.40878087145?extraParams=%7B%22display_model_id%22%3A410445009260%2C%22model_selection_logic%22%3A3%7D&sp_atk=6407f879-bb48-4ef2-bd9c-f6b07a29b792&xptdk=6407f879-bb48-4ef2-bd9c-f6b07a29b792
https://down-id.img.susercontent.com/file/id-11134207-8224w-mib2yvv70f7rc4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"redmibook 15"" i3 gen 11 lcd merah tochpad off",Rp,2.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,Produk Baru,"redmibook 15"" i3 gen 11 lcd merah tochpad off
Rp
2.900.000
Produk Baru
Surabaya",https://shopee.co.id/redmibook-15-i3-gen-11-lcd-merah-tochpad-off-i.788256557.57253146556?extraParams=%7B%22display_model_id%22%3A445303163099%2C%22model_selection_logic%22%3A3%7D&sp_atk=c431dc19-258a-424a-8d02-295de1215e8b&xptdk=c431dc19-258a-424a-8d02-295de1215e8b
https://down-id.img.susercontent.com/file/id-11134207-7r98r-lpff2005fyiic2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop langka notebook Ultrabook Xiaomi mi air full hd ips,Rp,2.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Gunung Kidul,,,,,,"Laptop langka notebook Ultrabook Xiaomi mi air full hd ips
Rp
2.300.000
Kab. Gunung Kidul",https://shopee.co.id/Laptop-langka-notebook-Ultrabook-Xiaomi-mi-air-full-hd-ips-i.104573178.22288081754?extraParams=%7B%22display_model_id%22%3A225889410366%2C%22model_selection_logic%22%3A3%7D&sp_atk=7eae03a1-ced9-44d7-8795-61634b3155a2&xptdk=7eae03a1-ced9-44d7-8795-61634b3155a2
