-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-xs/sp14_2,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,w-auto,text-white,text-shopee-primary,truncate,img_2,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rbkc-maywctgwdu0494,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ZYREX ULTRA INTEL N100 8GB 128+256GB W11 14.0FHD BLIT METAL 2Y BLK,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,5.149.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pontianak,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"ZYREX ULTRA INTEL N100 8GB 128+256GB W11 14.0FHD BLIT METAL 2Y BLK
Rp
5.149.000
5.0
3 Terjual
3-8 Hari
Pontianak",https://shopee.co.id/ZYREX-ULTRA-INTEL-N100-8GB-128-256GB-W11-14.0FHD-BLIT-METAL-2Y-BLK-i.1534026306.42354452144?extraParams=%7B%22display_model_id%22%3A258518124960%2C%22model_selection_logic%22%3A3%7D&sp_atk=1432a113-8646-4ce1-acc0-8bae6020d75c&xptdk=1432a113-8646-4ce1-acc0-8bae6020d75c
https://down-id.img.susercontent.com/file/id-11134207-7rbka-mamj0njn8dx4b4,,ZYREX ULTRA INTEL N100 8GB 384SSD W11,,Rp,4.975.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 11:00,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"ZYREX ULTRA INTEL N100 8GB 384SSD W11
Rp
4.975.000
5.0
3 Terjual
Besok 11:00
Surabaya",https://shopee.co.id/ZYREX-ULTRA-INTEL-N100-8GB-384SSD-W11-i.1058807.44203364098?extraParams=%7B%22display_model_id%22%3A285279455249%2C%22model_selection_logic%22%3A3%7D&sp_atk=1ebcf5c9-3ba0-48d9-ad6e-41ed414a7c48&xptdk=1ebcf5c9-3ba0-48d9-ad6e-41ed414a7c48
https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mbhxwko8of6m07,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Zyrex L-Book Intel Celeron 8GB 384GB Win 11 14"" HD",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.160.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,14 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Zyrex L-Book Intel Celeron 8GB 384GB Win 11 14"" HD
Rp
4.160.000
4.9
14 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Zyrex-L-Book-Intel-Celeron-8GB-384GB-Win-11-14-HD-i.1316244009.43756402718?extraParams=%7B%22display_model_id%22%3A305536773496%2C%22model_selection_logic%22%3A3%7D&sp_atk=f4177159-47e2-4b2f-bd1d-6811752cb73e&xptdk=f4177159-47e2-4b2f-bd1d-6811752cb73e
https://down-id.img.susercontent.com/file/id-11134207-7rbk4-m9y8f6g9l2e67a,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop ZYREX D-TECH Ryzen 5 3500U 16GB SSD 256GB 14 HD W11 - ZYREX DTECH,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,6.393.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,10 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-30%,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Laptop ZYREX D-TECH Ryzen 5 3500U 16GB SSD 256GB 14 HD W11 - ZYREX DTECH
Rp
6.393.000
-30%
Hadiah Gratis
4.9
10 Terjual
< 2 Hari
Tangerang Selatan",https://shopee.co.id/Laptop-ZYREX-D-TECH-Ryzen-5-3500U-16GB-SSD-256GB-14-HD-W11-ZYREX-DTECH-i.1093264460.25542134197?extraParams=%7B%22display_model_id%22%3A440643655724%2C%22model_selection_logic%22%3A3%7D&sp_atk=2cb6a666-3cbf-4a9b-b8f9-32c4850cd852&xptdk=2cb6a666-3cbf-4a9b-b8f9-32c4850cd852
https://down-id.img.susercontent.com/file/id-11134207-7ra0k-md5vchnl9vtw1e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Zyrex Blaze i5-12450H 14"" FHD IPS 16GB 512GB SSD",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,7.499.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Yogyakarta,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"Zyrex Blaze i5-12450H 14"" FHD IPS 16GB 512GB SSD
Rp
7.499.000
< 2 Hari
Yogyakarta",https://shopee.co.id/Zyrex-Blaze-i5-12450H-14-FHD-IPS-16GB-512GB-SSD-i.259775845.41211984933?extraParams=%7B%22display_model_id%22%3A291004454264%2C%22model_selection_logic%22%3A3%7D&sp_atk=46f1d42e-ee6e-4eda-bc7c-8d99e89b61fc&xptdk=46f1d42e-ee6e-4eda-bc7c-8d99e89b61fc
https://down-id.img.susercontent.com/file/id-11134207-81zte-meu6n7x54ydedc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Zyrex L-Book Zyrex Lifebook Intel N4020 8GB 128GB eMMC WIN 11 Home 14""HD",,Rp,4.099.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"Laptop Zyrex L-Book Zyrex Lifebook Intel N4020 8GB 128GB eMMC WIN 11 Home 14""HD
Rp
4.099.000
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Zyrex-L-Book-Zyrex-Lifebook-Intel-N4020-8GB-128GB-eMMC-WIN-11-Home-14-HD-i.233137926.43220092244?extraParams=%7B%22display_model_id%22%3A196273260467%2C%22model_selection_logic%22%3A3%7D&sp_atk=2a16bb6f-113f-4807-a82c-4cc7b2550cc7&xptdk=2a16bb6f-113f-4807-a82c-4cc7b2550cc7
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mceg2ew28apxa6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP ZYREX L-BOOK N4020 8GB 256GB WINDOWS 11PRO 14.0 GARANSI RESMI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.155.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,10 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,,-1%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"LAPTOP ZYREX L-BOOK N4020 8GB 256GB WINDOWS 11PRO 14.0 GARANSI RESMI
Rp
4.155.000
-1%
5.0
10 Terjual
3-4 Hari
Depok",https://shopee.co.id/LAPTOP-ZYREX-L-BOOK-N4020-8GB-256GB-WINDOWS-11PRO-14.0-GARANSI-RESMI-i.331211968.25334520031?extraParams=%7B%22display_model_id%22%3A275768646086%2C%22model_selection_logic%22%3A3%7D&sp_atk=98077782-bb94-45a5-8eae-97de7cada810&xptdk=98077782-bb94-45a5-8eae-97de7cada810
https://down-id.img.susercontent.com/file/id-11134207-822ws-mmlo7pn3gy6ca1,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZYREX SKY 232 PRIME I5 1035G7 8GB 512GB W11 14.0FHD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,5.759.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,-1%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"ZYREX SKY 232 PRIME I5 1035G7 8GB 512GB W11 14.0FHD
Rp
5.759.000
-1%
Besok
Surabaya",https://shopee.co.id/ZYREX-SKY-232-PRIME-I5-1035G7-8GB-512GB-W11-14.0FHD-i.1471949508.49907249519?extraParams=%7B%22display_model_id%22%3A445644455419%2C%22model_selection_logic%22%3A3%7D&sp_atk=70f3fc91-6a08-4542-ad98-c8121f6e54e5&xptdk=70f3fc91-6a08-4542-ad98-c8121f6e54e5
https://down-id.img.susercontent.com/file/id-11134207-8224s-mgj6ac56qdce75,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,"Zyrex D-Tech Pro V2 Ryzen 5 16GB 512GB 14"" Win 11",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.575.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-25%,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,"Zyrex D-Tech Pro V2 Ryzen 5 16GB 512GB 14"" Win 11
Rp
8.575.000
-25%
Pilih Lokal
5.0
4 Terjual
< 2 Hari
Semarang",https://shopee.co.id/Zyrex-D-Tech-Pro-V2-Ryzen-5-16GB-512GB-14-Win-11-i.1084083096.24496576214?extraParams=%7B%22display_model_id%22%3A286235148548%2C%22model_selection_logic%22%3A3%7D&sp_atk=79695b2e-cf32-49ce-a8ac-e797dc327b83&xptdk=79695b2e-cf32-49ce-a8ac-e797dc327b83
https://down-id.img.susercontent.com/file/id-11134207-8224y-mjfa6cnszoqtae,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZYREX D-TECH RYZEN 5 3500 16GB 256GB W11 14.0 2Y,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.551.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-1%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"ZYREX D-TECH RYZEN 5 3500 16GB 256GB W11 14.0 2Y
Rp
7.551.000
-1%
5.0
6 Terjual
< 2 Hari
Jakarta Selatan",https://shopee.co.id/ZYREX-D-TECH-RYZEN-5-3500-16GB-256GB-W11-14.0-2Y-i.925508383.25745458719?extraParams=%7B%22display_model_id%22%3A280711507150%2C%22model_selection_logic%22%3A3%7D&sp_atk=ec701448-e571-4816-b6c5-a0b6749482a8&xptdk=ec701448-e571-4816-b6c5-a0b6749482a8
