-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-xs/sp14_2,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,w-auto,text-white,text-shopee-primary,pointer-events-none_3,truncate,img_2,text-xs_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-81zti-mezgscwkjy8bcf,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Zyrex D-TECH Ryzen 5 3500 16GB 256GB W11 14.0 2Y BLU GARANSI RESMI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,6.393.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,1 Terjual,"Laptop Zyrex D-TECH Ryzen 5 3500 16GB 256GB W11 14.0 2Y BLU GARANSI RESMI
Rp
6.393.000
5.0
1 Terjual
3-4 Hari
Jakarta Timur",https://shopee.co.id/Laptop-Zyrex-D-TECH-Ryzen-5-3500-16GB-256GB-W11-14.0-2Y-BLU-GARANSI-RESMI-i.1564683536.41955819094?extraParams=%7B%22display_model_id%22%3A315758458899%2C%22model_selection_logic%22%3A3%7D&sp_atk=e44ed8b3-40d5-4251-be94-4966e85d2273&xptdk=e44ed8b3-40d5-4251-be94-4966e85d2273
https://down-id.img.susercontent.com/file/id-11134207-7ra0q-md5swbtdoomwfc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP ZYREX L-BOOK N4020 8GB 256GB WINDOWS 11PRO 14.0 GARANSI RESMI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.160.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,1 Terjual,"LAPTOP ZYREX L-BOOK N4020 8GB 256GB WINDOWS 11PRO 14.0 GARANSI RESMI
Rp
4.160.000
5.0
1 Terjual
< 2 Hari
Depok",https://shopee.co.id/LAPTOP-ZYREX-L-BOOK-N4020-8GB-256GB-WINDOWS-11PRO-14.0-GARANSI-RESMI-i.649625196.40902869217?extraParams=%7B%22display_model_id%22%3A271004403065%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b3beb6e-eef9-4798-800c-930f1d5b2307&xptdk=7b3beb6e-eef9-4798-800c-930f1d5b2307
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mbrjgogh7v2sac,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"ZYREX LIFEBOOK N4020 8GB 128GB WIN11PRO 14"" GREY",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,4.473.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Makassar,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,12 Terjual,"ZYREX LIFEBOOK N4020 8GB 128GB WIN11PRO 14"" GREY
Rp
4.473.000
5.0
12 Terjual
3-4 Hari
Makassar",https://shopee.co.id/ZYREX-LIFEBOOK-N4020-8GB-128GB-WIN11PRO-14-GREY-i.1534048892.44207252647?extraParams=%7B%22display_model_id%22%3A306626981586%2C%22model_selection_logic%22%3A3%7D&sp_atk=3f8fa668-d398-4577-8806-660bcd9209d5&xptdk=3f8fa668-d398-4577-8806-660bcd9209d5
https://down-id.img.susercontent.com/file/sg-11134201-82629-mkdmnrds2br6bb,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,LAPTOP ZYREX L-BOOK N4020/8/128/W11/D.GREY,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.000.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cianjur,,,,,,,3-4 Hari,"LAPTOP ZYREX L-BOOK N4020/8/128/W11/D.GREY
Rp
4.000.000
3-4 Hari
Kab. Cianjur",https://shopee.co.id/LAPTOP-ZYREX-L-BOOK-N4020-8-128-W11-D.GREY-i.44412577.43028627390?extraParams=%7B%22display_model_id%22%3A307391853083%2C%22model_selection_logic%22%3A3%7D&sp_atk=eb354d50-cf95-49bc-876f-4bbe074b8635&xptdk=eb354d50-cf95-49bc-876f-4bbe074b8635
https://down-id.img.susercontent.com/file/id-11134207-8224p-mjcdw09wo16s57,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Zyrex Lifebook L-Book Intel N4020 8GB 384GB Windows 11PRO 14.0 Inci,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,4.160.000,4.3,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-22%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,13 Terjual,"Laptop Zyrex Lifebook L-Book Intel N4020 8GB 384GB Windows 11PRO 14.0 Inci
Rp
4.160.000
-22%
4.3
13 Terjual
< 2 Hari
Depok",https://shopee.co.id/Laptop-Zyrex-Lifebook-L-Book-Intel-N4020-8GB-384GB-Windows-11PRO-14.0-Inci-i.1274014683.27771967207?extraParams=%7B%22display_model_id%22%3A315417951024%2C%22model_selection_logic%22%3A3%7D&sp_atk=0f0b49e6-8ec7-46fe-a761-149d30326915&xptdk=0f0b49e6-8ec7-46fe-a761-149d30326915
https://down-id.img.susercontent.com/file/id-11134207-8224r-mj3o1uiu0o3n44,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop Zyrex Blaze Core i5 32GB 1TB SSD Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.561.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,1 Terjual,"Laptop Zyrex Blaze Core i5 32GB 1TB SSD Windows 11
Rp
7.561.000
-1%
1 Terjual
< 2 Hari
Jakarta Selatan",https://shopee.co.id/Laptop-Zyrex-Blaze-Core-i5-32GB-1TB-SSD-Windows-11-i.256652736.28371989420?extraParams=%7B%22display_model_id%22%3A208105183804%2C%22model_selection_logic%22%3A3%7D&sp_atk=d914182f-a0a4-4b58-8814-e61bf131bfe4&xptdk=d914182f-a0a4-4b58-8814-e61bf131bfe4
https://down-id.img.susercontent.com/file/sg-11134201-8261c-mkd9m6qgya6d46,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZYREX BLAZE I5 12450H 16GB 512GB W11 14.0FHD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.611.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,-31%,,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,17 Terjual,"ZYREX BLAZE I5 12450H 16GB 512GB W11 14.0FHD
Rp
7.611.000
-31%
Cicilan
5.0
17 Terjual
3-5 Hari
Jakarta Utara",https://shopee.co.id/ZYREX-BLAZE-I5-12450H-16GB-512GB-W11-14.0FHD-i.405763687.9138116628?extraParams=%7B%22display_model_id%22%3A248471244712%2C%22model_selection_logic%22%3A3%7D&sp_atk=e0e343b5-9be4-44ec-b945-fad08d721988&xptdk=e0e343b5-9be4-44ec-b945-fad08d721988
https://down-id.img.susercontent.com/file/id-11134207-8224p-mi5kbl2k5q819b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop ZYREX D-TECH AMD RYZEN 5 3500U 16GB DDR4 256GB SSD WIN11 BLUE,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,6.078.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Medan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,1 Terjual,"Laptop ZYREX D-TECH AMD RYZEN 5 3500U 16GB DDR4 256GB SSD WIN11 BLUE
Rp
6.078.000
1 Terjual
< 2 Hari
Medan",https://shopee.co.id/Laptop-ZYREX-D-TECH-AMD-RYZEN-5-3500U-16GB-DDR4-256GB-SSD-WIN11-BLUE-i.1028114671.54852981401?extraParams=%7B%22display_model_id%22%3A445287798053%2C%22model_selection_logic%22%3A3%7D&sp_atk=54417b66-3d53-463b-8feb-04c1e1fdf838&xptdk=54417b66-3d53-463b-8feb-04c1e1fdf838
https://down-id.img.susercontent.com/file/id-11134207-8224r-mijz9ch6pssne0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Gaming ZyrexD-Tech Pro V2 Ryzen 5 16GB 512GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,8.322.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2 Terjual,"Laptop Gaming ZyrexD-Tech Pro V2 Ryzen 5 16GB 512GB
Rp
8.322.000
5.0
2 Terjual
< 2 Hari
Jakarta Timur",https://shopee.co.id/Laptop-Gaming-ZyrexD-Tech-Pro-V2-Ryzen-5-16GB-512GB-i.697591682.43226425808?extraParams=%7B%22display_model_id%22%3A350129372946%2C%22model_selection_logic%22%3A3%7D&sp_atk=c8e99458-4fbf-47a7-aa31-a9a6b234d865&xptdk=c8e99458-4fbf-47a7-aa31-a9a6b234d865
https://down-id.img.susercontent.com/file/id-11134207-7ra0m-mb4t2fv2ai5n8a,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,ZYREX L-BOOK | Intel Celeron N4020 | Intel UHD Graphics | 8GB 128GB | Windows 11PRO | 14.0 TN |,,Rp,4.160.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-16%,,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 Terjual,"ZYREX L-BOOK | Intel Celeron N4020 | Intel UHD Graphics | 8GB 128GB | Windows 11PRO | 14.0 TN |
Rp
4.160.000
-16%
Pilih Lokal
2 Terjual
< 2 Hari
Depok",https://shopee.co.id/ZYREX-L-BOOK-Intel-Celeron-N4020-Intel-UHD-Graphics-8GB-128GB-Windows-11PRO-14.0-TN--i.1127429539.43904985194?extraParams=%7B%22display_model_id%22%3A355398380111%2C%22model_selection_logic%22%3A3%7D&sp_atk=f6098480-dc8f-405e-a914-b614f32fb816&xptdk=f6098480-dc8f-405e-a914-b614f32fb816
