-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,truncate,pointer-events-none_2,text-shopee-green,pointer-events-none_3,align-middle,w-auto,text-white,img,text-xs/sp14_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224p-mimrdupaew3o16,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Zyrex L-Book /Intel N4020/8GB/128GB eMMC/14-inch/Widows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.140.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Banjarmasin,,,,,"Laptop Zyrex L-Book /Intel N4020/8GB/128GB eMMC/14-inch/Widows 11
Rp
4.140.000
-1%
Produk Baru
3-6 Hari
Banjarmasin",https://shopee.co.id/Laptop-Zyrex-L-Book-Intel-N4020-8GB-128GB-eMMC-14-inch-Widows-11-i.100688643.50353566527?extraParams=%7B%22display_model_id%22%3A385516239783%2C%22model_selection_logic%22%3A3%7D&sp_atk=54e0a23a-e05c-42f7-81b4-4450482736a2&xptdk=54e0a23a-e05c-42f7-81b4-4450482736a2
https://down-id.img.susercontent.com/file/id-11134207-7rbk9-magt8cq6jfha21,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZYREX LIFEBOOK N4020 8GB 128GB W11PRO 14.0 GRY,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.960.000,-5%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,,,,,"ZYREX LIFEBOOK N4020 8GB 128GB W11PRO 14.0 GRY
Rp
3.960.000
-5%
3-4 Hari
Bekasi",https://shopee.co.id/ZYREX-LIFEBOOK-N4020-8GB-128GB-W11PRO-14.0-GRY-i.1368552879.42302887889?extraParams=%7B%22display_model_id%22%3A285394159065%2C%22model_selection_logic%22%3A3%7D&sp_atk=7d3db606-5738-4b6c-b161-c20383068058&xptdk=7d3db606-5738-4b6c-b161-c20383068058
https://down-id.img.susercontent.com/file/id-11134207-81ztk-mf68rmb40he5f9,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Zyrex Sky 232 Celeron N3350 RAM 4/64GB ORIGINAL 100% & BERGARANSI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.100.000,-8%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"Zyrex Sky 232 Celeron N3350 RAM 4/64GB ORIGINAL 100% & BERGARANSI
Rp
1.100.000
-8%
2 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/Zyrex-Sky-232-Celeron-N3350-RAM-4-64GB-ORIGINAL-100-BERGARANSI-i.239820426.42721967482?extraParams=%7B%22display_model_id%22%3A301785479452%2C%22model_selection_logic%22%3A3%7D&sp_atk=6dfdec0c-2033-407c-80b4-67cca9b775cc&xptdk=6dfdec0c-2033-407c-80b4-67cca9b775cc
https://down-id.img.susercontent.com/file/id-11134207-8224s-mjl72h6fxxqb6c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Zyrex L-Book Intel Celeron N4020 8GB 128GB Windows 11 + Office 14.0 FHD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.955.000,-46%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"Laptop Zyrex L-Book Intel Celeron N4020 8GB 128GB Windows 11 + Office 14.0 FHD
Rp
3.955.000
-46%
5 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Laptop-Zyrex-L-Book-Intel-Celeron-N4020-8GB-128GB-Windows-11-Office-14.0-FHD-i.1105655476.41752272647?extraParams=%7B%22display_model_id%22%3A425447411071%2C%22model_selection_logic%22%3A3%7D&sp_atk=d98de6ed-6951-4321-80ee-7ce31123be23&xptdk=d98de6ed-6951-4321-80ee-7ce31123be23
https://down-id.img.susercontent.com/file/id-11134207-81zth-metmtsldr7k048,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Zyrex LBOOK LAPTOP ZYREX L-BOOK INTEL N4020 8GB 128GB eMMC Windows 11 14""HD GREY",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.099.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,"Zyrex LBOOK LAPTOP ZYREX L-BOOK INTEL N4020 8GB 128GB eMMC Windows 11 14""HD GREY
Rp
4.099.000
5.0
1 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Zyrex-LBOOK-LAPTOP-ZYREX-L-BOOK-INTEL-N4020-8GB-128GB-eMMC-Windows-11-14-HD-GREY-i.120453187.41454586077?extraParams=%7B%22display_model_id%22%3A301630770401%2C%22model_selection_logic%22%3A3%7D&sp_atk=1a464358-47d4-467f-b626-08e65dd94705&xptdk=1a464358-47d4-467f-b626-08e65dd94705
https://down-id.img.susercontent.com/file/id-11134207-822wn-mlj3cnjy1gjk8b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Zyrex D-Tech AMD Ryzen 5 3500 RAM 16GB SSD 256GB W11 ORIGINAL 4.0 2Y Garansi Resmi Zyrex,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.393.000,-6%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,"Zyrex D-Tech AMD Ryzen 5 3500 RAM 16GB SSD 256GB W11 ORIGINAL 4.0 2Y Garansi Resmi Zyrex
Rp
6.393.000
-6%
5.0
3 Terjual
4-5 Hari
Tangerang",https://shopee.co.id/Zyrex-D-Tech-AMD-Ryzen-5-3500-RAM-16GB-SSD-256GB-W11-ORIGINAL-4.0-2Y-Garansi-Resmi-Zyrex-i.1517186678.41251543281?extraParams=%7B%22display_model_id%22%3A335617117764%2C%22model_selection_logic%22%3A3%7D&sp_atk=01219292-029e-48e2-85f5-13e07b90f52c&xptdk=01219292-029e-48e2-85f5-13e07b90f52c
https://down-id.img.susercontent.com/file/id-11134207-7rbk9-map8shnfcdllc1,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,"Laptop Zyrex Ultra - Intel N100 8GB - 128+256GB SSD Win11 14.0""Inch FHD Backlit Keyboard",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.465.000,,,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"Laptop Zyrex Ultra - Intel N100 8GB - 128+256GB SSD Win11 14.0""Inch FHD Backlit Keyboard
Rp
4.465.000
Pilih Lokal
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Zyrex-Ultra-Intel-N100-8GB-128-256GB-SSD-Win11-14.0-Inch-FHD-Backlit-Keyboard-i.261550444.28017843075?extraParams=%7B%22display_model_id%22%3A285294290764%2C%22model_selection_logic%22%3A3%7D&sp_atk=7158743b-1faa-4a18-9404-5bd93f19075e&xptdk=7158743b-1faa-4a18-9404-5bd93f19075e
https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mce7y2mh3ozpc3,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,"Zyrex L-Book N4020 8GB 256GB W11PRO 14"" HD",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.995.448,,,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Medan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,"Zyrex L-Book N4020 8GB 256GB W11PRO 14"" HD
Rp
3.995.448
Pilih Lokal
5.0
1 Terjual
< 2 Hari
Medan",https://shopee.co.id/Zyrex-L-Book-N4020-8GB-256GB-W11PRO-14-HD-i.28450011.42259201731?extraParams=%7B%22display_model_id%22%3A290770485771%2C%22model_selection_logic%22%3A3%7D&sp_atk=5dc579a3-47d0-41df-8894-eea6bdb2a460&xptdk=5dc579a3-47d0-41df-8894-eea6bdb2a460
https://down-id.img.susercontent.com/file/id-11134207-8224y-mi9y6nmvpzpk8e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP ZYREX L-BOOK N4020 8GB 128GB 14""HD Win11",,Rp,4.049.000,-30%,,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,17 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,"LAPTOP ZYREX L-BOOK N4020 8GB 128GB 14""HD Win11
Rp
4.049.000
-30%
Produk Baru
17 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/LAPTOP-ZYREX-L-BOOK-N4020-8GB-128GB-14-HD-Win11-i.174585297.44753127581?extraParams=%7B%22display_model_id%22%3A380765238792%2C%22model_selection_logic%22%3A3%7D&sp_atk=971c56d9-9298-44fe-92a8-f0d2bc966d40&xptdk=971c56d9-9298-44fe-92a8-f0d2bc966d40
https://down-id.img.susercontent.com/file/id-11134207-7ra0h-mbrogl7bfveu52,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZYREX D-TECH AMD RYZEN 5 3500U 16GB 256GB WINDOWS 11 14.0 HD TN BLUE,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.561.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,14 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,"ZYREX D-TECH AMD RYZEN 5 3500U 16GB 256GB WINDOWS 11 14.0 HD TN BLUE
Rp
7.561.000
4.6
14 Terjual
< 2 Hari
Kab. Bogor",https://shopee.co.id/ZYREX-D-TECH-AMD-RYZEN-5-3500U-16GB-256GB-WINDOWS-11-14.0-HD-TN-BLUE-i.1368474464.42707269691?extraParams=%7B%22display_model_id%22%3A445484752167%2C%22model_selection_logic%22%3A3%7D&sp_atk=8ce02cdf-2a50-4461-b0f1-c2353b8ec6f6&xptdk=8ce02cdf-2a50-4461-b0f1-c2353b8ec6f6
