-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-green,img,text-xs/sp14_2,truncate,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wj-mn3tboa3kb2982,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Zyrex Sky 232 Intel Celeron N4020 RAM 4GB SSD 256GB Masih mulus Like new,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,"Laptop Zyrex Sky 232 Intel Celeron N4020 RAM 4GB SSD 256GB Masih mulus Like new
Rp
1.700.000
< 2 Hari
Jakarta Timur",https://shopee.co.id/Laptop-Zyrex-Sky-232-Intel-Celeron-N4020-RAM-4GB-SSD-256GB-Masih-mulus-Like-new-i.21730609.47108938540?extraParams=%7B%22display_model_id%22%3A435791203649%2C%22model_selection_logic%22%3A3%7D&sp_atk=65d3faa0-8128-4ae9-a4da-b6a1434bc5c5&xptdk=65d3faa0-8128-4ae9-a4da-b6a1434bc5c5
https://down-id.img.susercontent.com/file/sg-11134201-7ratk-mavapz65c1rn3b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Zyrex Kintamani Amd A9-9400 4GB 512GB SSD,,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,2-3 Hari,,,,,,"Laptop Zyrex Kintamani Amd A9-9400 4GB 512GB SSD
Rp
1.500.000
2-3 Hari
Malang",https://shopee.co.id/Laptop-Zyrex-Kintamani-Amd-A9-9400-4GB-512GB-SSD-i.141725604.42954167711?extraParams=%7B%22display_model_id%22%3A227871755346%2C%22model_selection_logic%22%3A3%7D&sp_atk=f41eddae-4543-48be-b1fc-32ee95b27f74&xptdk=f41eddae-4543-48be-b1fc-32ee95b27f74
https://down-id.img.susercontent.com/file/id-11134207-7ra0o-mcg4622pu2jk04,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,(SECOND) Zyrex Notebook E4105 sudah update WINDOWS 10,,Rp,1.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,"(SECOND) Zyrex Notebook E4105 sudah update WINDOWS 10
Rp
1.000.000
Besok
Surabaya",https://shopee.co.id/(SECOND)-Zyrex-Notebook-E4105-sudah-update-WINDOWS-10-i.969595132.28788891954?extraParams=%7B%22display_model_id%22%3A300778351089%2C%22model_selection_logic%22%3A3%7D&sp_atk=60dd859e-3ea3-4437-b68c-3edfac090498&xptdk=60dd859e-3ea3-4437-b68c-3edfac090498
https://down-id.img.susercontent.com/file/id-11134207-7rbke-m6qbv9ibpmwa23,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Zyrex Laptop 4Gb 256Gb Ssd Intel Celeron 14""",,Rp,1.850.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,"Zyrex Laptop 4Gb 256Gb Ssd Intel Celeron 14""
Rp
1.850.000
5.0
2 Terjual
< 2 Hari
Malang",https://shopee.co.id/Zyrex-Laptop-4Gb-256Gb-Ssd-Intel-Celeron-14--i.44435356.29677692777?extraParams=%7B%22display_model_id%22%3A188254557729%2C%22model_selection_logic%22%3A3%7D&sp_atk=f1f2c695-01c6-4012-9d8a-a6ebc83e550e&xptdk=f1f2c695-01c6-4012-9d8a-a6ebc83e550e
https://down-id.img.susercontent.com/file/sg-11134201-825zp-mjtotysoor9df5,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,laptop Zyrex Laptop Zyrex Notebook Intel Celeron N4020 Ram 4Gb Ssd 256Gb Emmc 64Gb Laptop Murah-Laptop Bekas-Laptop Gaming-Laptop Bergaransi-Laptop Kantoran-Laptop Multimedia-Laptop Design-Laptop Mahasiswa-Laptop Pelajar-Laptop Chromebook,,Rp,1.850.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,2-3 Hari,,,,,,"laptop Zyrex Laptop Zyrex Notebook Intel Celeron N4020 Ram 4Gb Ssd 256Gb Emmc 64Gb Laptop Murah-Laptop Bekas-Laptop Gaming-Laptop Bergaransi-Laptop Kantoran-Laptop Multimedia-Laptop Design-Laptop Mahasiswa-Laptop Pelajar-Laptop Chromebook
Rp
1.850.000
2-3 Hari
Malang",https://shopee.co.id/laptop-Zyrex-Laptop-Zyrex-Notebook-Intel-Celeron-N4020-Ram-4Gb-Ssd-256Gb-Emmc-64Gb-Laptop-Murah-Laptop-Bekas-Laptop-Gaming-Laptop-Bergaransi-Laptop-Kantoran-Laptop-Multimedia-Laptop-Design-Laptop-Mahasiswa-Laptop-Pelajar-Laptop-Chromebook-i.212142573.56855169365?extraParams=%7B%22display_model_id%22%3A440475412948%2C%22model_selection_logic%22%3A3%7D&sp_atk=1a21fab2-f7a2-40de-8109-3d3519d1745f&xptdk=1a21fab2-f7a2-40de-8109-3d3519d1745f
https://down-id.img.susercontent.com/file/id-11134207-7qul8-lgqy5vyefsh7e4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Zyrex Sky 232 14"" Celeron FHD Super Slim 95%",,Rp,1.450.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,7 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,"Zyrex Sky 232 14"" Celeron FHD Super Slim 95%
Rp
1.450.000
5.0
7 Terjual
3-4 Hari
Jakarta Barat",https://shopee.co.id/Zyrex-Sky-232-14-Celeron-FHD-Super-Slim-95--i.816009841.23567847178?extraParams=%7B%22display_model_id%22%3A214292822391%2C%22model_selection_logic%22%3A3%7D&sp_atk=f5211a40-f72b-4ecf-934f-f0c0700602c3&xptdk=f5211a40-f72b-4ecf-934f-f0c0700602c3
https://down-id.img.susercontent.com/file/id-11134201-7qul8-lgbuqj6c2pt571,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP NOTEBOOK SIAP PAKAI ZYREX SKY 232 N4020 RAM 4GB 256SSD+64GB 11.6FHD N4020 4/256+64,,Rp,2.399.900,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,5-7 Hari,,,,,,"LAPTOP NOTEBOOK SIAP PAKAI ZYREX SKY 232 N4020 RAM 4GB 256SSD+64GB 11.6FHD N4020 4/256+64
Rp
2.399.900
5-7 Hari
Jakarta Pusat",https://shopee.co.id/LAPTOP-NOTEBOOK-SIAP-PAKAI-ZYREX-SKY-232-N4020-RAM-4GB-256SSD-64GB-11.6FHD-N4020-4-256-64-i.21426159.21188349496?extraParams=%7B%22display_model_id%22%3A221563566027%2C%22model_selection_logic%22%3A3%7D&sp_atk=7740307f-2ed0-492f-b44d-48ba87a721f4&xptdk=7740307f-2ed0-492f-b44d-48ba87a721f4
https://down-id.img.susercontent.com/file/id-11134207-7rbk3-ma2izemj65176d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Zyrex Bunaken Intel Celeron N4020 Ram 4Gb Ssd 1Tb Windows 11 Siap Pakai,,Rp,1.775.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,"Laptop Zyrex Bunaken Intel Celeron N4020 Ram 4Gb Ssd 1Tb Windows 11 Siap Pakai
Rp
1.775.000
1 Terjual
< 2 Hari
Malang",https://shopee.co.id/Laptop-Zyrex-Bunaken-Intel-Celeron-N4020-Ram-4Gb-Ssd-1Tb-Windows-11-Siap-Pakai-i.79997666.28036832646?extraParams=%7B%22display_model_id%22%3A227834274387%2C%22model_selection_logic%22%3A3%7D&sp_atk=d3e11599-78a2-4f07-a1e7-5fc3ce6cef57&xptdk=d3e11599-78a2-4f07-a1e7-5fc3ce6cef57
https://down-id.img.susercontent.com/file/id-11134207-7rbk5-m8r3auk36xi518,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Zyrex Intel Celeron 16Gb 1Tb SSD Windows 11,,Rp,1.600.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,"Laptop Zyrex Intel Celeron 16Gb 1Tb SSD Windows 11
Rp
1.600.000
1 Terjual
< 2 Hari
Malang",https://shopee.co.id/Laptop-Zyrex-Intel-Celeron-16Gb-1Tb-SSD-Windows-11-i.44435356.29784035062?extraParams=%7B%22display_model_id%22%3A253471096246%2C%22model_selection_logic%22%3A3%7D&sp_atk=bc81e4cf-9557-43a3-8d3e-4107066accee&xptdk=bc81e4cf-9557-43a3-8d3e-4107066accee
https://down-id.img.susercontent.com/file/sg-11134201-81zwx-miwuzv5wwbuob7,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Zyrex Notebook Intel Celeron N4020 Ram 16Gb Ssd 1Tb Windos 11 Siap Pakai,,Rp,1.600.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,2-3 Hari,,,Produk Baru,,,"Laptop Zyrex Notebook Intel Celeron N4020 Ram 16Gb Ssd 1Tb Windos 11 Siap Pakai
Rp
1.600.000
Produk Baru
2-3 Hari
Malang",https://shopee.co.id/Laptop-Zyrex-Notebook-Intel-Celeron-N4020-Ram-16Gb-Ssd-1Tb-Windos-11-Siap-Pakai-i.212142573.48754016240?extraParams=%7B%22display_model_id%22%3A375378597102%2C%22model_selection_logic%22%3A3%7D&sp_atk=22dbaa40-e6af-4090-a607-ca2dce838b88&xptdk=22dbaa40-e6af-4090-a607-ca2dce838b88
