web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,detail produk,nama toko
"1777372660-1","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","motorolla MOTO G45 5G RAM 8+8/256GB Garansi Resmi TAM","Rp1.500.000","","250+ barang berhasil terjual","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/my-wallet-dream/motorolla-moto-g45-5g-ram-8-8-256gb-garansi-resmi-tam-1731768374278522795?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D2026042810371526E359E83860DB2E8ORE%26src%3Dsearch","my wallet dream"
"1777372662-2","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","ZTE Nubia Z50 (5G) (12GB/256GB) (The Best Of Camera) (Baru Resmi 100%)","Rp9.499.000","","","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/ebay-store-globalindo/zte-nubia-z50-5g-12gb-256gb-the-best-of-camera-baru-resmi-100?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D2026042810371526E359E83860DB2E8ORE%26src%3Dsearch","eBay Store Globalindo"
"1777372664-3","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","ZTE Nubia Redmagic 8s Pro 16GB/512GB Garansi Resmi Indonesia - 16GB/512GB","Rp14.999.000","","","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/phonengung/zte-nubia-redmagic-8s-pro-16gb-512gb-garansi-resmi-indonesia-16gb-512gb-d0bfe?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D2026042810371526E359E83860DB2E8ORE%26src%3Dsearch","PhoneNgung"
"1777372667-4","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","ZTE Nubia Z50 (5G) (12GB/256GB) (Jaminan Produk Original Baru Resmi) - Black, (12GB/256GB)","Rp9.499.000","","","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/ebay-store-globalindo/zte-nubia-z50-5g-12gb-256gb-jaminan-produk-original-baru-resmi-black-12gb-256gb?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D2026042810371526E359E83860DB2E8ORE%26src%3Dsearch","eBay Store Globalindo"
"1777372669-5","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Digitalisme x Promo Nubia RedMagic 11 Pro 16GB 512GB – ZTE Nubia Red Magic 11 Pro Gaming Phone Garansi Resmi - Snapdragon 8 Elite gen 5 - 16/512GB Subzero","Rp17.652.000","5","Terjual 6","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/digitalisme/digitalisme-x-promo-nubia-redmagic-11-pro-16gb-512gb-red-magic-11-pro-gaming-phone-garansi-resmi-snapdragon-8-elite-gen-5-1734837348932486353-1734837066244130001?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D2026042810371526E359E83860DB2E8ORE%26src%3Dsearch","Digitalisme Store"
"1777372671-6","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","ZTE AXON 30 ULTRA 5G SD888 12GB 256GB 128GB BLACK ORIGINAL","Rp70.652.400","","","Kota Administrasi Jakarta Selatan","https://www.tokopedia.com/mahendtreaici13/zte-axon-30-ultra-5g-sd888-12gb-256gb-128gb-black-original-1731080110943536942?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D2026042810371526E359E83860DB2E8ORE%26src%3Dsearch","mahendtreaici13"
"1777372673-7","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","ZTE NUBIA Neo 3 GT 5G (8/256GB) 6000mAH Super Fast Charging 80W Garansi Resmi Indonesia - PAKET BASIC C, INTERSTELLAR GRAY","Rp3.474.000","","3 barang berhasil terjual","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/agresfone/zte-nubia-neo-3-gt-5g-8-256gb-6000mah-super-fast-charging-80w-garansi-resmi-indonesia-1731838412072191751?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D2026042810371526E359E83860DB2E8ORE%26src%3Dsearch","Agres Fone"
"1777372675-8","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","ZTE NUBIA NEO 3 GT [5G] RAM [8/256GB] - ZTE Nubia Neo3 GT 5G [RAM 8+12GB Extended] GARANSI RESMI ZTE - Neo 3 GT - YELLOW, BONUS BAWAAN","Rp3.219.900","4.9","Terjual 250+","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/189-cell/zte-nubia-neo-3-gt-5g-ram-8-256gb-zte-nubia-neo3-gt-5g-ram-8-12gb-extended-garansi-resmi-zte-1732443352357570082?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D2026042810371526E359E83860DB2E8ORE%26src%3Dsearch","189 CELL"
"1777372678-9","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","(Exclusive Devgadget) ZTE NUBIA A36 (4+8)GB/64GB Smartphone Kamera AI 13MP Garansi Resmi Nasional - Nebula Black","Rp1.599.000","5","Terjual 8","Kab. Deli Serdang","https://www.tokopedia.com/indahponsel/exclusive-devgadget-zte-nubia-a36-4-8-gb-64gb-smartphone-kamera-ai-13mp-garansi-resmi-nasional-1733718297155372621?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D2026042810371526E359E83860DB2E8ORE%26src%3Dsearch","indahponseltamora"
"1777372680-10","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","zte Blade ram 4/128 bagus dan berkualitas","Rp1.150.000","5","Terjual 1","Kab. Bogor","https://www.tokopedia.com/toms-cell/zte-blade-ram-4-128-bagus-dan-berkualitas-1732823708648113895?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D2026042810371526E359E83860DB2E8ORE%26src%3Dsearch","Tom's Cell"
