web_scraper_order,web_scraper_start_url,detail produk,detail produk-href,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777220849-1","https://www.tokopedia.com/search?condition=1&st=product&q=iphone","Garansi Resmi Iphone 13 Iphone 14 Iphone 15 Iphone 16 128gb BaruRp8.850.000Hemat s.d  1% Pakai Bonus5.0100+ terjualTAB marketKab. Pasuruan","https://www.tokopedia.com/tabmarket/garansi-resmi-iphone-13-iphone-14-iphone-15-iphone-16-128gb-baru-1734459108932093786?extParam=ivf%3Dfalse%26keyword%3Diphone%26search_id%3D2026042616264804025959B191F819DCSA%26src%3Dsearch","Garansi Resmi Iphone 13 Iphone 14 Iphone 15 Iphone 16 128gb Baru - Second","Rp8.850.000","5","Terjual 100+","Kab. Pasuruan","TAB market"
"1777220855-2","https://www.tokopedia.com/search?condition=1&st=product&q=iphone","iPhone 13 | iPhone 14 | iPhone 15 128GB RESMl Indo Baru new segelRp11.659.000Hemat s.d  1% Pakai Bonus5.0100+ terjualHerbalwaeKab. Bantul","https://www.tokopedia.com/herbalwae/iphone-13-iphone-14-iphone-15-128gb-resml-indo-baru-new-segel-1734466852390208589?extParam=ivf%3Dfalse%26keyword%3Diphone%26search_id%3D2026042616264804025959B191F819DCSA%26src%3Dsearch","iPhone 13 | iPhone 14 | iPhone 15 128GB RESMl Indo Baru new segel - 15 Black, 128","Rp11.659.000","","","",""
"1777220861-3","https://www.tokopedia.com/search?condition=1&st=product&q=iphone","APPLE iPhone 16 Pro Max 512GB 1TB A18 PRO CPU 6C GPU 6C OLED Resmi iBOX GDN DIGIMAPRp31.999.000Hemat s.d  1% Pakai Bonus4.8500+ terjualCollins OfficialJakarta Pusat","https://www.tokopedia.com/collinsofficial/apple-iphone-16-pro-max-256gb-512gb-1tb-a18-pro-cpu-6c-gpu-6c-oled-resmi-ibox-gdn-digimap-1731203948927616199-1735206506915792071?extParam=ivf%3Dfalse%26keyword%3Diphone%26search_id%3D2026042616264804025959B191F819DCSA%26src%3Dsearch","","","","","",""
"1777220867-4","https://www.tokopedia.com/search?condition=1&st=product&q=iphone","Iphone 13 128GB Garansi Resmi 1Tahun IboxRp8.150.000Hemat s.d  1% Pakai Bonus5.0250+ terjualFaddinCellKab. Sidoarjo","https://www.tokopedia.com/archive-idacell-1/iphone-13-128gb-garansi-resmi-1tahun-ibox-1733433323771561841?extParam=ivf%3Dfalse%26keyword%3Diphone%26search_id%3D2026042616264804025959B191F819DCSA%26src%3Dsearch","Iphone 13 128GB Garansi Resmi 1Tahun Ibox - Habis Sold Out","Rp8.150.000","5","Terjual 250+","Kab. Sidoarjo","FaddinCell"
"1777220873-5","https://www.tokopedia.com/search?condition=1&st=product&q=iphone","Apple iPhone 17 Promax - New Garansi Resmi Indonesia 1 Tahun Asuransi 12 BulanRp32.200.000Hemat s.d  1% Pakai BonusMove And WinKab. Banyumas","https://www.tokopedia.com/mwgrup08/apple-iphone-17-promax-new-garansi-resmi-indonesia-1-tahun-asuransi-12-bulan-1734842151224903308-1734842514350704268?extParam=ivf%3Dfalse%26keyword%3Diphone%26search_id%3D2026042616264804025959B191F819DCSA%26src%3Dsearch","Apple iPhone 17 Promax - New Garansi Resmi Indonesia 1 Tahun Asuransi 12 Bulan - Silver, 512Gb","Rp32.200.000","","","Kab. Banyumas","Move And Win"
"1777220879-6","https://www.tokopedia.com/search?condition=1&st=product&q=iphone","APPLE IPHONE 13 128 GARANSI RESMIRp8.995.000Hemat s.d  1% Pakai Bonus5.0100+ terjualVirgha CellulerKab. Jepara","https://www.tokopedia.com/virghacell/apple-iphone-13-128-garansi-resmi-1734419827400344853?extParam=ivf%3Dfalse%26keyword%3Diphone%26search_id%3D2026042616264804025959B191F819DCSA%26src%3Dsearch","APPLE IPHONE 13 128 GARANSI RESMI - Iphone 13, Midnight","Rp8.995.000","5","Terjual 100+","Kab. Jepara","Virgha Celluler"
"1777220884-7","https://www.tokopedia.com/search?condition=1&st=product&q=iphone","IBOX Apple iPhone 17 Pro Max iPhone17 Promax 17Pro Max 5G 256GB 512GB 1TB 2TB 256 GB 512 GB 1 TB 2 TBRp26.310.000Hemat s.d  1% Pakai Bonus4.9100+ terjualchocoapple_NEWJakarta Pusat","https://www.tokopedia.com/chocoapple/iphone-11-128gb-128-gb-garansi-resmi-tam-ibox-1-tahun-1734941882746569971?extParam=ivf%3Dfalse%26keyword%3Diphone%26search_id%3D2026042616264804025959B191F819DCSA%26src%3Dsearch","IBOX Apple iPhone 17 Pro Max iPhone17 Promax 17Pro Max 5G 256GB 512GB 1TB 2TB 256 GB 512 GB 1 TB 2 TB - 256GB, DEEP BLUE","Rp26.310.000","4.9","Terjual 100+","Kota Administrasi Jakarta Pusat","chocoapple_NEW"
"1777220891-8","https://www.tokopedia.com/search?condition=1&st=product&q=iphone","Iphone 14 Segel BNIB Gren Peel Garansi Resmi IndonesiaRp10.100.000Hemat s.d  1% Pakai Bonus5.050+ terjualiLink.klikKab. Sidoarjo","https://www.tokopedia.com/ilinkklik/iphone-14-segel-bnib-gren-peel-garansi-resmi-indonesia-1734392249187009612-1735277469214344268?extParam=ivf%3Dfalse%26keyword%3Diphone%26search_id%3D2026042616264804025959B191F819DCSA%26src%3Dsearch","Iphone 14 Segel BNIB Gren Peel Garansi Resmi Indonesia - Promo Blue, GDN SA/A","Rp10.100.000","5","Terjual 50+","Kab. Sidoarjo","iLink.klik"
"1777220898-9","https://www.tokopedia.com/search?condition=1&st=product&q=iphone","NEW! APPLE IPHONE 16  - HANDPHONE IPHONE 16 GARANSI RESMIRp15.989.000Rp15.999.000Hemat s.d  1% Pakai Bonus5.025 terjualmdpsuperstorePalembang","https://www.tokopedia.com/mdpsuperstore/new-apple-iphone-16-handphone-iphone-16-garansi-resmi-1731142689585989223?extParam=ivf%3Dfalse%26keyword%3Diphone%26search_id%3D2026042616264804025959B191F819DCSA%26src%3Dsearch","NEW! APPLE IPHONE 16  - HANDPHONE IPHONE 16 GARANSI RESMI - PINK, 128GB","Rp15.989.000","5","Terjual 25","Kota Palembang","mdpsuperstore"
"1777220903-10","https://www.tokopedia.com/search?condition=1&st=product&q=iphone","iPhone 11 | 64GB / 128GB / 256GB | Resmi / iBoxRp6.169.0005.0100+ terjualRudolf com OfficialBekasi","https://www.tokopedia.com/rudolfdotcom/iphone-11-64gb-128gb-256gb-resmi-ibox-black-64gb?extParam=ivf%3Dfalse%26keyword%3Diphone%26search_id%3D2026042616264804025959B191F819DCSA%26src%3Dsearch","iPhone 11 | 64GB / 128GB / 256GB | Resmi / iBox - Black, 64GB","Rp6.169.000","5","Terjual 100+","Kota Bekasi","Rudolf com Official"
