web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,detail produk,nama toko
"1777546428-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Vivo y27 6/128 exdisplay likenew acc fresh","Rp1.850.000","5","Terjual 23","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/unit-gadget/vivo-y27-6-128-exdisplay-likenew-acc-fresh?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","UNIT GADGET"
"1777546435-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","oppo reno 11 5g 8/256gb second fullset","Rp3.049.000","5","Terjual 13","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/queencellshop/oppo-reno-11-5g-8-256gb-second-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","Queen Cellshop"
"1777546441-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","OPPO A77S 8/128 SECOND FULLSET & BATANGAN - bt layar retak","Rp1.050.000","5","Terjual 27","Kota Administrasi Jakarta Timur","https://www.tokopedia.com/pusat-cell/oppo-a77s-8-128-second-fullset-batangan-1731528172815681155?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","pusat cell"
"1777546445-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","OPPO A3S SECOND RASA BARU - hp saja","Rp410.000","4.5","Terjual 30+","Kab. Cirebon","https://www.tokopedia.com/tikiandroid/oppo-a3s-second-rasa-baru-1732723674024150110?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","- iki -"
"1777546452-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Oppo Reno3 | A91 8/128gb amoled original","Rp1.300.000","4.6","Terjual 30+","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/yude-cell-official/oppo-reno3-a91-8-128gb-amoled-original?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","Best Yude Store"
"1777546458-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Samsung Galaxy A8 Plus Ram 6/64Gb Murah - Fullset","Rp1.519.999","4.6","Terjual 14","Kab. Bogor","https://www.tokopedia.com/nccell/samsung-galaxy-a8-plus-ram-6-64gb-murah-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","nccell"
"1777546464-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Oppo Find N2 flip 8/256 second fullset resmi","Rp6.500.000","5","Terjual 12","Kota Bekasi","https://www.tokopedia.com/ghizstore-1/oppo-find-n2-flip-8-256-second-fullset-resmi?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","GHIZSTORE"
"1777546468-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Hp second Redmi 8,mulus 98%","Rp750.000","5","Terjual 2","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/indomajusatu/hp-second-redmi-8-mulus-98?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","indomajusatu"
"1777546472-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","oppo a31 4 128 second mulus","Rp1.600.000","5","Terjual 6","Kota Semarang","https://www.tokopedia.com/gg-handphone/oppo-a31-4-128-second-mulus?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","riyo hp"
"1777546475-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","SAMSUNG Galaxy Note 20 Ultra SEIN 8/256 GB Resmi Indonesia Raya - Cokelat","Rp5.999.000","5","Terjual 10","Kota Administrasi Jakarta Selatan","https://www.tokopedia.com/afracall/samsung-galaxy-note-20-ultra-sein-8-256-gb-resmi-indonesia-raya-cokelat-38956?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","afra call"
"1777546478-11","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Sony Xperia 5 original 64gb Rom 6gb ram mulus - all normal","Rp1.900.000","5","Terjual 18","Kab. Kulon Progo","https://www.tokopedia.com/indramjazz/sony-xperia-5-original-64gb-rom-6gb-ram-mulus-1731920997278975355?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","jazz gadget store"
"1777546480-12","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","","","","","","https://www.tokopedia.com/tokoacoy/blackberry-bb-q10?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch",""
"1777546483-13","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","XIAOMI NOTE 12 PRO 5G 8/256GB SECOND FULLSET","Rp2.450.000","5","Terjual 20","Kota Administrasi Jakarta Timur","https://www.tokopedia.com/supersupercell/xiaomi-note-12-pro-5g-8-256gb-second-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","supersupercell"
"1777546486-14","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Samsung Galaxy A52 Ram 8/256GB second","Rp3.000.000","5","Terjual 12","Kota Denpasar","https://www.tokopedia.com/cityhandphone/samsung-galaxy-a52-ram-8-256gb-second-1730983012770612262?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","City Handphone Shop"
"1777546488-15","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Vivo V5 lte tam 3/32 gb 4glte hitam","Rp350.000","3","Terjual 8","Kota Tangerang","https://www.tokopedia.com/rorikucinglucu/vivo-v5-lte-tam-3-32-gb-4glte-hitam-1731133687423468548?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","Rori kucing lucu"
