web_scraper_order,web_scraper_start_url,detail produk,detail produk-href,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777267350-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","Iphone 11 pro max 64GB wifi onlyRp2.800.0005.02 terjualPoin gadgetKab. Wonogiri","https://www.tokopedia.com/archive-ijackstore-1715212908/iphone-11-pro-max-64gb-wifi-only-1732534457610372989?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","Iphone 11 pro max 64GB wifi only","Rp2.800.000","5","Terjual 2","Kab. Wonogiri","Poin gadget"
"1777267357-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","IPHONE 12 MINI 128 GBRp3.995.000Hemat s.d  1% Pakai Bonus5.016 terjualIbgadgetstoreSemarang","https://www.tokopedia.com/ibgadgetstoresemarang/iphone-12-mini-128-gb-64-gb?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","IPHONE 12 MINI 128 GB - 64 gb","Rp3.995.000","5","Terjual 16","Kota Semarang","Ibgadgetstore"
"1777267364-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","(7QW2-166) IPHONE 14 RAM 128 GB (IBOX) PA/ARp4.100.0001 terjualArwana cell_NEWTangerang","https://www.tokopedia.com/arwanacell18/7qw2-166-iphone-14-ram-128-gb-ibox-pa-a-1732313560018093924?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","(7QW2-166) IPHONE 14 RAM 128 GB (IBOX) PA/A","Rp4.100.000","","1 barang berhasil terjual","Kota Tangerang","Arwana cell_NEW"
"1777267371-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","IPHONE 13 PRO 128GB 256GB SECOND LIKE NEW 100% ORIGINAL BERGARANSIRp7.835.000Hemat s.d  1% Pakai Bonus5.030+ terjualCyrus Cell BECBandung","https://www.tokopedia.com/cyruscelluler/iphone-13-pro-128gb-256gb-second-like-new-100-original-bergaransi-1731005974751512095?extParam=ivf%3Dtrue%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","IPHONE 13 PRO 128GB 256GB SECOND LIKE NEW 100% ORIGINAL BERGARANSI - Gold, 128 gb","Rp7.835.000","5","Terjual 30+","Kota Bandung","Cyrus Cell BEC"
"1777267376-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","APPLE IPHONE 13 PRO 5G 128 GB / 256 GB / 512 GB / 1 TB Original Second Seken Bekas IBOX Inter BCRp7.399.000Hemat s.d  1% Pakai Bonus4.626 terjualJet Store TechBatam","https://www.tokopedia.com/jet-store-/apple-iphone-13-pro-5g-128-gb-256-gb-512-gb-1-tb-original-second-seken-bekas-ibox-inter-bc-1729827657519236504?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","APPLE IPHONE 13 PRO 5G 128 GB / 256 GB / 512 GB / 1 TB Original Second Seken Bekas IBOX Inter BC - 128GB, Seken INTER","Rp7.399.000","4.6","Terjual 26","Kota Batam","Jet Store Tech"
"1777267382-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","iPhone 13 128GB Ex Garansi Resmi (iBox, GDN, Digimap)Rp7.499.0001 terjualAirik PhoneKendari","https://www.tokopedia.com/airikphone/iphone-13-128gb-ex-garansi-resmi-ibox-gdn-digimap-1731521816471177104?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","iPhone 13 128GB Ex Garansi Resmi (iBox, GDN, Digimap)","Rp7.499.000","","1 barang berhasil terjual","Kota Kendari","Airik Phone"
"1777267388-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","Iphone xr 64 gb InternasionalRp2.000.000Bisa COD5.012 terjualmfsSecondVapeKab. Sidoarjo","https://www.tokopedia.com/archive-vapest-1-1682468757/iphone-xr-64-gb-internasional?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","Iphone xr 64 gb Internasional","Rp2.000.000","5","Terjual 12","Kab. Sidoarjo","mfsSecondVape"
"1777267394-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","IBOX| iPhone SE 3 2022 / 2 2020 256GB 256 128GB 128 64GB 64 SecondRp2.549.000Hemat s.d  1% Pakai Bonus4.890+ terjualMACBINTangerang Selatan","https://www.tokopedia.com/macbin/ibox-iphone-se-3-2022-2-2020-256gb-256-128gb-128-64gb-64-second-se-2-64gb-fingerprint?extParam=ivf%3Dfalse%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","IBOX| iPhone SE 3 2022 / 2 2020 256GB 256 128GB 128 64GB 64 Second - SE 2 64GB, Fingerprint","Rp2.549.000","","","",""
"1777267400-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","iPhone 11 Pro 64GB 256GB Original Fullset Second Like New Original Murah BergaransiRp4.590.000Hemat s.d  1% Pakai Bonus4.870+ terjualCyrus Cell BECBandung","https://www.tokopedia.com/cyruscelluler/iphone-11-pro-64gb-256gb-original-fullset-second-like-new-original-murah-bergaransi-1731005974765274655?extParam=ivf%3Dtrue%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","iPhone 11 Pro 64GB 256GB Original Fullset Second Like New Original Murah Bergaransi - Gold, 64 gb","Rp4.590.000","","","",""
"1777267405-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20iphone","iPhone 11 Second & New | Garansi Inter Ex Resmi BC| 64GB 128GB 256GB iZonaRp4.022.000Hemat s.d  1% Pakai Bonus5.03 terjualiZona IDBandung","https://www.tokopedia.com/izona-id/iphone-11-second-new-garansi-inter-ex-resmi-bc-64gb-128gb-256gb-izona-1732181681403561508?extParam=ivf%3Dtrue%26keyword%3Dhp+iphone%26search_id%3D202604270521228E98D81F82173023BTML%26src%3Dsearch","iPhone 11 Second & New | Garansi Inter Ex Resmi BC| 64GB 128GB 256GB iZona - 64 GB INTER","Rp4.022.000","5","Terjual 3","Kota Bandung","iZona ID"
