web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,detail produk,nama toko
"1777252756-1","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Microsoft","DELL PRO 14 ESSENTIAL PV14255 RYZEN 5 220 8GB 512GB 14.0 WUXGA - Non Bundle, DOS","Rp8.999.000","5","Terjual 30+","Kota Administrasi Jakarta Utara","https://www.tokopedia.com/agresid/dell-pro-14-essential-pv14255-ryzen-5-220-8gb-512gb-14-0-wuxga-1734229402671940675?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft%26search_id%3D20260427011835AD13A2A07CA4B71F2QSI%26src%3Dsearch","AGRES ID"
"1777252760-2","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Microsoft","( L13 )  LAPTOP YOGA TOUCHSCREEN 2IN1 PENSTYLUST CORE I5 GEN12 RAM 16GB  SSD 256GB - CORE I5 GEN11 RAM 16GB SSD 256GB","Rp6.307.000","4.8","Terjual 100+","Kota Bandung","https://www.tokopedia.com/daherlaptop/l13-laptop-yoga-touchscreen-2in1-penstylust-core-i5-gen12-ram-16gb-ssd-256gb-1733927439118272409?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft%26search_id%3D20260427011835AD13A2A07CA4B71F2QSI%26src%3Dsearch","twindragon laptop"
"1777252764-3","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Microsoft","Laptop Dell latitude 7310 core i5 GEN10 16gb ddr4 256gb ssd Layar 13 inch Fullset Kayak Baru","Rp3.599.000","5","Terjual 5","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/pasarcom/laptop-dell-latitude-7310-core-i5-gen10-16gb-ddr4-256gb-ssd-layar-13-inch-fullset-kayak-baru-1733620958793926456?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft%26search_id%3D20260427011835AD13A2A07CA4B71F2QSI%26src%3Dsearch","pasarcom-manggadua"
"1777252769-4","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Microsoft","ASUS Zenbook A14 UX3407QA Snapdragon X1-26-100 | 16GB RAM | 1TB / 512GB SSD | 14"" WUXGA | AI NPU 45TOPS | Windows 11 - Zabriskie Beige, NON BUNDLE","Rp16.519.000","4.9","Terjual 100+","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/onestopgaming/asus-zenbook-a14-ux3407qa-snapdragon-x1-26-100-16gb-ram-1tb-512gb-ssd-14-wuxga-ai-npu-45tops-windows-11-1732468042152248578?extParam=ivf%3Dtrue%26keyword%3Dlaptop+microsoft%26search_id%3D20260427011835AD13A2A07CA4B71F2QSI%26src%3Dsearch","Onestop Gaming"
"1777252774-5","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Microsoft","( TSBS73 )  LAPTOP 13'3 INCH  CORE I5 GEN11  RAM 8GB  SSD 256GB  WINDOWS 10/11 ( BISA COD BAYAR DI TEMPAT ) - core i5 gen11 ram 8gb ssd 256gb","Rp3.498.000","4.4","Terjual 50+","Kota Bandung","https://www.tokopedia.com/daherlaptop/tsbs73-laptop-13-3-inch-core-i5-gen11-ram-8gb-ssd-256gb-windows-10-11-bisa-cod-bayar-di-tempat-1733647928982865817?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft%26search_id%3D20260427011835AD13A2A07CA4B71F2QSI%26src%3Dsearch","twindragon laptop"
"1777252778-6","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Microsoft","LAPTOP GLOBAL  SERI  QV8 RAM 8 GB SSD256/512 GB WINDOWS 11 PRO LAYAR 12""INCH - QV8 I5 GEN 8, RAM 8 GB I SSD 256 GB","Rp3.190.000","","","","https://www.tokopedia.com/laptop-global/laptop-seri-xv8-ram-8-gb-ssd256-512-gb-windows-11-pro-layar-12-inch-1734418162679318025?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft%26search_id%3D20260427011835AD13A2A07CA4B71F2QSI%26src%3Dsearch",""
"1777252782-7","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Microsoft","LAPTOP AXIOO HYPE 10 | N4020 8GB 256GB Windows 14"" 10 Pro - DOS / KOSONGAN, NON BUNDLING","Rp4.649.000","","","","https://www.tokopedia.com/axiooslimbook/laptop-axioo-hype-10-n4020-8gb-256gb-windows-14-10-pro-1734335816325301615?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft%26search_id%3D20260427011835AD13A2A07CA4B71F2QSI%26src%3Dsearch",""
"1777252787-8","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Microsoft","Laptop Detachable Latitude 7210 2 in 1 Core i7 Gen 10 Ram 16 GB SSD 512 GB Layar 12 inch Touchsreen - RAM 16/256 GB","Rp6.690.000","4.5","Terjual 17","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/gudanglaptopbtmid/laptop-detachable-latitude-7210-2-in-1-core-i7-gen-10-ram-16-gb-ssd-512-gb-layar-12-inch-touchsreen-1731100031219041667?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft%26search_id%3D20260427011835AD13A2A07CA4B71F2QSI%26src%3Dsearch","GUDANGLAPTOPBTM.ID"
"1777252792-9","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Microsoft","(FREE TAS) ADVAN Soulmate X 14” IPS FHD AMD 3020e 4GB/128GB Free Windows 11 Original Laptop Notebook Upgradeable - White","Rp3.399.000","","","","https://www.tokopedia.com/advanstore/free-tas-advan-soulmate-x-14-ips-fhd-amd-3020e-4gb-128gb-free-windows-11-original-laptop-notebook-upgradeable-1733887140422125415?extParam=ivf%3Dtrue%26keyword%3Dlaptop+microsoft%26search_id%3D20260427011835AD13A2A07CA4B71F2QSI%26src%3Dsearch%26whid%3D21270479",""
"1777252795-10","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Microsoft","LAPTOP E540  intel i3 Gen 4 RAM 8GB-16GB SSD 256GB-512GB  Layar 15.6 inci Windows 10 Pro Mulus Berkualitas Bergaransi Murah untuk Pelajar Sekolah - E540 i3 Gen 4, RAM 8GB | HDD 500GB","Rp1.999.000","4.9","Terjual 50+","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/andalan-laptopid/laptop-3500-3590-intel-i5-gen-8-ram-8gb-16gb-ssd-256gb-512gb-layar-15-6-inci-windows-11-pro-mulus-berkualitas-bergaransi-murah-untuk-pelajar-sekolah-1731718867937429114-1734995974536332922?extParam=ivf%3Dfalse%26keyword%3Dlaptop+microsoft%26search_id%3D20260427011835AD13A2A07CA4B71F2QSI%26src%3Dsearch","ANDALAN LAPTOP.ID"
