web_scraper_order,web_scraper_start_url,detail produk,detail produk-href,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
1777981274-1,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,Laptop Advan Soulmate Celeron N4020 4GB/128GB Windows 14 inchRp2.500.000Hemat s.d  1% Pakai Bonus3 terjualAeroTechnologyBatam,https://www.tokopedia.com/aerotechnology/laptop-advan-soulmate-celeron-n4020-4gb-128gb-windows-14-inch?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,Laptop Advan Soulmate Celeron N4020 4GB/128GB Windows 14 inch,Rp2.500.000,,3 barang berhasil terjual,Kota Batam,AeroTechnology
1777981279-2,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,"Advan WORKMATE AMD Ryzen 5 3500U 8GB 256GB 14"" FHD+ IPS Win 11 Laptop Office Kerja Sekolah KuliahRp5.949.000Limitless ComputerSemarang",https://www.tokopedia.com/limitless-computer/advan-workmate-amd-ryzen-5-3500u-8gb-256gb-14-fhd-ips-win-11-laptop-office-kerja-sekolah-kuliah-1733293908784547332?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"Advan WORKMATE AMD Ryzen 5 3500U 8GB 256GB 14"" FHD+ IPS Win 11 Laptop Office Kerja Sekolah Kuliah - Grey, 8/256GB",Rp5.949.000,,,Kota Semarang,Limitless Computer
1777981284-3,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,"22%Laptop AXIOO HYPE 5 X6 X3 Ryzen 5 6600H 16GB 512GB Windows 11+OHS 14"" IPSRp6.074.000Rp7.800.000Hemat s.d  1% Pakai Bonus4.9500+ terjualProStoreComputerJakarta Utara",https://www.tokopedia.com/prostorecomputer/laptop-axioo-hype-5-x6-x3-ryzen-5-6600h-16gb-512gb-windows-11-ohs-14-ips-1732576771149825947?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch%26whid%3D1366602,"Laptop AXIOO HYPE 5 X6 X3 Ryzen 5 6600H 16GB 512GB Windows 11+OHS 14"" IPS - LAPTOP, DOS | R5-3500 8/256GB",Rp6.074.000,4.9,Terjual 500+,Kota Administrasi Jakarta Utara,ProStoreComputer
1777981289-4,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,53%AXIOO HYPE 1 N4020 8GB 384GB W11+OHS19 14.0 GRYRp3.749.000Rp7.999.000Hemat s.d  1% Pakai Bonus5.050+ terjualIntel Gaming IDJakarta Utara,https://www.tokopedia.com/intelgamingid/axioo-hype-1-n4020-8gb-384gb-w11-ohs19-14-0-gry-1732855007783191872?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"AXIOO HYPE 1 N4020 8GB 384GB W11+OHS19 14.0 GRY - NORMAL, 4GB 128GB",Rp3.749.000,5.0,Terjual 50+,Kota Administrasi Jakarta Utara,Intel Gaming ID
1777981294-5,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,NOTEBOOK AXIOO HYPE 1Rp2.499.000Hemat s.d  1% Pakai Bonus11 terjualGigacomJakarta Pusat,https://www.tokopedia.com/gigacomputer/notebook-axioo-hype-1?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,NOTEBOOK AXIOO HYPE 1,Rp2.499.000,,11 barang berhasil terjual,Kota Administrasi Jakarta Pusat,Gigacom
1777981299-6,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,LAPTOP HP Intel Core i3 / RAM 8GB - SSD 512GB / 14''/ WIN 10 /FREE TASRp2.500.0004.8100+ terjualUS ELECTRONICJakarta Barat,https://www.tokopedia.com/us-electronic/laptop-hp-intel-core-i3-ram-8gb-ssd-512gb-14-win-10-free-tas-4gb-128-ssd?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,LAPTOP HP Intel Core i3 / RAM 8GB - SSD 512GB / 14''/ WIN 10 /FREE TAS - 4gb/128 ssd,Rp2.500.000,4.8,Terjual 100+,Kota Administrasi Jakarta Barat,US ELECTRONIC
1777981305-7,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,"55%Acer Aspire Lite AL14-36P N4500 Series – Intel N4500 | 8GB | 256GB SSD | 14” FHD IPS | Win11 OH24 | Fresh Blue / Rose Sakura / Grey | Laptop pelajar, sekolah, kerja ringan, UMKM, browsing & penggunaan harian hemat budgetRp6.299.000Rp13.999.000Hemat s.d  1% Pakai Bonus5 terjualAcer Official Authorized StoreJakarta Pusat",https://www.tokopedia.com/acerid/acer-aspire-lite-14-al14-37p-c39a-n150-8gb-ddr4-256gb-ssd-14-fhd-ips-w11h-oh2024-pink-rose-sakura-nx-dgzsn-001-1731239312461759509-1735299192620811285?extParam=ivf%3Dtrue%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"Acer Aspire Lite AL14-36P N4500 Series – Intel N4500 | 8GB | 256GB SSD | 14” FHD IPS | Win11 OH24 | Fresh Blue / Rose Sakura / Grey | Laptop pelajar, sekolah, kerja ringan, UMKM, browsing & penggunaan harian hemat budget - 256GB, Gray, MS Defender",Rp6.299.000,,5 barang berhasil terjual,Kota Administrasi Jakarta Pusat,Acer Official Authorized Store
1777981310-8,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,"TOKO LAPTOP ID Laptop 820 G3 I5 GEN 6 RAM 8GB/16GB SSD 256GB/512GB Layar 12,5 Inci Windows 10/11 Pro Garansi 30 Hari COD Dolby Audio PremiumRp2.990.000Hemat s.d  1% Pakai Bonus5.013 terjualToko Laptop ID_NEWJakarta Barat",https://www.tokopedia.com/toko-laptop-id/laptop-820-g3-i5-gen-6-ram-8gb-16gb-ssd-256gb-512gb-layar-12-5-inci-windows-10-11-pro-garansi-30-hari-cod-dolby-audio-premium-1732729264637576824?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"TOKO LAPTOP ID Laptop 820 G3 I5 GEN 6 RAM 8GB/16GB SSD 256GB/512GB Layar 12,5 Inci Windows 10/11 Pro Garansi 30 Hari COD Dolby Audio Premium - 820G3 I I5 GEN 6, RAM 8GB I SSD 256GB",Rp2.990.000,5.0,Terjual 13,Kota Administrasi Jakarta Barat,Toko Laptop ID_NEW
1777981315-9,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,43%Laptop ADVAN WORKMATE AMD Ryzen 5 3500 RAM 16GB SSD 512GB 14” WUXGA IPS Windows 11 + Office - LAPTOP ULTRABOOK NOTEBOOKRp5.704.000Rp9.999.000Hemat s.d  1% Pakai Bonus5.0500+ terjualroyalltechJakarta Utara,https://www.tokopedia.com/royalltech/laptop-advan-workmate-amd-ryzen-5-3500-ram-16gb-ssd-512gb-14-wuxga-ips-windows-11-office-laptop-ultrabook-notebook-1734213653904000503?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"Laptop ADVAN WORKMATE AMD Ryzen 5 3500 RAM 16GB SSD 512GB 14” WUXGA IPS Windows 11 + Office - LAPTOP ULTRABOOK NOTEBOOK - LAPTOP, RAM 8GB/256GB",Rp5.704.000,5.0,Terjual 500+,Kota Administrasi Jakarta Utara,royalltech
1777981320-10,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,"14%[L56] Laptop GAMING HappyGSR AMD RYZEN pRRAM 8GB SSD 256GB Layar Lcd 14""in Windows 10Rp3.799.045Rp4.399.000Hemat s.d  1% Pakai Bonus4.930+ terjualHappyGSR_NEWJakarta Barat",https://www.tokopedia.com/happygsr/l56-laptop-gaming-happygsr-amd-ryzen-5pro-ram-8gb-ssd-256gb-layar-lcd-14-in-windows-10-1729648918162672518-1735300012982699910?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"[L56] Laptop GAMING HappyGSR AMD RYZEN pRRAM 8GB SSD 256GB Layar Lcd 14""in Windows 10 - (L01) Ryzen3 Pro 8GB/256",Rp3.799.045,4.9,Terjual 30+,Kota Administrasi Jakarta Barat,HappyGSR_NEW
