web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,detail produk,nama toko
"1777474996-1","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20%20Microsoft","Laptop HP EliteBook 840 G5 dan G6 Core i5-8350U i5-8365U Gen 8 RAM 16GB 8GB SSD 512GB 256GB Siap Pakai - Non Bundle, 840 G5 8GB/256GB","Rp3.500.000","","","","https://www.tokopedia.com/dian-komputer-pusat/laptop-hp-elitebook-840-g6-core-i5-8365u-gen-8-ram-8gb-ssd-256gb-1731355734211855527-1734581280855458983?extParam=ivf%3Dfalse%26keyword%3Dlaptop++microsoft%26search_id%3D202604291502378E98D81F82173001FWKH%26src%3Dsearch",""
"1777475000-2","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20%20Microsoft","Hp Elitebook 840 G8 i7 Gen 11 Ram 16GB Ssd 512GB 14 inch Free Tas/Mouse - 840 G3 i5-6, 16GB/128GB","Rp3.300.000","4.8","Terjual 60+","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/starjayaelectronic/hp-elitebook-840-g8-i7-gen-11-ram-16gb-ssd-512gb-14-inch-free-tas-mouse-1733928969483159467?extParam=ivf%3Dfalse%26keyword%3Dlaptop++microsoft%26search_id%3D202604291502378E98D81F82173001FWKH%26src%3Dsearch","STAR JAYA ELECTRONIC"
"1777475004-3","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20%20Microsoft","Microsoft Surface Pro 9 8/256 Like New","Rp10.000.000","","","Kota Bitung","https://www.tokopedia.com/minaa/microsoft-surface-pro-9-8-256-like-new-1732511283572540714?extParam=ivf%3Dfalse%26keyword%3Dlaptop++microsoft%26search_id%3D202604291502378E98D81F82173001FWKH%26src%3Dsearch","Minaa"
"1777475008-4","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20%20Microsoft","Microsoft Surface Pro 8, Platinum","Rp12.500.000","","","Kota Administrasi Jakarta Timur","https://www.tokopedia.com/9dari/microsoft-surface-pro-8-platinum?extParam=ivf%3Dfalse%26keyword%3Dlaptop++microsoft%26search_id%3D202604291502378E98D81F82173001FWKH%26src%3Dsearch","9dari"
"1777475011-5","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20%20Microsoft","MICROSOFT SURFACE PRO 6 TOUCH SCREEN I5 GEN 8 RAM 8GB 128GB SSD|BEKAS","Rp9.500.000","","","Kota Bekasi","https://www.tokopedia.com/rimaslaptopof/microsoft-surface-pro-6-touch-screen-i5-gen-8-ram-8gb-128gb-ssd-bekas?extParam=ivf%3Dfalse%26keyword%3Dlaptop++microsoft%26search_id%3D202604291502378E98D81F82173001FWKH%26src%3Dsearch","Rimas Laptop"
"1777475015-6","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20%20Microsoft","Microsoft Surface Laptop Studio 2 i7-13800H GEFORCE RTX 4050 6GB (32/1TB)  3 IN 1 Touchscreen Flip","Rp30.000.000","5","Terjual 1","Kab. Deli Serdang","https://www.tokopedia.com/cntcomputer/microsoft-surface-laptop-studio-2-i7-13800h-geforce-rtx-4050-6gb-32-1tb-3-in-1-touchscreen-flip-1733241568900121877?extParam=ivf%3Dfalse%26keyword%3Dlaptop++microsoft%26search_id%3D202604291502378E98D81F82173001FWKH%26src%3Dsearch","CNT Computer"
"1777475019-7","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20%20Microsoft","laptop Microsoft surface pro 11","Rp13.500.000","","10 barang berhasil terjual","Kota Tangerang","https://www.tokopedia.com/rismasopiyani/laptop-microsoft-surface-pro-3-1732378419948783594?extParam=ivf%3Dfalse%26keyword%3Dlaptop++microsoft%26search_id%3D202604291502378E98D81F82173001FWKH%26src%3Dsearch","rismasopiyani"
"1777475022-8","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20%20Microsoft","Laptop tablet Microsoft Surface Pro 6 Core i5 8350U 2in1 Slim Mulus","Rp5.300.000","5","Terjual 2","Kota Administrasi Jakarta Timur","https://www.tokopedia.com/thinkpadpd/laptop-tablet-microsoft-surface-pro-6-core-i5-8350u-2in1-slim-mulus?extParam=ivf%3Dfalse%26keyword%3Dlaptop++microsoft%26search_id%3D202604291502378E98D81F82173001FWKH%26src%3Dsearch","thinkpadpd"
"1777475026-9","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20%20Microsoft","Microsoft Surface Laptop Studio core i7-11TH (32/1TB) NVIDIA RTX A2000  120Hz display","Rp30.000.000","","","Kab. Deli Serdang","https://www.tokopedia.com/cntcomputer/microsoft-surface-laptop-studio-core-i7-11th-32-1tb-nvidia-rtx-a2000-120hz-display-1733988016873768213?extParam=ivf%3Dfalse%26keyword%3Dlaptop++microsoft%26search_id%3D202604291502378E98D81F82173001FWKH%26src%3Dsearch","CNT Computer"
"1777475029-10","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20%20Microsoft","Laptop Microsoft Surface Book 2 Core i5 Gen 7 Ram 8Gb Ssd 256Gb HD3000","Rp12.500.000","5","Terjual 1","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/verrycomputer/laptop-microsoft-surface-book-2-core-i5-gen-7-ram-8gb-ssd-256gb-hd3000?extParam=ivf%3Dfalse%26keyword%3Dlaptop++microsoft%26search_id%3D202604291502378E98D81F82173001FWKH%26src%3Dsearch","V-COMPUTER"
"1777475033-11","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20%20Microsoft","Laptop Microsoft Surface Laptop 4 Core i7 Gen 11 - RAM 16GB - SSD 512GB - 15 inch - TouchScreen - Display 2K - Windows 11","Rp9.499.000","","","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/jualandokcomputer/laptop-microsoft-surface-laptop-4-core-i7-gen-11-ram-16gb-ssd-512gb-15-inch-touchscreen-display-2k-windows-11-1732631533245794269?extParam=ivf%3Dfalse%26keyword%3Dlaptop++microsoft%26search_id%3D202604291502378E98D81F82173001FWKH%26src%3Dsearch","JUALANDOK Computer"
"1777475037-12","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20%20Microsoft","Microsoft Surface pro 7 i5 gen10 8 256GB touchscreen 2 in 1 laptop","Rp8.000.000","","","Kota Samarinda","https://www.tokopedia.com/wqzwqkqw/microsoft-surface-pro-7-i5-gen10-8-256gb-touchscreen-2-in-1-laptop?extParam=ivf%3Dfalse%26keyword%3Dlaptop++microsoft%26search_id%3D202604291502378E98D81F82173001FWKH%26src%3Dsearch","computershopsamarinda"
"1777475040-13","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20%20Microsoft","MICROSOFT SURFACE BOOK 2 I7 8650U 256GB SSD  8GB RAM NVIDIA 1050 MURAH","Rp7.950.000","","","Kota Administrasi Jakarta Timur","https://www.tokopedia.com/dissant/microsoft-surface-book-2-i7-8650u-256gb-ssd-8gb-ram-nvidia-1050-murah?extParam=ivf%3Dfalse%26keyword%3Dlaptop++microsoft%26search_id%3D202604291502378E98D81F82173001FWKH%26src%3Dsearch","DissantsStore"
"1777475045-14","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20%20Microsoft","Microsoft Surface Pro 7 i3 i5 i7 ram 4GB 8GB 16GB SSD 128GB 256GB 512GB Laptop Windows Tablet Ter-kecil ter-ringan - i7 16GB 1TB, Grade D 60%-69%","Rp13.999.000","5","Terjual 1","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/jam-spinner/microsoft-surface-pro-7-i3-i5-i7-ram-4gb-8gb-16gb-ssd-128gb-256gb-512gb-laptop-windows-tablet-ter-kecil-ter-ringan-1731458848243681229?extParam=ivf%3Dfalse%26keyword%3Dlaptop++microsoft%26search_id%3D202604291502378E98D81F82173001FWKH%26src%3Dsearch","jam spinner"
