web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,detail produk,nama toko
"1778259201-1","https://www.tokopedia.com/search?condition=2&navsource=&sc=297&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","PROMO!! Laptop Lenovo X260 I5 Gen 6 8GB 128GB Laptop Seken Berkualitas - Core i5 Gen 6, RAM 8/256 GB","Rp2.090.900","5","Terjual 11","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/gudanglaptopbtmid-568/promo-laptop-lenovo-x260-i5-gen-6-8gb-128gb-laptop-seken-berkualitas-core-i5-gen-6-ram-8-256-gb-9ca88?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026050816522589F0FD5C927D4619B5UL%26src%3Dsearch","GUDANGLAPTOPBTMID"
"1778259207-2","https://www.tokopedia.com/search?condition=2&navsource=&sc=297&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","Lenovo Thinkpad X390 X395 X280 RYZEN 7 / 5 | Core I7 | I5 Gen 10 | 8 RAM 32GB 1TB Slim - X390 I5-8 8GB, 128GB","Rp3.250.000","5","Terjual 100+","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/bazzarlaptop/lenovo-thinkpad-x390-x395-x280-ryzen-7-5-core-i7-i5-gen-10-8-ram-32gb-1tb-slim-1733712610041234793?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026050816522589F0FD5C927D4619B5UL%26src%3Dsearch","Bazzar Laptop"
"1778259212-3","https://www.tokopedia.com/search?condition=2&navsource=&sc=297&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","Laptop Dell Latitude 3490 Core i5 Gen 8 RAM 8GB SSD 256GB (Minus Baca Deskripsi) - Non Bundle","Rp2.200.000","4.4","Terjual 17","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/dian-komputer-pusat/laptop-dell-latitude-3490-core-i5-gen-8-ram-8gb-ssd-256gb-minus-baca-deskripsi-1734140621951435943?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026050816522589F0FD5C927D4619B5UL%26src%3Dsearch","Dian Komputer Pusat"
"1778259217-4","https://www.tokopedia.com/search?condition=2&navsource=&sc=297&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","Laptop Lenovo Thinkpad T420 i5 ram 8gb Hardisk 320gb Promo Murah - HDD 320gb, 4 gb","Rp1.350.000","4.7","Terjual 70+","Kota Administrasi Jakarta Utara","https://www.tokopedia.com/raja-murah-pedia/laptop-lenovo-thinkpad-t420-i5-ram-8gb-hardisk-320gb-promo-murah-hdd-320gb-4-gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026050816522589F0FD5C927D4619B5UL%26src%3Dsearch","Raja Murah Pedia"
"1778259222-5","https://www.tokopedia.com/search?condition=2&navsource=&sc=297&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","GAMING!! Laptop HP EliteBook 835 G8 AMD RYZEN 5 PRO 5650U Ram 32GB SSD 512GB Original Bergaransi - 835 G8 + Box, 8GB, 256GB","Rp5.000.000","5","Terjual 23","Kota Yogyakarta","https://www.tokopedia.com/timoho29/gaming-laptop-hp-elitebook-835-g8-amd-ryzen-5-pro-5650u-ram-32gb-ssd-512gb-original-bergaransi-1735002763576312919?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026050816522589F0FD5C927D4619B5UL%26src%3Dsearch","Hosea Timoho29"
"1778259227-6","https://www.tokopedia.com/search?condition=2&navsource=&sc=297&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","Laptop Dell Latitude 7320 Core i7 Gen 11 - RAM 16GB - SSD 256GB Full HD IPS Kondisi Minus - 256GB, 32GB","Rp5.650.000","5","Terjual 50+","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/miguelcomputer/laptop-dell-latitude-7320-core-i7-gen-11-ram-16gb-ssd-256gb-full-hd-ips-1732652142172865771?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026050816522589F0FD5C927D4619B5UL%26src%3Dsearch","miguel computer"
"1778259232-7","https://www.tokopedia.com/search?condition=2&navsource=&sc=297&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","Laptop Nec Versapro VG-U 2in1 Touchscreen I5 Gen 6 7 8 Ram 8gb Ssd 256gb Siap Pakai - I5 GEN 8 8GB/256GB","Rp3.184.000","4.9","Terjual 60+","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/bursa-laptop/laptop-nec-versapro-vg-u-2in1-touchscreen-i5-gen-6-7-8-ram-8gb-ssd-256gb-siap-pakai-1731784542768826312?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026050816522589F0FD5C927D4619B5UL%26src%3Dsearch","Bursa Laptop"
"1778259237-8","https://www.tokopedia.com/search?condition=2&navsource=&sc=297&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","Laptop Lenovo ThinkPad T14 T14s T15 i5/i7 Gen 10 Ryzen 5 Ram 16GB FHD IPS - T14 G1 I5-10Th, 16GB/256GB","Rp4.300.000","4.9","Terjual 50+","Kota Surabaya","https://www.tokopedia.com/sentralcomp1/laptop-lenovo-thinkpad-t14-t14s-t15-i5-i7-gen-10-ryzen-5-ram-16gb-fhd-ips-1733947433392244383?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026050816522589F0FD5C927D4619B5UL%26src%3Dsearch","sentralcomp"
"1778259242-9","https://www.tokopedia.com/search?condition=2&navsource=&sc=297&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","LAPTOP LENOVO THINKPAD YOGA L13 GEN12 RAM 16 GB NVME 4 TB TOUCHSCREEN PROMO MURAH BAGUS BERGARANSI - YOGA L13 i5 G10, RAM 16 NVME 1TB","Rp6.190.000","5","Terjual 80+","Kota Administrasi Jakarta Utara","https://www.tokopedia.com/raja-murah-pedia/laptop-lenovo-thinkpad-yoga-l13-gen12-ram-16-gb-nvme-4-tb-touchscreen-promo-murah-bagus-bergaransi-1731560152283710501?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026050816522589F0FD5C927D4619B5UL%26src%3Dsearch","Raja Murah Pedia"
"1778259248-10","https://www.tokopedia.com/search?condition=2&navsource=&sc=297&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex","Macbook Pro 13"" #Mulus #Murah #Retina #Rog #Air - MBP 2012 MD101","Rp3.550.000","4.9","Terjual 100+","Kab. Tangerang","https://www.tokopedia.com/miedi-net/macbook-pro-13-mulus-murah-retina-rog-air-mbp-2012-md101?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D2026050816522589F0FD5C927D4619B5UL%26src%3Dsearch","Miedi Store"
