web_scraper_order;web_scraper_start_url;barang;nama_barang;harga;asal
1772524493-1;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/murah-hp-oppo-a79-5g-8256-lkp-bs-tt-iid-942782416;Murah hp Oppo A79 5G 8/256 lkp, bs TT;1600000;Sidoarjo, Sidoarjo  Kab., Jawa Timur
1772524496-2;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/hp-oppo-a5-fullset-iid-942813747;Hp Oppo A5 fullset;900000;Sidoarjo, Sidoarjo  Kab., Jawa Timur
1772524499-3;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/promo-hp-oppo-15-series-cicilan-tanpa-dp-syarat-ktp-aja-iid-942928638;PROMO HP OPPO 15 SERIES || CICILAN TANPA DP || SYARAT KTP AJA;6499000;Porong, Sidoarjo  Kab., Jawa Timur
1772524503-4;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/promo-hp-oppo-a6-series-baterai-besar-6500-mah-responsif-120-hz-iid-942954317;PROMO HP OPPO A6 SERIES|| BATERAI BESAR 6500 MAH || Responsif 120 hz;1999000;Prambon, Sidoarjo  Kab., Jawa Timur
1772524513-7;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/kredit-hp-reno-15f-5g-dp-0-free-2x-iid-925630335;KREDIT HP Reno 15F 5G  DP 0 Free 2x;5599000;Candi, Sidoarjo  Kab., Jawa Timur
1772524516-8;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/ramadhan-sale-promo-hp-oppo-a6-series-gratis-oppo-care-dan-tws-oppo-iid-943557973;RAMADHAN SALE ||PROMO HP OPPO A6 SERIES GRATIS OPPO CARE DAN TWS OPPO;3899000;Tulangan, Sidoarjo  Kab., Jawa Timur
1772524520-9;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/terbaru-hp-oppo-reno-15-series-bisa-cicilan-ktp-aja-tanpa-dp-iid-942790426;TERBARU HP OPPO RENO 15 SERIES || BISA CICILAN KTP AJA TANPA DP;6499000;Sedati, Sidoarjo  Kab., Jawa Timur
1772524523-10;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/promo-awal-bulan-hp-oppo-reno-15-series-bisa-cicilan-0-hanya-ktp-iid-942846966;PROMO AWAL BULAN || HP OPPO RENO 15 SERIES|| BISA CICILAN 0% HANYA KTP;6499000;Lakarsantri, Surabaya Kota, Jawa Timur
1772524526-11;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/murah-hp-oppo-f11-pro-6128-top-up-kamera-iid-942906030;Murah hp Oppo F11 pro 6/128 top up kamera;850000;Lakarsantri, Surabaya Kota, Jawa Timur
1772524530-12;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/murah-hp-oppo-f3-plus-464-lkp-mulus-minus-mati-iid-938487677;Murah hp oppo F3 plus 4/64 lkp mulus minus mati;100000;Sedati, Sidoarjo  Kab., Jawa Timur
1772524533-13;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/hp-oppo-a9-2020-iid-942912468;HP OPPO A9 2020;1000000;Buduran, Sidoarjo  Kab., Jawa Timur
1772524537-14;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/obral-hp-oppo-a6-mulai-dr-3jt-an-bisa-di-cicil-tanpa-dp-iid-942989638;Obral HP Oppo A6 mulai dr 3jt an bisa di cicil tanpa DP;3899000;Buduran, Sidoarjo  Kab., Jawa Timur
1772524548-17;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/promo-hp-oppo-a6x-series-cashback-up-to-100-ribu-super-smooth-iid-943162428;PROMO HP OPPO A6X SERIES || CASHBACK UP TO 100 RIBU || SUPER SMOOTH;1999000;Sambikerep, Surabaya Kota, Jawa Timur
1772524550-18;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/hp-oppo-f11-green-iid-943184315;Hp oppo f11 green;350000;Benowo, Surabaya Kota, Jawa Timur
1772524556-20;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/promo-hp-oppo-a6-pro-4g-ram-8256gb-baru-segel-garansi-resmi-iid-940604725;PROMO HP OPPO A6 PRO 4G RAM 8/256GB BARU SEGEL GARANSI RESMI;4300000;Pakal, Surabaya Kota, Jawa Timur
1772524573-25;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/promo-hp-oppo-reno-14f-5g-ram-12gb256gb-baru-segel-garansi-resmi-iid-940771207;PROMO HP OPPO RENO 14F 5G RAM 12GB/256GB BARU SEGEL GARANSI RESMI;5699000;Lakarsantri, Surabaya Kota, Jawa Timur
1772524593-31;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/nyicil-hp-tanpa-ribet-iid-942783360;NYICIL HP TANPA RIBET;1299000;Mayjen Sungkono, Surabaya Kota, Jawa Timur
1772524596-32;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/ready-hp-reno-15-iid-942793124;Ready HP RENO 15;5999000;Waru, Sidoarjo  Kab., Jawa Timur
1772524599-33;https://www.olx.co.id/surabaya-kota_g4000216/handphone_c208/q-hp-oppo;https://www.olx.co.id/item/hp-oppo-a60-84128gb-iid-940781721;Hp Oppo A60 8+4/128gb;1800000;Mayjen Sungkono, Surabaya Kota, Jawa Timur
